,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,620336.7,-3732520.0,-542660.8,-460628.4,
Tax Rate For Calcs,0.0171,0.34,0.0242,0.0228,
Normalized EBITDA,333791000.0,162718000.0,-193214000.0,8523000.0,
Total Unusual Items,36277000.0,-10978000.0,-22424000.0,-20203000.0,
Total Unusual Items Excluding Goodwill,36277000.0,-10978000.0,-22424000.0,-20203000.0,
Net Income From Continuing Operation Net Minority Interest,106413000.0,-95849000.0,-547302000.0,-191477000.0,
Reconciled Depreciation,68595000.0,61723000.0,59509000.0,44553000.0,
Reconciled Cost Of Revenue,2392956000.0,2294468000.0,2137897000.0,2088664000.0,
EBITDA,370068000.0,151740000.0,-215638000.0,-11680000.0,
EBIT,301473000.0,90017000.0,-275147000.0,-56233000.0,
Net Interest Income,-236027000.0,-189836000.0,-248928000.0,-97335000.0,
Interest Expense,177191000.0,148088000.0,235934000.0,94308000.0,
Interest Income,0.0,4060000.0,853000.0,418000.0,
Normalized Income,70756336.7,-88603520.0,-525420660.8,-171734628.4,
Net Income From Continuing And Discontinued Operation,106413000.0,-95849000.0,-547302000.0,-191477000.0,
Total Expenses,2959461000.0,2751428000.0,2624520000.0,2555572000.0,
Rent Expense Supplemental,6842000.0,6120000.0,3606000.0,3986000.0,
Total Operating Income As Reported,,,-315809000.0,-90430000.0,264648000.0
Diluted Average Shares,,110114943.0,96987000.0,98316992.0,107752400.0
Basic Average Shares,,110114943.0,96987000.0,98316992.0,99567148.0
Diluted EPS,,-0.87,-5.3462,-1.947582,2.011907
Basic EPS,,-0.87,-5.3462,-1.947582,2.011907
Diluted NI Availto Com Stockholders,106413000.0,-95849000.0,-547302000.0,-191477000.0,
Net Income Common Stockholders,106413000.0,-95849000.0,-547302000.0,-191477000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,106413000.0,-95849000.0,-547302000.0,-191477000.0,
Minority Interests,5702000.0,6661000.0,8411000.0,5112000.0,
Net Income Including Noncontrolling Interests,100711000.0,-102510000.0,-555713000.0,-196589000.0,
Net Income Continuous Operations,100711000.0,-102510000.0,-555713000.0,-196589000.0,
Tax Provision,23571000.0,44439000.0,44632000.0,46048000.0,
Pretax Income,124282000.0,-58071000.0,-511081000.0,-150541000.0,
Other Non Operating Income Expenses,-17606000.0,-7971000.0,-20415000.0,-10584000.0,
Special Income Charges,-28904000.0,-70063000.0,-76080000.0,-57427000.0,
Other Special Charges,28904000.0,70063000.0,76080000.0,57427000.0,
Net Non Operating Interest Income Expense,-236027000.0,-189836000.0,-248928000.0,-97335000.0,
Total Other Finance Cost,58836000.0,45808000.0,13847000.0,3445000.0,
Interest Expense Non Operating,177191000.0,148088000.0,235934000.0,94308000.0,
Interest Income Non Operating,0.0,4060000.0,853000.0,418000.0,
Operating Income,324940000.0,151659000.0,-211934000.0,-15618000.0,
Operating Expense,566505000.0,456960000.0,486623000.0,466908000.0,
Other Operating Expenses,,,37502000.0,13895000.0,12342000.0
Depreciation And Amortization In Income Statement,41478000.0,39713000.0,36886000.0,32988000.0,
Depreciation Income Statement,41478000.0,39713000.0,36886000.0,32988000.0,
Selling General And Administration,371117000.0,295997000.0,323258000.0,310553000.0,
Selling And Marketing Expense,285001000.0,237786000.0,241287000.0,245808000.0,
General And Administrative Expense,86116000.0,58211000.0,81971000.0,64745000.0,
Rent And Landing Fees,6842000.0,6120000.0,3606000.0,3986000.0,
Gross Profit,891445000.0,608619000.0,274689000.0,451290000.0,
Cost Of Revenue,2392956000.0,2294468000.0,2137897000.0,2088664000.0,
Total Revenue,3284401000.0,2903087000.0,2412586000.0,2539954000.0,
Operating Revenue,3284401000.0,2903087000.0,2412586000.0,2539954000.0,
