,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,7328851.0,6091318.0,2893001.61139,1319821.274098,
Tax Rate For Calcs,0.283,0.227,0.231997,0.133464,
Normalized EBITDA,428875000.0,285774000.0,265352000.0,180930000.0,
Total Unusual Items,25897000.0,26834000.0,12470000.0,9889000.0,
Total Unusual Items Excluding Goodwill,25897000.0,26834000.0,12470000.0,9889000.0,
Net Income From Continuing Operation Net Minority Interest,269817000.0,181412000.0,159296000.0,108093000.0,
Reconciled Depreciation,55635000.0,54764000.0,53095000.0,50865000.0,
Reconciled Cost Of Revenue,1639086000.0,1271713000.0,1095830000.0,819405000.0,
EBITDA,454772000.0,312608000.0,277822000.0,190819000.0,
EBIT,399137000.0,257844000.0,224727000.0,139954000.0,
Net Interest Income,-21681000.0,-20606000.0,-11721000.0,-16315000.0,
Interest Expense,21669000.0,22367000.0,16832000.0,15568000.0,
Interest Income,4760000.0,6104000.0,10197000.0,4927000.0,
Normalized Income,251248851.0,160669318.0,149719001.61139,99523821.274098,
Net Income From Continuing And Discontinued Operation,269817000.0,181412000.0,159296000.0,108093000.0,
Total Expenses,1746538000.0,1369764000.0,1173345000.0,885738000.0,
Rent Expense Supplemental,,,,2486000.0,5927000.0
Total Operating Income As Reported,,,190609000.0,118166000.0,99933000.0
Diluted Average Shares,65937772.0,65937772.0,65937772.0,65937772.0,
Basic Average Shares,65937772.0,65937772.0,65937772.0,65937772.0,
Diluted EPS,4.09,2.75,2.42,1.64,
Basic EPS,4.09,2.75,2.42,1.64,
Diluted NI Availto Com Stockholders,269817000.0,181412000.0,159296000.0,108093000.0,
Net Income Common Stockholders,269817000.0,181412000.0,159296000.0,108093000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,269817000.0,181412000.0,159296000.0,108093000.0,
Minority Interests,-795000.0,-500000.0,-368000.0,308000.0,
Net Income Including Noncontrolling Interests,270612000.0,181912000.0,159664000.0,107785000.0,
Net Income Continuous Operations,270612000.0,181912000.0,159664000.0,107785000.0,
Tax Provision,106856000.0,53565000.0,48231000.0,16601000.0,
Pretax Income,377468000.0,235477000.0,207895000.0,124386000.0,
Other Non Operating Income Expenses,,,,5684000.0,1061000.0
Special Income Charges,-2976000.0,-2456000.0,-5162000.0,107000.0,
Other Special Charges,-135000.0,1322000.0,4755000.0,-1243000.0,
Write Off,3161000.0,1134000.0,407000.0,1139000.0,
Impairment Of Capital Assets,-50000.0,0.0,0.0,-3000.0,
Restructuring And Mergern Acquisition,,,,0.0,2345000.0
Net Non Operating Interest Income Expense,-21681000.0,-20606000.0,-11721000.0,-16315000.0,
Total Other Finance Cost,4772000.0,4343000.0,5086000.0,5674000.0,
Interest Expense Non Operating,21669000.0,22367000.0,16832000.0,15568000.0,
Interest Income Non Operating,4760000.0,6104000.0,10197000.0,4927000.0,
Operating Income,343589000.0,213704000.0,197164000.0,121605000.0,
Operating Expense,107452000.0,98051000.0,77515000.0,66333000.0,
Other Operating Expenses,35000.0,436000.0,3756000.0,17000.0,
Selling General And Administration,110410000.0,99222000.0,84279000.0,77749000.0,
Selling And Marketing Expense,2864000.0,2404000.0,1815000.0,1266000.0,
General And Administrative Expense,107546000.0,96818000.0,82464000.0,76483000.0,
Gross Profit,451041000.0,311755000.0,274679000.0,187938000.0,
Cost Of Revenue,1639086000.0,1271713000.0,1095830000.0,819405000.0,
Total Revenue,2090127000.0,1583468000.0,1370509000.0,1007343000.0,
Operating Revenue,2090127000.0,1583468000.0,1370509000.0,1007343000.0,
