,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,21303260.0,61137615.0,71413575.0,12419028.0,
Tax Rate For Calcs,0.11,0.215,0.213,0.177,
Normalized EBITDA,1166876000.0,919026000.0,801671000.0,695498000.0,
Total Unusual Items,193666000.0,284361000.0,335275000.0,70164000.0,
Total Unusual Items Excluding Goodwill,193666000.0,284361000.0,335275000.0,70164000.0,
Net Income From Continuing Operation Net Minority Interest,718598000.0,507051000.0,495226000.0,389173000.0,
Reconciled Depreciation,326269000.0,282801000.0,236128000.0,199184000.0,
Reconciled Cost Of Revenue,1594149000.0,1304449000.0,1145269000.0,918845000.0,
EBITDA,1360542000.0,1203387000.0,1136946000.0,765662000.0,
EBIT,1034273000.0,920586000.0,900818000.0,566478000.0,
Net Interest Income,-305260000.0,-337894000.0,-316006000.0,-124213000.0,
Interest Expense,206330000.0,237300000.0,239223000.0,86953000.0,
Interest Income,10963000.0,9197000.0,10604000.0,5670000.0,
Normalized Income,546235260.0,283827615.0,231364575.0,331428028.0,
Net Income From Continuing And Discontinued Operation,717513000.0,734820000.0,498136000.0,389173000.0,
Total Expenses,4285811000.0,3706549000.0,3151415000.0,2443059000.0,
Total Operating Income As Reported,878840000.0,697500000.0,641517000.0,534253000.0,
Diluted Average Shares,604923000.0,613218000.0,615624000.0,587668000.0,
Basic Average Shares,595007000.0,603896000.0,606803000.0,579747000.0,
Diluted EPS,1.18612,1.1983,0.80916,0.62704,
Basic EPS,1.20589,1.2168,0.82092,0.63561,
Diluted NI Availto Com Stockholders,717513000.0,734820000.0,498136000.0,368491000.0,
Net Income Common Stockholders,717513000.0,734820000.0,498136000.0,368491000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,717513000.0,734820000.0,498136000.0,368491000.0,
Minority Interests,-17930000.0,-29615000.0,-25165000.0,-5546000.0,
Net Income Including Noncontrolling Interests,735443000.0,764435000.0,523301000.0,374037000.0,
Net Income Extraordinary,,227769000.0,2910000.0,-20682000.0,
Net Income Discontinuous Operations,-1085000.0,227769000.0,2910000.0,0.0,
Net Income Continuous Operations,736528000.0,536666000.0,520391000.0,394719000.0,
Tax Provision,91415000.0,146620000.0,141204000.0,84806000.0,
Pretax Income,827943000.0,683286000.0,661595000.0,479525000.0,
Special Income Charges,-59356000.0,-36394000.0,-11594000.0,-9976000.0,
Other Special Charges,,,11594000.0,9976000.0,9082000.0
Write Off,59356000.0,36394000.0,,,
Net Non Operating Interest Income Expense,-305260000.0,-337894000.0,-316006000.0,-124213000.0,
Total Other Finance Cost,109893000.0,109791000.0,87387000.0,42930000.0,
Interest Expense Non Operating,206330000.0,237300000.0,239223000.0,86953000.0,
Interest Income Non Operating,10963000.0,9197000.0,10604000.0,5670000.0,
Operating Income,938196000.0,733894000.0,641517000.0,534253000.0,
Operating Expense,2691662000.0,2402100000.0,2006146000.0,1524214000.0,
Other Operating Expenses,17080000.0,66013000.0,12178000.0,,43856000.0
Depreciation And Amortization In Income Statement,,,,,204587000.0
Depreciation Income Statement,,,,,204587000.0
Research And Development,945253000.0,844764000.0,719806000.0,559359000.0,
Selling General And Administration,1729329000.0,1491323000.0,1274162000.0,975336000.0,
Selling And Marketing Expense,1135920000.0,989089000.0,799504000.0,612679000.0,
General And Administrative Expense,593409000.0,502234000.0,474658000.0,362657000.0,
Gross Profit,3629858000.0,3135994000.0,2647663000.0,2058467000.0,
Cost Of Revenue,1594149000.0,1304449000.0,1145269000.0,918845000.0,
Total Revenue,5224007000.0,4440443000.0,3792932000.0,2977312000.0,
Operating Revenue,5224007000.0,4440443000.0,3792932000.0,2977312000.0,
