,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,7207778.151686,8992470.320759,0.0,0.0,
Tax Rate For Calcs,0.165418,0.177766,0.237716,0.116818,
Normalized EBITDA,241140000.0,184100000.0,176522000.0,196150000.0,
Total Unusual Items,43573000.0,50586000.0,31014000.0,,10438000.0
Total Unusual Items Excluding Goodwill,43573000.0,50586000.0,31014000.0,,10438000.0
Net Income From Continuing Operation Net Minority Interest,171556000.0,123880000.0,67913000.0,120552000.0,
Reconciled Depreciation,24739000.0,25704000.0,23329000.0,17914000.0,
Reconciled Cost Of Revenue,971908000.0,802171000.0,535028000.0,490297000.0,
EBITDA,284713000.0,234686000.0,176522000.0,196150000.0,
EBIT,259974000.0,208982000.0,153193000.0,178236000.0,
Net Interest Income,-31872000.0,-39038000.0,-22606000.0,-9195000.0,
Interest Expense,50475000.0,50639000.0,61693000.0,28816000.0,
Interest Income,20385000.0,12217000.0,39087000.0,19621000.0,
Normalized Income,135190778.151686,82286470.320759,67913000.0,120552000.0,
Net Income From Continuing And Discontinued Operation,171556000.0,123880000.0,67913000.0,120552000.0,
Total Expenses,1146816000.0,941042000.0,664305000.0,623990000.0,
Diluted Average Shares,,182113000.0,182111445.0,184802171.0,186418535.0
Basic Average Shares,,182113000.0,182111445.0,184802171.0,186418535.0
Diluted EPS,,0.68024,0.37292,0.65233,0.91242
Basic EPS,,0.68024,0.37292,0.65233,0.91242
Diluted NI Availto Com Stockholders,171556000.0,123880000.0,67913000.0,120552000.0,
Net Income Common Stockholders,171556000.0,123880000.0,67913000.0,120552000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,171556000.0,123880000.0,67913000.0,120552000.0,
Minority Interests,-3288000.0,-6315000.0,-1836000.0,-11413000.0,
Net Income Including Noncontrolling Interests,174844000.0,130195000.0,69749000.0,131965000.0,
Net Income Continuous Operations,174844000.0,130195000.0,69749000.0,131965000.0,
Tax Provision,34655000.0,28148000.0,21751000.0,17455000.0,
Pretax Income,209499000.0,158343000.0,91500000.0,149420000.0,
Special Income Charges,2518000.0,15819000.0,-3578000.0,,
Other Special Charges,-2518000.0,-5042000.0,,,
Restructuring And Mergern Acquisition,0.0,-10777000.0,3578000.0,,
Net Non Operating Interest Income Expense,-31872000.0,-39038000.0,-22606000.0,-9195000.0,
Total Other Finance Cost,1782000.0,616000.0,-933000.0,658000.0,
Interest Expense Non Operating,50475000.0,50639000.0,61693000.0,28816000.0,
Interest Income Non Operating,20385000.0,12217000.0,39087000.0,19621000.0,
Operating Income,199878000.0,105648000.0,95965000.0,150171000.0,
Operating Expense,174908000.0,138871000.0,129277000.0,133693000.0,
Other Operating Expenses,1438000.0,,4278000.0,699000.0,3171000.0
Depreciation And Amortization In Income Statement,18132000.0,20231000.0,21795000.0,16681000.0,
Depreciation Income Statement,18132000.0,20231000.0,21795000.0,16681000.0,
Selling General And Administration,129960000.0,101538000.0,131804000.0,132994000.0,
Selling And Marketing Expense,74996000.0,51206000.0,59107000.0,59779000.0,
General And Administrative Expense,54964000.0,50332000.0,72697000.0,73215000.0,
Gross Profit,374786000.0,244519000.0,225242000.0,283864000.0,
Cost Of Revenue,971908000.0,802171000.0,535028000.0,490297000.0,
Total Revenue,1346694000.0,1046690000.0,760270000.0,774161000.0,
Operating Revenue,1346694000.0,1046690000.0,760270000.0,774161000.0,
