,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-29548200.0,34043552.0,-51623208.0,-4060302.169179,
Tax Rate For Calcs,0.37,0.296,0.182,0.186792,
Normalized EBITDA,6673625000.0,6243665000.0,4784020000.0,2777147000.0,
Total Unusual Items,-79860000.0,115012000.0,-283644000.0,-21737000.0,
Total Unusual Items Excluding Goodwill,-79860000.0,115012000.0,-283644000.0,-21737000.0,
Net Income From Continuing Operation Net Minority Interest,2362740000.0,2439795000.0,1498981000.0,785199000.0,
Reconciled Depreciation,1212733000.0,1154794000.0,1027323000.0,920915000.0,
Reconciled Cost Of Revenue,123811893000.0,116730469000.0,136276257000.0,104827966000.0,
EBITDA,6593765000.0,6358677000.0,4500376000.0,2755410000.0,
EBIT,5381032000.0,5203883000.0,3473053000.0,1834495000.0,
Net Interest Income,-775550000.0,-1003243000.0,-1161161000.0,-556806000.0,
Interest Expense,1369515000.0,1625188000.0,1593328000.0,827847000.0,
Interest Income,745483000.0,778426000.0,551995000.0,413120000.0,
Normalized Income,2413051800.0,2358826552.0,1731001792.0,802875697.830821,
Net Income From Continuing And Discontinued Operation,2362740000.0,2439795000.0,1800839000.0,850463000.0,
Total Expenses,128504804000.0,121593683000.0,140322359000.0,108130017000.0,
Rent Expense Supplemental,,,,116744000.0,92117000.0
Total Operating Income As Reported,,4565917000.0,3336752000.0,1787014000.0,1545960000.0
Diluted Average Shares,,1104942000.0,1098692000.0,1096962000.0,1093478000.0
Basic Average Shares,,1095469000.0,1091990000.0,1090500000.0,1087050000.0
Diluted EPS,,2.2081,1.6391,0.7753,0.817
Basic EPS,,2.2272,1.6491,0.7799,0.8218
Diluted NI Availto Com Stockholders,2362740000.0,2439795000.0,1800839000.0,850463000.0,
Net Income Common Stockholders,2362740000.0,2439795000.0,1800839000.0,850463000.0,
Net Income,2362740000.0,2439795000.0,1800839000.0,850463000.0,
Minority Interests,-163160000.0,-77958000.0,-39230000.0,-33415000.0,
Net Income Including Noncontrolling Interests,2525900000.0,2517753000.0,1840069000.0,883878000.0,
Net Income Discontinuous Operations,0.0,0.0,301858000.0,65264000.0,
Net Income Continuous Operations,2525900000.0,2517753000.0,1538211000.0,818614000.0,
Tax Provision,1485617000.0,1060942000.0,341514000.0,188034000.0,
Pretax Income,4011517000.0,3578695000.0,1879725000.0,1006648000.0,
Other Income Expense,-207042000.0,126920000.0,-271463000.0,-39371000.0,
Other Non Operating Income Expenses,,,,26026000.0,24825000.0
Special Income Charges,169344000.0,121935000.0,169289000.0,184189000.0,
Gain On Sale Of Ppe,171837000.0,121935000.0,169289000.0,184189000.0,
Other Special Charges,,,,-6630000.0,-3993000.0
Write Off,,,,,0.0
Impairment Of Capital Assets,,,,,0.0
Restructuring And Mergern Acquisition,2493000.0,,0.0,,
Earnings From Equity Interest,-127182000.0,11908000.0,12181000.0,-17634000.0,
Gain On Sale Of Security,-249204000.0,-6923000.0,-452933000.0,-205926000.0,
Net Non Operating Interest Income Expense,-775550000.0,-1003243000.0,-1161161000.0,-556806000.0,
Total Other Finance Cost,151518000.0,156481000.0,119828000.0,142079000.0,
Interest Expense Non Operating,1369515000.0,1625188000.0,1593328000.0,827847000.0,
Interest Income Non Operating,745483000.0,778426000.0,551995000.0,413120000.0,
Operating Income,4994109000.0,4455018000.0,3312349000.0,1602825000.0,
Operating Expense,4692911000.0,4863214000.0,4046102000.0,3302051000.0,
Other Operating Expenses,321272000.0,591829000.0,369636000.0,-96166000.0,
Other Taxes,,,,-189767000.0,-292977000.0
Provision For Doubtful Accounts,,,,-3123000.0,13947000.0
Selling General And Administration,4371639000.0,4271385000.0,3676466000.0,3398217000.0,
Selling And Marketing Expense,2499547000.0,2253226000.0,2141985000.0,1931666000.0,
General And Administrative Expense,1872092000.0,2018159000.0,1534481000.0,1466551000.0,
Other Gand A,1872092000.0,2018159000.0,1534481000.0,1466551000.0,
Rent And Landing Fees,,,,116744000.0,92117000.0
Gross Profit,9687020000.0,9318232000.0,7358451000.0,4904876000.0,
Cost Of Revenue,123811893000.0,116730469000.0,136276257000.0,104827966000.0,
Total Revenue,133498913000.0,126048701000.0,143634708000.0,109732842000.0,
Excise Taxes,,,,,4291081000.0
Operating Revenue,133498913000.0,126048701000.0,143634708000.0,109732842000.0,
