,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-20633580.0,-63325340.0,-510449040.0,-121863600.0,
Tax Rate For Calcs,0.34,0.34,0.36,0.18,
Normalized EBITDA,1873873000.0,3105096000.0,6187917000.0,14242713000.0,
Total Unusual Items,-60687000.0,-186251000.0,-1417914000.0,-677020000.0,
Total Unusual Items Excluding Goodwill,-60687000.0,-186251000.0,-1417914000.0,-677020000.0,
Net Income From Continuing Operation Net Minority Interest,-145946000.0,1390926000.0,1615538000.0,9070524000.0,
Reconciled Depreciation,1226067000.0,1061971000.0,902681000.0,982741000.0,
Reconciled Cost Of Revenue,24209863000.0,25850518000.0,26790835000.0,22462636000.0,
EBITDA,1813186000.0,2918845000.0,4770003000.0,13565693000.0,
EBIT,587119000.0,1856874000.0,3867322000.0,12582952000.0,
Net Interest Income,-43302000.0,147905000.0,407652000.0,1307862000.0,
Interest Expense,682703000.0,691049000.0,588408000.0,246675000.0,
Interest Income,286996000.0,134052000.0,156372000.0,77223000.0,
Normalized Income,-105892580.0,1513851660.0,2523002960.0,9625680400.0,
Net Income From Continuing And Discontinued Operation,-145946000.0,1390926000.0,1615538000.0,9070524000.0,
Total Expenses,25613090000.0,26935523000.0,28626425000.0,21960052000.0,
Total Operating Income As Reported,499576000.0,799436000.0,2666421000.0,11490462000.0,
Diluted Average Shares,,1230942660.0,1230737833.0,1230737833.0,1230061546.0
Basic Average Shares,,1230942660.0,1230737833.0,1230737833.0,1230061546.0
Diluted EPS,,0.0,1.26,7.07,0.52
Basic EPS,,0.0,1.26,7.07,0.52
Diluted NI Availto Com Stockholders,-145946000.0,1390926000.0,1615538000.0,9070524000.0,
Net Income Common Stockholders,-145946000.0,1390926000.0,1615538000.0,9070524000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-145946000.0,1390926000.0,1615538000.0,9070524000.0,
Minority Interests,-149308000.0,-249442000.0,-477351000.0,-989430000.0,
Net Income Including Noncontrolling Interests,3362000.0,1640368000.0,2092889000.0,10059954000.0,
Net Income Continuous Operations,3362000.0,1640368000.0,2092889000.0,10059954000.0,
Tax Provision,-98946000.0,-474543000.0,1186025000.0,2276323000.0,
Pretax Income,-95584000.0,1165825000.0,3278914000.0,12336277000.0,
Special Income Charges,-62113000.0,-208029000.0,-1504729000.0,-798734000.0,
Other Special Charges,65733000.0,211563000.0,107945000.0,401477000.0,
Write Off,,,,,31487000.0
Impairment Of Capital Assets,-3620000.0,-3534000.0,1396784000.0,397257000.0,
Net Non Operating Interest Income Expense,-43302000.0,147905000.0,407652000.0,1307862000.0,
Total Other Finance Cost,-352405000.0,-704902000.0,-839688000.0,-1477314000.0,
Interest Expense Non Operating,682703000.0,691049000.0,588408000.0,246675000.0,
Interest Income Non Operating,286996000.0,134052000.0,156372000.0,77223000.0,
Operating Income,256709000.0,702825000.0,3844085000.0,11776912000.0,
Operating Expense,1403227000.0,1085005000.0,1835590000.0,-502584000.0,
Other Operating Expenses,365488000.0,448678000.0,627246000.0,812335000.0,
Depreciation And Amortization In Income Statement,78566000.0,68760000.0,44293000.0,39365000.0,
Depreciation Income Statement,78566000.0,68760000.0,44293000.0,39365000.0,
Research And Development,15772000.0,34338000.0,29901000.0,28785000.0,
Selling General And Administration,642776000.0,769100000.0,861923000.0,734118000.0,
Selling And Marketing Expense,348413000.0,433899000.0,551581000.0,490486000.0,
General And Administrative Expense,294363000.0,335201000.0,310342000.0,243632000.0,
Gross Profit,1659936000.0,1787830000.0,5679675000.0,11274328000.0,
Cost Of Revenue,24209863000.0,25850518000.0,26790835000.0,22462636000.0,
Total Revenue,25869799000.0,27638348000.0,32470510000.0,33736964000.0,
Operating Revenue,25869799000.0,27638348000.0,32470510000.0,33736964000.0,
