,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-278020011.947431,-569537261.232176,246319195.187301,240407027.521072,
Tax Rate For Calcs,0.107676,0.273159,0.150195,0.158999,
Normalized EBITDA,13653000000.0,17645000000.0,22257000000.0,32616000000.0,
Total Unusual Items,-2582000000.0,-2085000000.0,1640000000.0,1512000000.0,
Total Unusual Items Excluding Goodwill,-2582000000.0,-2085000000.0,1640000000.0,1512000000.0,
Net Income From Continuing Operation Net Minority Interest,6166000000.0,7983000000.0,16728000000.0,24821000000.0,
Reconciled Depreciation,3057000000.0,3070000000.0,3171000000.0,3034000000.0,
Reconciled Cost Of Revenue,21264000000.0,21066000000.0,20898000000.0,18737000000.0,
EBITDA,11071000000.0,15560000000.0,23897000000.0,34128000000.0,
EBIT,8014000000.0,12490000000.0,20726000000.0,31094000000.0,
Net Interest Income,-1554000000.0,-1515000000.0,41000000.0,-1542000000.0,
Interest Expense,1318000000.0,1339000000.0,945000000.0,1553000000.0,
Interest Income,94000000.0,123000000.0,739000000.0,111000000.0,
Normalized Income,8469979988.052569,9498462738.767824,15334319195.187302,23549407027.521072,
Net Income From Continuing And Discontinued Operation,6166000000.0,7983000000.0,18788000000.0,22445000000.0,
Total Expenses,26955000000.0,25925000000.0,26044000000.0,23660000000.0,
Total Operating Income As Reported,10788000000.0,14205000000.0,17208000000.0,27693000000.0,
Diluted Average Shares,4279867000.0,4362295082.0,4642432000.0,5012424000.0,
Basic Average Shares,4274854000.0,4362295082.0,4637794000.0,5012424000.0,
Diluted EPS,1.44,1.83,4.05,4.47,
Basic EPS,1.44,1.83,4.05,4.47,
Diluted NI Availto Com Stockholders,6166000000.0,7983000000.0,18788000000.0,22445000000.0,
Net Income Common Stockholders,6166000000.0,7983000000.0,18788000000.0,22445000000.0,
Net Income,6166000000.0,7983000000.0,18788000000.0,22445000000.0,
Minority Interests,191000000.0,-122000000.0,-82000000.0,-23000000.0,
Net Income Including Noncontrolling Interests,5975000000.0,8105000000.0,18870000000.0,22468000000.0,
Net Income Discontinuous Operations,0.0,0.0,2060000000.0,-2376000000.0,
Net Income Continuous Operations,5975000000.0,8105000000.0,16810000000.0,24844000000.0,
Tax Provision,721000000.0,3046000000.0,2971000000.0,4697000000.0,
Pretax Income,6696000000.0,11151000000.0,19781000000.0,29541000000.0,
Other Income Expense,-2851000000.0,-3193000000.0,1945000000.0,241000000.0,
Other Non Operating Income Expenses,,,,,-115000000.0
Special Income Charges,-313000000.0,-1654000000.0,-587000000.0,-3149000000.0,
Gain On Sale Of Ppe,,-74000000.0,-46000000.0,-5000000.0,-19000000.0
Other Special Charges,614000000.0,1388000000.0,1360000000.0,2718000000.0,
Impairment Of Capital Assets,-301000000.0,266000000.0,-773000000.0,426000000.0,
Earnings From Equity Interest,-269000000.0,-1108000000.0,305000000.0,-1271000000.0,
Gain On Sale Of Security,-2269000000.0,-431000000.0,2227000000.0,4661000000.0,
Net Non Operating Interest Income Expense,-1554000000.0,-1515000000.0,41000000.0,-1542000000.0,
Total Other Finance Cost,330000000.0,299000000.0,-247000000.0,-11000000.0,
Interest Expense Non Operating,1318000000.0,1339000000.0,945000000.0,1553000000.0,
Interest Income Non Operating,94000000.0,123000000.0,739000000.0,111000000.0,
Operating Income,11101000000.0,15859000000.0,17795000000.0,30842000000.0,
Operating Expense,2690000000.0,1836000000.0,2016000000.0,1931000000.0,
Other Operating Expenses,1278000000.0,560000000.0,841000000.0,901000000.0,
Depreciation Amortization Depletion Income Statement,56000000.0,47000000.0,41000000.0,42000000.0,
Depreciation And Amortization In Income Statement,56000000.0,47000000.0,41000000.0,42000000.0,
Research And Development,790000000.0,723000000.0,660000000.0,549000000.0,
Selling General And Administration,566000000.0,506000000.0,474000000.0,439000000.0,
Selling And Marketing Expense,21000000.0,26000000.0,22000000.0,27000000.0,
General And Administrative Expense,545000000.0,480000000.0,452000000.0,412000000.0,
Other Gand A,279000000.0,237000000.0,222000000.0,195000000.0,
Salaries And Wages,266000000.0,243000000.0,230000000.0,217000000.0,
Gross Profit,13791000000.0,17695000000.0,19811000000.0,32773000000.0,
Cost Of Revenue,24265000000.0,24089000000.0,24028000000.0,21729000000.0,
Total Revenue,38056000000.0,41784000000.0,43839000000.0,54502000000.0,
Operating Revenue,38056000000.0,41648000000.0,43314000000.0,53891000000.0,
