,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,70043053.2,-7479843.061303,12567074.8,67472388.0
Tax Rate For Calcs,0.2309,0.093029,0.1439,0.306
Normalized EBITDA,3173657000.0,2589471000.0,1947109000.0,1027807000.0
Total Unusual Items,303348000.0,-80403000.0,87332000.0,220498000.0
Total Unusual Items Excluding Goodwill,303348000.0,-80403000.0,87332000.0,220498000.0
Net Income From Continuing Operation Net Minority Interest,724929000.0,497555000.0,668629000.0,402375000.0
Reconciled Depreciation,750613000.0,547118000.0,321955000.0,296109000.0
Reconciled Cost Of Revenue,1693944000.0,1184339000.0,2821051000.0,1790245000.0
EBITDA,3477005000.0,2509068000.0,2034441000.0,1248305000.0
EBIT,2726392000.0,1961950000.0,1712486000.0,952196000.0
Net Interest Income,-1773412000.0,-1427599000.0,-908850000.0,-371716000.0
Interest Expense,1783782000.0,1413360000.0,931499000.0,372361000.0
Interest Income,41706000.0,13171000.0,11063000.0,10434000.0
Normalized Income,491624053.2,570478156.938697,593864074.8,249349388.0
Net Income From Continuing And Discontinued Operation,380974000.0,586959000.0,668629000.0,402375000.0
Total Expenses,2151538000.0,1529815000.0,3320524000.0,2069860000.0
Diluted Average Shares,1087440222.0,1056980699.0,982286303.0,918872935.0
Basic Average Shares,1087339317.0,1056843723.0,982286303.0,918872935.0
Diluted EPS,0.3503,0.5553,0.6805,0.437905
Basic EPS,0.3504,0.5554,0.6807,0.437905
Diluted NI Availto Com Stockholders,380974000.0,586959000.0,668629000.0,402375000.0
Net Income Common Stockholders,380974000.0,586959000.0,668629000.0,402375000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,380974000.0,586959000.0,668629000.0,402375000.0
Net Income Including Noncontrolling Interests,380974000.0,586959000.0,668629000.0,402375000.0
Net Income Discontinuous Operations,-343955000.0,89404000.0,,
Net Income Continuous Operations,724929000.0,497555000.0,668629000.0,402375000.0
Tax Provision,217681000.0,51035000.0,112358000.0,177460000.0
Pretax Income,942610000.0,548590000.0,780987000.0,579835000.0
Net Non Operating Interest Income Expense,-1773412000.0,-1427599000.0,-908850000.0,-371716000.0
Total Other Finance Cost,31336000.0,27410000.0,-11586000.0,9789000.0
Interest Expense Non Operating,1783782000.0,1413360000.0,931499000.0,372361000.0
Interest Income Non Operating,41706000.0,13171000.0,11063000.0,10434000.0
Operating Income,2547774000.0,2018903000.0,1592930000.0,753635000.0
Operating Expense,457594000.0,345476000.0,499473000.0,279615000.0
Other Operating Expenses,199879000.0,94785000.0,46872000.0,15741000.0
Selling General And Administration,260994000.0,250691000.0,477413000.0,279088000.0
Selling And Marketing Expense,107557000.0,89066000.0,213115000.0,112903000.0
General And Administrative Expense,153437000.0,161625000.0,264298000.0,166185000.0
Gross Profit,3005368000.0,2364379000.0,2092403000.0,1033250000.0
Cost Of Revenue,1693944000.0,1184339000.0,2821051000.0,1790245000.0
Total Revenue,4699312000.0,3548718000.0,4913454000.0,2823495000.0
Operating Revenue,4699312000.0,3548718000.0,4913454000.0,2823495000.0
