,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,176276000.0,231870000.0,35904000.0,23856000.0,
Tax Rate For Calcs,0.254,0.262,0.204,0.213,
Normalized EBITDA,9739000000.0,7517000000.0,3449000000.0,4021000000.0,
Total Unusual Items,694000000.0,885000000.0,176000000.0,112000000.0,
Total Unusual Items Excluding Goodwill,694000000.0,885000000.0,176000000.0,112000000.0,
Net Income From Continuing Operation Net Minority Interest,6367000000.0,4766000000.0,1537000000.0,2497000000.0,
Reconciled Depreciation,554000000.0,554000000.0,553000000.0,559000000.0,
Reconciled Cost Of Revenue,164031000000.0,154586000000.0,173957000000.0,123270000000.0,
EBITDA,10433000000.0,8402000000.0,3625000000.0,4133000000.0,
EBIT,9879000000.0,7848000000.0,3072000000.0,3574000000.0,
Net Interest Income,-758000000.0,-1006000000.0,-944000000.0,-166000000.0,
Interest Expense,1341000000.0,1389000000.0,1142000000.0,400000000.0,
Interest Income,175000000.0,177000000.0,117000000.0,82000000.0,
Normalized Income,5849276000.0,4112870000.0,1396904000.0,2408856000.0,
Net Income From Continuing And Discontinued Operation,6367000000.0,4766000000.0,1537000000.0,2497000000.0,
Total Expenses,163573000000.0,156052000000.0,177649000000.0,127265000000.0,
Rent Expense Supplemental,380000000.0,282000000.0,288000000.0,215000000.0,
Diluted Average Shares,,1122877709.0,1120874297.0,1155435533.0,1165068174.0
Basic Average Shares,,1119801007.0,1119750407.0,1154690374.0,1165000000.0
Diluted EPS,,4.2445,1.3713,2.1611,3.3517
Basic EPS,,4.2561,1.3726,2.1625,3.3519
Diluted NI Availto Com Stockholders,6367000000.0,4766000000.0,1537000000.0,2497000000.0,
Net Income Common Stockholders,6367000000.0,4766000000.0,1537000000.0,2497000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,6367000000.0,4766000000.0,1537000000.0,2497000000.0,
Net Income Including Noncontrolling Interests,6367000000.0,4766000000.0,1537000000.0,2497000000.0,
Net Income Continuous Operations,6367000000.0,4766000000.0,1537000000.0,2497000000.0,
Tax Provision,2171000000.0,1693000000.0,393000000.0,677000000.0,
Pretax Income,8538000000.0,6459000000.0,1930000000.0,3174000000.0,
Other Non Operating Income Expenses,355000000.0,241000000.0,306000000.0,805000000.0,
Special Income Charges,6000000.0,294000000.0,815000000.0,-912000000.0,
Other Special Charges,-264000000.0,-325000000.0,-875000000.0,832000000.0,
Write Off,744000000.0,43000000.0,60000000.0,80000000.0,
Restructuring And Mergern Acquisition,-486000000.0,-12000000.0,0.0,,-2000000.0
Net Non Operating Interest Income Expense,-758000000.0,-1006000000.0,-944000000.0,-166000000.0,
Total Other Finance Cost,-408000000.0,-206000000.0,-81000000.0,-152000000.0,
Interest Expense Non Operating,1341000000.0,1389000000.0,1142000000.0,400000000.0,
Interest Income Non Operating,175000000.0,177000000.0,117000000.0,82000000.0,
Operating Income,8699000000.0,6895000000.0,3797000000.0,2856000000.0,
Operating Expense,-458000000.0,1466000000.0,3692000000.0,3995000000.0,
Other Operating Expenses,-4387000000.0,-2179000000.0,95000000.0,884000000.0,
Depreciation And Amortization In Income Statement,543000000.0,541000000.0,541000000.0,546000000.0,
Depreciation Income Statement,543000000.0,541000000.0,541000000.0,546000000.0,
Selling General And Administration,2007000000.0,1932000000.0,1831000000.0,1594000000.0,
Selling And Marketing Expense,1872000000.0,1846000000.0,1760000000.0,1514000000.0,
General And Administrative Expense,135000000.0,86000000.0,71000000.0,80000000.0,
Rent And Landing Fees,380000000.0,282000000.0,288000000.0,215000000.0,
Gross Profit,8241000000.0,8361000000.0,7489000000.0,6851000000.0,
Cost Of Revenue,164031000000.0,154586000000.0,173957000000.0,123270000000.0,
Total Revenue,172272000000.0,162947000000.0,181446000000.0,130121000000.0,
Operating Revenue,172272000000.0,162947000000.0,181446000000.0,130121000000.0,
