,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-12161056.139718,2875380.0,33428800.0,-44821.33589,
Tax Rate For Calcs,0.110619,0.34,0.34,0.033499,
Normalized EBITDA,-307131000.0,1051021000.0,622799000.0,895132000.0,
Total Unusual Items,-109936000.0,8457000.0,98320000.0,-1338000.0,
Total Unusual Items Excluding Goodwill,-109936000.0,8457000.0,98320000.0,-1338000.0,
Net Income From Continuing Operation Net Minority Interest,-1415491000.0,359916000.0,259733000.0,395155000.0,
Reconciled Depreciation,311127000.0,260611000.0,176359000.0,98189000.0,
Reconciled Cost Of Revenue,10277418000.0,9349113000.0,7349867000.0,5121452000.0,
EBITDA,-417067000.0,1059478000.0,721119000.0,893794000.0,
EBIT,-728194000.0,798867000.0,544760000.0,795605000.0,
Net Interest Income,-728560000.0,-497953000.0,-414805000.0,-83449000.0,
Interest Expense,863353000.0,660370000.0,336678000.0,386754000.0,
Interest Income,134793000.0,162417000.0,6339000.0,303305000.0,
Normalized Income,-1317716056.139718,354334380.0,194841800.0,396448178.66411,
Net Income From Continuing And Discontinued Operation,-1415491000.0,359916000.0,259733000.0,395155000.0,
Total Expenses,11750800000.0,10495170000.0,8238405000.0,5722123000.0,
Rent Expense Supplemental,,,,,4499000.0
Diluted Average Shares,317374664.0,302450420.0,283752857.0,261584647.0,
Basic Average Shares,317374664.0,302450420.0,283752857.0,261584647.0,
Diluted EPS,-4.46,1.19,0.91535,1.51062,
Basic EPS,-4.46,1.19,0.91535,1.51062,
Diluted NI Availto Com Stockholders,-1415491000.0,359916000.0,259733000.0,395155000.0,
Net Income Common Stockholders,-1415491000.0,359916000.0,259733000.0,395155000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-1415491000.0,359916000.0,259733000.0,395155000.0,
Minority Interests,,,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,-1415491000.0,359916000.0,259733000.0,395155000.0,
Net Income Continuous Operations,-1415491000.0,359916000.0,259733000.0,395155000.0,
Tax Provision,-176056000.0,-221419000.0,-51651000.0,13696000.0,
Pretax Income,-1591547000.0,138497000.0,208082000.0,408851000.0,
Other Non Operating Income Expenses,-573758000.0,41010000.0,,,
Special Income Charges,-109936000.0,8457000.0,-3054000.0,-1338000.0,
Other Special Charges,,-10551000.0,-2912000.0,-69138000.0,-3324000.0
Write Off,109936000.0,-8457000.0,5966000.0,1338000.0,
Impairment Of Capital Assets,,,,0.0,14491000.0
Restructuring And Mergern Acquisition,,-16668000.0,0.0,,
Net Non Operating Interest Income Expense,-728560000.0,-497953000.0,-414805000.0,-83449000.0,
Total Other Finance Cost,,98571000.0,84466000.0,17355000.0,13246000.0
Interest Expense Non Operating,863353000.0,660370000.0,336678000.0,386754000.0,
Interest Income Non Operating,134793000.0,162417000.0,6339000.0,303305000.0,
Operating Income,-167430000.0,588660000.0,508126000.0,496636000.0,
Operating Expense,1473382000.0,1146057000.0,888538000.0,600671000.0,
Other Operating Expenses,,26136000.0,28605000.0,235945000.0,14607000.0
Selling General And Administration,1473382000.0,1146057000.0,863528000.0,671862000.0,
Selling And Marketing Expense,484050000.0,281399000.0,240218000.0,196365000.0,
General And Administrative Expense,989332000.0,864658000.0,623310000.0,475497000.0,
Rent And Landing Fees,,,,,4499000.0
Gross Profit,1305952000.0,1734717000.0,1396664000.0,1097307000.0,
Cost Of Revenue,10277418000.0,9349113000.0,7349867000.0,5121452000.0,
Total Revenue,11583370000.0,11083830000.0,8746531000.0,6218759000.0,
Operating Revenue,11583370000.0,11083830000.0,8746531000.0,6218759000.0,
