,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,90827.0,212361.0,482522.0,596208.0,
Ordinary Shares Number,118201989.0,118080455.0,117810294.0,117696608.0,
Share Issued,118292816.0,118292816.0,118292816.0,118292816.0,
Net Debt,606741000.0,826687000.0,816213000.0,650676000.0,
Total Debt,951062000.0,1309243000.0,1335223000.0,1071429000.0,
Tangible Book Value,90905000.0,-84570000.0,-39181000.0,200500000.0,
Invested Capital,1816506000.0,1962738000.0,1984653000.0,1953278000.0,
Working Capital,28032000.0,-210073000.0,-194105000.0,-100242000.0,
Net Tangible Assets,90905000.0,-84570000.0,-39181000.0,200500000.0,
Capital Lease Obligations,229349000.0,263961000.0,300266000.0,293443000.0,
Common Stock Equity,1094793000.0,917456000.0,949696000.0,1175292000.0,
Total Capitalization,1522515000.0,1586762000.0,1560163000.0,1586722000.0,
Total Equity Gross Minority Interest,1136817000.0,943992000.0,981917000.0,1209434000.0,
Minority Interest,42024000.0,26536000.0,32221000.0,34142000.0,
Stockholders Equity,1094793000.0,917456000.0,949696000.0,1175292000.0,
Other Equity Interest,511000000.0,200100000.0,,,
Treasury Stock,1899000.0,2280000.0,5448000.0,7497000.0,
Retained Earnings,-634974000.0,-505855000.0,-277977000.0,-50166000.0,
Capital Stock,612412000.0,612412000.0,612412000.0,612412000.0,
Common Stock,612412000.0,612412000.0,612412000.0,612412000.0,
Total Liabilities Net Minority Interest,1752405000.0,1725819000.0,1633537000.0,1332795000.0,
Total Non Current Liabilities Net Minority Interest,1086005000.0,990999000.0,955148000.0,743265000.0,
Tradeand Other Payables Non Current,379704000.0,25378000.0,10694000.0,14002000.0,
Non Current Deferred Taxes Liabilities,6047000.0,7495000.0,17334000.0,14956000.0,
Long Term Debt And Capital Lease Obligation,644204000.0,902208000.0,876948000.0,674471000.0,
Long Term Capital Lease Obligation,216482000.0,232902000.0,266481000.0,263041000.0,
Long Term Debt,427722000.0,669306000.0,610467000.0,411430000.0,
Long Term Provisions,56050000.0,55918000.0,50172000.0,39836000.0,
Current Liabilities,666400000.0,734820000.0,678389000.0,589530000.0,
Current Debt And Capital Lease Obligation,306858000.0,407035000.0,458275000.0,396958000.0,
Current Capital Lease Obligation,12867000.0,31059000.0,33785000.0,30402000.0,
Current Debt,293991000.0,375976000.0,424490000.0,366556000.0,
Payables,259427000.0,248229000.0,152743000.0,151570000.0,
Other Payable,2685000.0,4552000.0,6994000.0,1557000.0,
Dividends Payable,104000.0,75000.0,91000.0,1975000.0,
Total Tax Payable,162846000.0,96465000.0,36439000.0,30490000.0,
Accounts Payable,93792000.0,147137000.0,109219000.0,117548000.0,
Total Assets,2889222000.0,2669811000.0,2615454000.0,2542229000.0,
Total Non Current Assets,2194790000.0,2145064000.0,2131170000.0,2052941000.0,
Other Non Current Assets,10127000.0,11525000.0,7730000.0,9746000.0,
Non Current Deferred Taxes Assets,209605000.0,204322000.0,205228000.0,165858000.0,
Investmentin Financial Assets,31674000.0,58481000.0,71573000.0,63919000.0,
Available For Sale Securities,31674000.0,58481000.0,71573000.0,63919000.0,
Long Term Equity Investment,2721000.0,7657000.0,4134000.0,4368000.0,
Investmentsin Subsidiariesat Cost,2721000.0,7657000.0,4134000.0,4368000.0,
Goodwill And Other Intangible Assets,1003888000.0,1002026000.0,988877000.0,974792000.0,
Other Intangible Assets,159120000.0,157258000.0,144109000.0,130024000.0,
Goodwill,844768000.0,844768000.0,844768000.0,844768000.0,
Net PPE,803721000.0,795136000.0,811022000.0,792948000.0,
Accumulated Depreciation,-1058227000.0,-969773000.0,-582277000.0,-789882000.0,
Gross PPE,1861948000.0,795136000.0,1393299000.0,792948000.0,
Construction In Progress,8488000.0,8480000.0,8480000.0,8480000.0,
Other Properties,345000.0,294000.0,811022000.0,209942000.0,
Machinery Furniture Equipment,1020529000.0,395707000.0,885982000.0,353649000.0,
Buildings And Improvements,832586000.0,390655000.0,498837000.0,430819000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,694432000.0,524747000.0,484284000.0,489288000.0,
Other Current Assets,,-1000.0,,,
Hedging Assets Current,,0.0,1687000.0,0.0,2888000.0
Inventory,11618000.0,12261000.0,14631000.0,11631000.0,
Other Receivables,285356000.0,24528000.0,77483000.0,157372000.0,
Taxes Receivable,73471000.0,57545000.0,42254000.0,55873000.0,
Accounts Receivable,178291000.0,195572000.0,114249000.0,104502000.0,
Gross Accounts Receivable,178291000.0,195572000.0,114249000.0,104502000.0,
Cash Cash Equivalents And Short Term Investments,145696000.0,234842000.0,233980000.0,159910000.0,
Other Short Term Investments,30724000.0,16247000.0,15236000.0,32600000.0,
Cash And Cash Equivalents,114972000.0,218595000.0,218744000.0,127310000.0,
Cash Equivalents,93817000.0,172186000.0,126330000.0,75671000.0,
Cash Financial,21155000.0,46409000.0,92414000.0,51639000.0,
