,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,1858045.0,1258600.0,,,
Ordinary Shares Number,215165980.0,215765425.0,214426523.0,209231726.0,
Share Issued,217024025.0,217024025.0,214426523.0,209231726.0,
Net Debt,799587000.0,739338000.0,733304000.0,756554000.0,
Total Debt,1462748000.0,1411972000.0,1370067000.0,1365659000.0,
Tangible Book Value,-1048238000.0,-1130970000.0,-1128155000.0,-1002332000.0,
Invested Capital,1367358000.0,1296176000.0,1316633000.0,1408322000.0,
Working Capital,-199413000.0,-345620000.0,-624260000.0,-440927000.0,
Net Tangible Assets,-1048238000.0,-1130970000.0,-1128155000.0,-1002332000.0,
Capital Lease Obligations,445165000.0,483110000.0,499350000.0,512705000.0,
Common Stock Equity,349775000.0,367314000.0,445916000.0,555368000.0,
Total Capitalization,1167560000.0,1073262000.0,863950000.0,1085977000.0,
Total Equity Gross Minority Interest,362927000.0,374276000.0,456988000.0,562050000.0,
Minority Interest,13152000.0,6962000.0,11072000.0,6682000.0,
Stockholders Equity,349775000.0,367314000.0,445916000.0,555368000.0,
Retained Earnings,-1055099000.0,-1046652000.0,-988162000.0,-827291000.0,
Capital Stock,645630000.0,645630000.0,635240000.0,614461000.0,
Common Stock,645630000.0,645630000.0,635240000.0,614461000.0,
Total Liabilities Net Minority Interest,2144379000.0,2140816000.0,2107018000.0,2013168000.0,
Total Non Current Liabilities Net Minority Interest,1506320000.0,1456498000.0,1207898000.0,1322260000.0,
Other Non Current Liabilities,321354000.0,344245000.0,340327000.0,334480000.0,
Tradeand Other Payables Non Current,8763000.0,11951000.0,15852000.0,2315000.0,
Long Term Debt And Capital Lease Obligation,1157963000.0,1083822000.0,813604000.0,950518000.0,
Long Term Capital Lease Obligation,340178000.0,377874000.0,395570000.0,419909000.0,
Long Term Debt,817785000.0,705948000.0,418034000.0,530609000.0,
Long Term Provisions,18240000.0,16480000.0,38115000.0,34947000.0,
Current Liabilities,638059000.0,684318000.0,899120000.0,690908000.0,
Other Current Liabilities,98489000.0,113185000.0,118907000.0,73724000.0,
Current Debt And Capital Lease Obligation,304785000.0,328150000.0,556463000.0,415141000.0,
Current Capital Lease Obligation,104987000.0,105236000.0,103780000.0,92796000.0,
Current Debt,199798000.0,222914000.0,452683000.0,322345000.0,
Pensionand Other Post Retirement Benefit Plans Current,41348000.0,35832000.0,31858000.0,27157000.0,
Payables,138612000.0,167483000.0,159393000.0,152077000.0,
Other Payable,2935000.0,2044000.0,1020000.0,81000.0,
Total Tax Payable,24490000.0,20891000.0,18395000.0,18233000.0,
Accounts Payable,111187000.0,144548000.0,139978000.0,133763000.0,
Total Assets,2507306000.0,2515092000.0,2564006000.0,2575218000.0,
Total Non Current Assets,2068660000.0,2176394000.0,2289146000.0,2325237000.0,
Other Non Current Assets,,,,-300000.0,14053000.0
Non Current Prepaid Assets,3810000.0,2306000.0,1791000.0,3586000.0,
Long Term Equity Investment,12925000.0,9103000.0,10053000.0,15599000.0,
Investmentsin Associatesat Cost,12925000.0,9103000.0,10053000.0,15599000.0,
Investmentsin Subsidiariesat Cost,0.0,0.0,0.0,,0.0
Investment Properties,,,0.0,13463000.0,13800000.0
Goodwill And Other Intangible Assets,1398013000.0,1498284000.0,1574071000.0,1557700000.0,
Other Intangible Assets,813799000.0,899562000.0,948369000.0,956658000.0,
Goodwill,584214000.0,598722000.0,625702000.0,601042000.0,
Net PPE,607950000.0,607982000.0,608124000.0,626112000.0,
Accumulated Depreciation,-368555000.0,-336279000.0,-316084000.0,-299639000.0,
Gross PPE,976505000.0,944261000.0,924208000.0,925751000.0,
Other Properties,602645000.0,598457000.0,602980000.0,615502000.0,
Machinery Furniture Equipment,168981000.0,153931000.0,139973000.0,140396000.0,
Buildings And Improvements,204181000.0,191175000.0,180557000.0,169155000.0,
Land And Improvements,698000.0,698000.0,698000.0,698000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,438646000.0,338698000.0,274860000.0,249981000.0,
Other Current Assets,,,,-4236000.0,30930000.0
Hedging Assets Current,1812000.0,805000.0,3566000.0,0.0,
Prepaid Assets,20619000.0,11359000.0,9682000.0,9087000.0,
Other Receivables,7495000.0,6430000.0,14555000.0,43459000.0,
Taxes Receivable,37298000.0,37868000.0,42044000.0,43948000.0,
Accounts Receivable,153426000.0,92712000.0,67600000.0,57087000.0,
Allowance For Doubtful Accounts Receivable,-250000.0,,-250000.0,-1584000.0,-250000.0
Gross Accounts Receivable,153676000.0,,67850000.0,58671000.0,50192000.0
Cash Cash Equivalents And Short Term Investments,217996000.0,189524000.0,137413000.0,96400000.0,
Cash And Cash Equivalents,217996000.0,189524000.0,137413000.0,96400000.0,
Cash Equivalents,186546000.0,177835000.0,128683000.0,90608000.0,
Cash Financial,31450000.0,11689000.0,8730000.0,5792000.0,
