,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,264496.0,499999.0,349999.0,384529.0,
Preferred Shares Number,,,,928965058.0,
Ordinary Shares Number,347872500.0,347633997.0,347659609.0,345681681.0,
Share Issued,348136996.0,348133996.0,348009608.0,346066210.0,
Net Debt,14953776000.0,9294033000.0,8721422000.0,6944932000.0,
Total Debt,37542632000.0,26337780000.0,23972603000.0,24909306000.0,
Tangible Book Value,-31994883000.0,-22791095000.0,-20434023000.0,-19691041000.0,
Invested Capital,-14271485000.0,-10136479000.0,-9617730000.0,-8314272000.0,
Working Capital,-15684277000.0,-9704733000.0,-10184169000.0,-5863917000.0,
Net Tangible Assets,-31994883000.0,-22791095000.0,-20434023000.0,-19691041000.0,
Capital Lease Obligations,21378847000.0,15146411000.0,14582833000.0,14890575000.0,
Common Stock Equity,-30435270000.0,-21327848000.0,-19007500000.0,-18333003000.0,
Total Capitalization,-16603005000.0,-11553184000.0,-11498811000.0,-9337662000.0,
Total Equity Gross Minority Interest,-30435270000.0,-21327848000.0,-19007500000.0,-18333003000.0,
Stockholders Equity,-30435270000.0,-21327848000.0,-19007500000.0,-18333003000.0,
Other Equity Interest,,789000.0,61000.0,120000.0,20625000.0
Gains Losses Not Affecting Retained Earnings,2071940000.0,2032716000.0,1975379000.0,1952270000.0,
Other Equity Adjustments,2071940000.0,2032716000.0,1975379000.0,1952270000.0,
Treasury Stock,4334000.0,9041000.0,10204000.0,11959000.0,
Retained Earnings,-34818504000.0,-25667133000.0,-23286677000.0,-22564310000.0,
Capital Stock,2315628000.0,2314821000.0,2313941000.0,2290876000.0,
Common Stock,2315628000.0,2314821000.0,2313941000.0,2290876000.0,
Total Liabilities Net Minority Interest,56710213000.0,41860757000.0,37728793000.0,36866476000.0,
Total Non Current Liabilities Net Minority Interest,35367916000.0,27111877000.0,22672688000.0,25156223000.0,
Other Non Current Liabilities,808737000.0,828512000.0,931760000.0,1120334000.0,
Derivative Product Liabilities,0.0,840000.0,175210000.0,209542000.0,
Tradeand Other Payables Non Current,2153974000.0,2604893000.0,1091438000.0,915610000.0,
Non Current Deferred Liabilities,0.0,39526000.0,0.0,,0.0
Non Current Deferred Taxes Liabilities,0.0,39526000.0,0.0,,0.0
Long Term Debt And Capital Lease Obligation,28896891000.0,21233683000.0,18065574000.0,20388251000.0,
Long Term Capital Lease Obligation,15064626000.0,11459019000.0,10556885000.0,11392910000.0,
Long Term Debt,13832265000.0,9774664000.0,7508689000.0,8995341000.0,
Long Term Provisions,3508314000.0,2404423000.0,2408706000.0,2522486000.0,
Current Liabilities,21342297000.0,14748880000.0,15056105000.0,11710253000.0,
Other Current Liabilities,334310000.0,219267000.0,152038000.0,405193000.0,
Current Deferred Liabilities,6326057000.0,5205876000.0,4140025000.0,3063816000.0,
Current Deferred Revenue,6326057000.0,5205876000.0,4140025000.0,3063816000.0,
Current Debt And Capital Lease Obligation,8645741000.0,5104097000.0,5907029000.0,4521055000.0,
Current Capital Lease Obligation,6314221000.0,3687392000.0,4025948000.0,3497665000.0,
Current Debt,2331520000.0,1416705000.0,1881081000.0,1023390000.0,
Other Current Borrowings,2331520000.0,1125858000.0,1127729000.0,1023390000.0,
Line Of Credit,0.0,290847000.0,753352000.0,,
Current Provisions,670722000.0,736430000.0,834288000.0,977103000.0,
Payables And Accrued Expenses,5365467000.0,3483210000.0,4022725000.0,2743086000.0,
Current Accrued Expenses,508448000.0,474797000.0,479412000.0,459697000.0,
Payables,4857019000.0,3008413000.0,3543313000.0,2283389000.0,
Other Payable,,75900000.0,84985000.0,92793000.0,65785000.0
Total Tax Payable,709794000.0,730572000.0,1025485000.0,656422000.0,
Accounts Payable,4147225000.0,2277841000.0,2517828000.0,1534174000.0,
Total Assets,26274943000.0,20532909000.0,18721293000.0,18533473000.0,
Total Non Current Assets,20616923000.0,15488762000.0,13849357000.0,12687137000.0,
Other Non Current Assets,411701000.0,143781000.0,328005000.0,126100000.0,
Non Current Prepaid Assets,3063786000.0,1777803000.0,1514393000.0,1866872000.0,
Non Current Accounts Receivable,36136000.0,16210000.0,105860000.0,197999000.0,
Financial Assets,,0.0,235896000.0,270640000.0,349093000.0
Investments And Advances,1040454000.0,780312000.0,733043000.0,906719000.0,
Investmentin Financial Assets,1040454000.0,780312000.0,733043000.0,906719000.0,
Held To Maturity Securities,1040454000.0,780312000.0,733043000.0,906719000.0,
Goodwill And Other Intangible Assets,1559613000.0,1463247000.0,1426523000.0,1358038000.0,
Other Intangible Assets,658196000.0,561830000.0,525106000.0,456621000.0,
Goodwill,901417000.0,901417000.0,901417000.0,901417000.0,
Net PPE,14505233000.0,11307409000.0,9505637000.0,7960769000.0,
Accumulated Depreciation,-11629891000.0,-10397527000.0,-10821797000.0,-9928036000.0,
Gross PPE,26135124000.0,21704936000.0,20327434000.0,17888805000.0,
Leases,660624000.0,555412000.0,524075000.0,,528310000.0
Construction In Progress,1095688000.0,394135000.0,153730000.0,137781000.0,
Other Properties,5005010000.0,3845353000.0,4239534000.0,3248844000.0,
Machinery Furniture Equipment,,195810000.0,222482000.0,199119000.0,181094000.0
Buildings And Improvements,,,524075000.0,506678000.0,485247000.0
Properties,,,524075000.0,506678000.0,
Current Assets,5658020000.0,5044147000.0,4871936000.0,5846336000.0,
Other Current Assets,850052000.0,245518000.0,189849000.0,73511000.0,
Hedging Assets Current,0.0,21909000.0,36054000.0,83177000.0,
Assets Held For Sale Current,,,,,0.0
Prepaid Assets,603158000.0,736743000.0,1146865000.0,858704000.0,
Inventory,943578000.0,799208000.0,721738000.0,571924000.0,
Receivables,1979325000.0,1343433000.0,2109082000.0,1183791000.0,
Other Receivables,,14592000.0,70193000.0,76199000.0,123455000.0
Taxes Receivable,203951000.0,219433000.0,234891000.0,109699000.0,
Accounts Receivable,1775374000.0,1109408000.0,1803998000.0,997893000.0,
Allowance For Doubtful Accounts Receivable,-27724000.0,-27234000.0,-24084000.0,-17817000.0,
Gross Accounts Receivable,1803098000.0,1136642000.0,1828082000.0,1015710000.0,
Cash Cash Equivalents And Short Term Investments,1281907000.0,1897336000.0,668348000.0,3075229000.0,
Other Short Term Investments,71898000.0,0.0,0.0,1430000.0,
Cash And Cash Equivalents,1210009000.0,1897336000.0,668348000.0,3073799000.0,
Cash Equivalents,1042011000.0,1625479000.0,566611000.0,2844054000.0,
Cash Financial,167998000.0,271857000.0,101737000.0,229745000.0,
