,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,21410902.0,23133654.0,25246125.0,26036719.0,
Ordinary Shares Number,664466436.0,662743685.0,660631213.0,659182644.0,
Share Issued,685877338.0,685877339.0,685877338.0,685219363.0,
Net Debt,15621180000.0,8878293000.0,6695011000.0,6102696000.0,
Total Debt,30118044000.0,21584854000.0,13804839000.0,13444412000.0,
Tangible Book Value,-7773957000.0,-1551088000.0,-1352666000.0,-174064000.0,
Invested Capital,29603470000.0,21731261000.0,14273302000.0,14058836000.0,
Working Capital,7883554000.0,8389197000.0,4856978000.0,6528730000.0,
Net Tangible Assets,-7773957000.0,-1551088000.0,-1352666000.0,-174064000.0,
Capital Lease Obligations,35935000.0,27972000.0,38365000.0,39707000.0,
Common Stock Equity,-478639000.0,174379000.0,506828000.0,654131000.0,
Total Capitalization,24494050000.0,17936706000.0,12195363000.0,12570420000.0,
Total Equity Gross Minority Interest,87217000.0,659550000.0,1062495000.0,654131000.0,
Minority Interest,565856000.0,485171000.0,555667000.0,0.0,
Stockholders Equity,-478639000.0,174379000.0,506828000.0,654131000.0,
Fixed Assets Revaluation Reserve,42875000.0,44422000.0,45970000.0,47518000.0,
Treasury Stock,199636000.0,215699000.0,235396000.0,242768000.0,
Retained Earnings,-577295000.0,0.0,,,0.0
Capital Stock,1619074000.0,1619074000.0,1619074000.0,1616138000.0,
Common Stock,1619074000.0,1619074000.0,1619074000.0,1616138000.0,
Total Liabilities Net Minority Interest,42054679000.0,27934604000.0,20337633000.0,19415331000.0,
Total Non Current Liabilities Net Minority Interest,25481464000.0,18188101000.0,12207892000.0,12176961000.0,
Derivative Product Liabilities,,,,,-1253679000.0
Non Current Pension And Other Postretirement Benefit Plans,59333000.0,65683000.0,32331000.0,37314000.0,
Non Current Accrued Expenses,,35219000.0,40147000.0,53179000.0,59706000.0
Tradeand Other Payables Non Current,39542000.0,102378000.0,11395000.0,18524000.0,
Non Current Deferred Taxes Liabilities,383333000.0,234504000.0,380241000.0,118232000.0,
Long Term Debt And Capital Lease Obligation,24996810000.0,17779822000.0,11717223000.0,11945561000.0,
Long Term Capital Lease Obligation,24121000.0,17495000.0,28688000.0,29272000.0,
Long Term Debt,24972689000.0,17762327000.0,11688535000.0,11916289000.0,
Long Term Provisions,2446000.0,5714000.0,26555000.0,4151000.0,
Current Liabilities,16573215000.0,9746503000.0,8129741000.0,7238370000.0,
Current Debt And Capital Lease Obligation,5121234000.0,3805032000.0,2087616000.0,1498851000.0,
Current Capital Lease Obligation,11814000.0,10477000.0,9677000.0,10435000.0,
Current Debt,5109420000.0,3794555000.0,2077939000.0,1488416000.0,
Pensionand Other Post Retirement Benefit Plans Current,708604000.0,402835000.0,373011000.0,400727000.0,
Payables,10743377000.0,5538636000.0,5669114000.0,5338792000.0,
Other Payable,4594330000.0,1811090000.0,2149571000.0,1614550000.0,
Total Tax Payable,,402835000.0,373011000.0,400727000.0,324990000.0
Accounts Payable,6149047000.0,3727546000.0,3519543000.0,3724242000.0,
Total Assets,42141896000.0,28594154000.0,21400128000.0,20069462000.0,
Total Non Current Assets,17685127000.0,10458454000.0,8413409000.0,6302362000.0,
Non Current Prepaid Assets,0.0,1500000000.0,0.0,,
Non Current Deferred Taxes Assets,907529000.0,910184000.0,792811000.0,415665000.0,
Long Term Equity Investment,256204000.0,197455000.0,242104000.0,199841000.0,
Investmentsin Subsidiariesat Cost,256204000.0,197455000.0,242104000.0,199841000.0,
Goodwill And Other Intangible Assets,7295318000.0,1725467000.0,1859494000.0,828195000.0,
Other Intangible Assets,1109936000.0,620645000.0,799216000.0,168805000.0,
Goodwill,6185382000.0,1104822000.0,1060278000.0,659390000.0,
Net PPE,8786530000.0,5693291000.0,5234666000.0,4581352000.0,
Accumulated Depreciation,-3753662000.0,-21518000.0,-21518000.0,-21518000.0,
Gross PPE,12540192000.0,5714809000.0,5256184000.0,4602870000.0,
Construction In Progress,470639000.0,261235000.0,289207000.0,282283000.0,
Other Properties,609000.0,194000.0,190000.0,560000.0,
Machinery Furniture Equipment,6156669000.0,2402442000.0,2118664000.0,1655369000.0,
Buildings And Improvements,5338233000.0,2687913000.0,2393757000.0,2223459000.0,
Land And Improvements,574042000.0,363025000.0,454366000.0,441199000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,24456769000.0,18135700000.0,12986719000.0,13767100000.0,
Inventory,4133814000.0,2073115000.0,2093364000.0,2583254000.0,
Other Inventories,22429000.0,55210000.0,434897000.0,467960000.0,
Finished Goods,3670662000.0,1851165000.0,1428055000.0,1885560000.0,
Raw Materials,440723000.0,166740000.0,230412000.0,229734000.0,
Other Receivables,590676000.0,436042000.0,583682000.0,478198000.0,
Taxes Receivable,1087191000.0,545882000.0,750670000.0,805076000.0,
Accounts Receivable,4184159000.0,2402072000.0,2487540000.0,2598563000.0,
Allowance For Doubtful Accounts Receivable,-63819000.0,-41084000.0,-35851000.0,-42140000.0,
Gross Accounts Receivable,4247978000.0,2443156000.0,2523391000.0,2640703000.0,
Cash Cash Equivalents And Short Term Investments,14460929000.0,12678589000.0,7071463000.0,7302009000.0,
Cash And Cash Equivalents,14460929000.0,12678589000.0,7071463000.0,7302009000.0,
Cash Equivalents,6910417000.0,8668638000.0,1837007000.0,1226376000.0,
Cash Financial,7550512000.0,4009951000.0,5234456000.0,6075633000.0,
