,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,126841481.0,,83737611.0,70099454.0,70037565.0
Share Issued,126841481.0,,83737611.0,70099454.0,70037565.0
Net Debt,43763000.0,,96353000.0,152776000.0,130919000.0
Total Debt,121383000.0,,172284000.0,184145000.0,188322000.0
Tangible Book Value,217065000.0,79849000.0,110778000.0,56010000.0,
Invested Capital,384167000.0,,331393000.0,295731000.0,379801000.0
Working Capital,153216000.0,,91053000.0,63056000.0,134624000.0
Net Tangible Assets,217065000.0,79849000.0,110778000.0,56010000.0,
Common Stock Equity,262784000.0,,159109000.0,111586000.0,191479000.0
Total Capitalization,339664000.0,,280333000.0,245656000.0,336193000.0
Total Equity Gross Minority Interest,262784000.0,,159109000.0,111586000.0,191479000.0
Stockholders Equity,262784000.0,,159109000.0,111586000.0,191479000.0
Retained Earnings,-653642000.0,,-495263000.0,-402704000.0,-322443000.0
Capital Stock,900000000.0,,637988000.0,497859000.0,496476000.0
Common Stock,900000000.0,,637988000.0,497859000.0,496476000.0
Total Liabilities Net Minority Interest,202875000.0,,245984000.0,258245000.0,243491000.0
Total Non Current Liabilities Net Minority Interest,113981000.0,,153526000.0,179516000.0,177219000.0
Other Non Current Liabilities,3102000.0,,1461000.0,12650000.0,843000.0
Tradeand Other Payables Non Current,33016000.0,,30841000.0,32166000.0,31507000.0
Non Current Deferred Taxes Liabilities,983000.0,,0.0,630000.0,155000.0
Long Term Debt And Capital Lease Obligation,76880000.0,,121224000.0,134070000.0,144714000.0
Long Term Debt,76880000.0,,121224000.0,134070000.0,144714000.0
Current Liabilities,88894000.0,,92458000.0,78729000.0,66272000.0
Current Debt And Capital Lease Obligation,44503000.0,,51060000.0,50075000.0,43608000.0
Current Debt,44503000.0,,51060000.0,50075000.0,43608000.0
Payables,36273000.0,,37934000.0,22398000.0,15359000.0
Other Payable,1646000.0,,2835000.0,3080000.0,2757000.0
Total Tax Payable,2400000.0,,1086000.0,1643000.0,1264000.0
Accounts Payable,32227000.0,,34013000.0,17675000.0,11338000.0
Total Assets,465659000.0,,405093000.0,369831000.0,434970000.0
Total Non Current Assets,223549000.0,,221582000.0,228046000.0,234074000.0
Other Non Current Assets,,,,38000.0,
Investmentin Financial Assets,9302000.0,,8921000.0,8731000.0,15164000.0
Goodwill And Other Intangible Assets,45719000.0,43091000.0,48331000.0,55576000.0,
Other Intangible Assets,45719000.0,43091000.0,48331000.0,55576000.0,
Net PPE,167645000.0,163889000.0,163761000.0,163186000.0,
Accumulated Depreciation,-18227000.0,,-16429000.0,-12405000.0,-8508000.0
Gross PPE,185872000.0,163889000.0,163761000.0,163186000.0,
Construction In Progress,4327000.0,99089000.0,115027000.0,113115000.0,
Other Properties,7744000.0,2202000.0,3378000.0,3906000.0,
Machinery Furniture Equipment,99169000.0,20006000.0,7097000.0,7557000.0,
Buildings And Improvements,60781000.0,28741000.0,24408000.0,24757000.0,
Land And Improvements,13851000.0,,13851000.0,13851000.0,13851000.0
Properties,0.0,,0.0,0.0,0.0
Current Assets,242110000.0,,183511000.0,141785000.0,200896000.0
Other Current Assets,539000.0,,671000.0,370000.0,237000.0
Assets Held For Sale Current,752000.0,,838000.0,838000.0,838000.0
Prepaid Assets,8887000.0,,6802000.0,6556000.0,17613000.0
Inventory,54994000.0,,42356000.0,49945000.0,18491000.0
Inventories Adjustments Allowances,,,-490000.0,0.0,
Other Inventories,2944000.0,6609000.0,9248000.0,2753000.0,
Finished Goods,19434000.0,,33598000.0,47192000.0,18143000.0
Work In Process,14422000.0,0.0,,,
Raw Materials,18194000.0,145000.0,,,
Taxes Receivable,10549000.0,,2736000.0,1317000.0,1127000.0
Accounts Receivable,22949000.0,,25548000.0,27623000.0,20499000.0
Allowance For Doubtful Accounts Receivable,-199000.0,,-604000.0,-668000.0,-950000.0
Gross Accounts Receivable,23148000.0,,26152000.0,28291000.0,21449000.0
Cash Cash Equivalents And Short Term Investments,143440000.0,,104560000.0,55136000.0,142091000.0
Other Short Term Investments,65820000.0,,28629000.0,23767000.0,84688000.0
Cash And Cash Equivalents,77620000.0,,75931000.0,31369000.0,57403000.0
Cash Equivalents,72461000.0,,70151000.0,30577000.0,21991000.0
Cash Financial,5159000.0,,5780000.0,792000.0,35412000.0
