,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,2750309.0,158999.0,202532.0,51107.0,
Ordinary Shares Number,580482102.0,583073412.0,583029879.0,583181304.0,
Share Issued,583232411.0,583232411.0,583232411.0,583232411.0,
Net Debt,7172609000.0,3183220000.0,4036044000.0,3617324000.0,
Total Debt,8883601000.0,5579636000.0,5850349000.0,4269592000.0,
Tangible Book Value,2718197000.0,2604948000.0,2759909000.0,2543237000.0,
Invested Capital,13238401000.0,9722646000.0,9863516000.0,7966741000.0,
Net Tangible Assets,2718197000.0,2604948000.0,2759909000.0,2543237000.0,
Common Stock Equity,4354800000.0,4143010000.0,4099763000.0,3800783000.0,
Total Capitalization,13238401000.0,9722646000.0,9863516000.0,7966741000.0,
Total Equity Gross Minority Interest,4406593000.0,4180259000.0,4130867000.0,3823900000.0,
Minority Interest,51793000.0,37249000.0,31104000.0,23117000.0,
Stockholders Equity,4354800000.0,4143010000.0,4099763000.0,3800783000.0,
Other Equity Interest,-11101000.0,-353000.0,-462000.0,-254000.0,
Retained Earnings,-452494000.0,-285397000.0,-348656000.0,-182847000.0,
Capital Stock,3742572000.0,3742572000.0,3742572000.0,3742572000.0,
Common Stock,3742572000.0,3742572000.0,3742572000.0,3742572000.0,
Total Liabilities Net Minority Interest,44031198000.0,39539105000.0,40457403000.0,30426470000.0,
Derivative Product Liabilities,203278000.0,137382000.0,52361000.0,65332000.0,
Long Term Debt And Capital Lease Obligation,8883601000.0,5579636000.0,5850349000.0,4269592000.0,
Payables,835798000.0,1303524000.0,1538680000.0,1089246000.0,
Other Payable,488404000.0,1058204000.0,1332736000.0,952885000.0,
Total Tax Payable,347394000.0,245320000.0,205944000.0,136361000.0,
Accounts Payable,,,563424000.0,553274000.0,743099000.0
Total Assets,48437791000.0,43719364000.0,44588270000.0,34250370000.0,
Investments And Advances,14930974000.0,11440264000.0,13348984000.0,12358649000.0,
Investmentin Financial Assets,14930974000.0,11440264000.0,13348984000.0,12358649000.0,
Available For Sale Securities,13846423000.0,10325054000.0,11626911000.0,10323830000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,782269000.0,1045758000.0,1518298000.0,1640104000.0,
Trading Securities,,,,12262124000.0,8792017000.0
Long Term Equity Investment,,,,1008596000.0,1246021000.0
Investmentsin Subsidiariesat Cost,,,,1008596000.0,1246021000.0
Goodwill And Other Intangible Assets,1636603000.0,1538062000.0,1339854000.0,1257546000.0,
Other Intangible Assets,,,,-1602118000.0,-1445836000.0
Goodwill,1636603000.0,1538062000.0,1339854000.0,1257546000.0,
Net PPE,123794000.0,142919000.0,169464000.0,187917000.0,
Accumulated Depreciation,-286769000.0,-260446000.0,-241907000.0,-222665000.0,
Gross PPE,410563000.0,403365000.0,411371000.0,410582000.0,
Other Properties,74892000.0,91287000.0,103414000.0,115437000.0,
Machinery Furniture Equipment,318985000.0,295392000.0,291271000.0,278459000.0,
Buildings And Improvements,,,,12976000.0,
Land And Improvements,,,,3711000.0,
Properties,16686000.0,16686000.0,16686000.0,16686000.0,
Prepaid Assets,383274000.0,400167000.0,424052000.0,329383000.0,
Receivables,805838000.0,1091421000.0,1229094000.0,875467000.0,
Taxes Receivable,514960000.0,554648000.0,529104000.0,487085000.0,
Cash And Cash Equivalents,1710992000.0,2396416000.0,1727709000.0,548634000.0,
Cash Financial,155772000.0,525971000.0,291767000.0,357619000.0,
Cash Cash Equivalents And Federal Funds Sold,2266410000.0,2870073000.0,2125384000.0,914318000.0,
