,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,347200.0,785800.0,4152700.0,2304200.0,
Ordinary Shares Number,85261192.0,86217892.0,86756392.0,88604892.0,
Share Issued,85608392.0,87003692.0,90909092.0,90909092.0,
Total Debt,7226000.0,4271000.0,4935000.0,15245000.0,
Tangible Book Value,689101000.0,610294000.0,618928000.0,549720000.0,
Invested Capital,1166497000.0,1083608000.0,1058526000.0,1029723000.0,
Working Capital,662958000.0,614340000.0,620795000.0,553297000.0,
Net Tangible Assets,689101000.0,610294000.0,618928000.0,549720000.0,
Capital Lease Obligations,7226000.0,4271000.0,4935000.0,15245000.0,
Common Stock Equity,1166497000.0,1083608000.0,1058526000.0,1029723000.0,
Total Capitalization,1166497000.0,1083608000.0,1058526000.0,1029723000.0,
Total Equity Gross Minority Interest,1170039000.0,1086342000.0,1058526000.0,1029723000.0,
Minority Interest,3542000.0,2734000.0,0.0,,
Stockholders Equity,1166497000.0,1083608000.0,1058526000.0,1029723000.0,
Other Equity Interest,-235068000.0,-234403000.0,-225102000.0,-225094000.0,
Treasury Stock,4233000.0,9569000.0,71519000.0,46125000.0,
Retained Earnings,,,0.0,,
Capital Stock,1233744000.0,1233744000.0,1233744000.0,1233744000.0,
Common Stock,1233744000.0,1233744000.0,1233744000.0,1233744000.0,
Total Liabilities Net Minority Interest,457173000.0,357035000.0,290792000.0,415749000.0,
Total Non Current Liabilities Net Minority Interest,51383000.0,42412000.0,31691000.0,66318000.0,
Other Non Current Liabilities,3511000.0,3752000.0,2894000.0,2415000.0,
Tradeand Other Payables Non Current,10590000.0,10299000.0,16053000.0,55184000.0,
Non Current Deferred Taxes Liabilities,32127000.0,25547000.0,9239000.0,0.0,
Long Term Debt And Capital Lease Obligation,5155000.0,2814000.0,3505000.0,11134000.0,
Long Term Capital Lease Obligation,5155000.0,2814000.0,3505000.0,11134000.0,
Current Liabilities,405790000.0,314623000.0,259101000.0,349431000.0,
Other Current Liabilities,154536000.0,82534000.0,46332000.0,2400000.0,
Current Debt And Capital Lease Obligation,2071000.0,1457000.0,1430000.0,4111000.0,
Current Capital Lease Obligation,2071000.0,1457000.0,1430000.0,4111000.0,
Pensionand Other Post Retirement Benefit Plans Current,43948000.0,36834000.0,38510000.0,30786000.0,
Payables,197343000.0,193798000.0,161395000.0,312134000.0,
Other Payable,4634000.0,24829000.0,15199000.0,141675000.0,
Dividends Payable,50762000.0,20568000.0,20322000.0,17895000.0,
Total Tax Payable,19104000.0,18707000.0,15130000.0,12324000.0,
Accounts Payable,122843000.0,129694000.0,110744000.0,140240000.0,
Total Assets,1627212000.0,1443377000.0,1349318000.0,1445472000.0,
Total Non Current Assets,558464000.0,514414000.0,469422000.0,542744000.0,
Non Current Deferred Taxes Assets,22128000.0,20612000.0,17708000.0,32275000.0,
Goodwill And Other Intangible Assets,477396000.0,473314000.0,439598000.0,480003000.0,
Other Intangible Assets,219828000.0,225688000.0,223546000.0,241042000.0,
Goodwill,257568000.0,247626000.0,216052000.0,238961000.0,
Net PPE,16393000.0,14099000.0,11370000.0,29779000.0,
Accumulated Depreciation,,,,-46092000.0,-7695000.0
Gross PPE,16393000.0,14099000.0,11370000.0,29779000.0,
Other Properties,4163000.0,3575000.0,857000.0,15929000.0,
Machinery Furniture Equipment,2644000.0,2939000.0,3306000.0,6505000.0,
Buildings And Improvements,9586000.0,7585000.0,7207000.0,7345000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,1068748000.0,928963000.0,879896000.0,902728000.0,
Other Current Assets,,,2334000.0,2876000.0,1036000.0
Hedging Assets Current,0.0,5987000.0,0.0,746000.0,
Prepaid Assets,16631000.0,18603000.0,14687000.0,11116000.0,
Inventory,15740000.0,28191000.0,42184000.0,57401000.0,
Other Receivables,209815000.0,113120000.0,85139000.0,72988000.0,
Taxes Receivable,46585000.0,32951000.0,19720000.0,28501000.0,
Accounts Receivable,191402000.0,222367000.0,139058000.0,216113000.0,
Allowance For Doubtful Accounts Receivable,,,-10544000.0,-6804000.0,-91000.0
Gross Accounts Receivable,,,220823000.0,222917000.0,93968000.0
Cash Cash Equivalents And Short Term Investments,588575000.0,507744000.0,579108000.0,512987000.0,
Other Short Term Investments,209965000.0,244771000.0,219813000.0,193802000.0,
Cash And Cash Equivalents,378610000.0,262973000.0,359295000.0,319185000.0,
Cash Equivalents,273365000.0,191077000.0,292398000.0,266850000.0,
Cash Financial,105245000.0,71896000.0,66897000.0,52335000.0,
