,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,14166.0,0.0,,,
Ordinary Shares Number,464164962.0,239984927.0,206298439.0,205796066.0,
Share Issued,464179128.0,239984927.0,206298439.0,205796066.0,
Net Debt,15793636000.0,7552425000.0,251600000.0,,344843000.0
Total Debt,23481486000.0,9351844000.0,1102608000.0,73937000.0,
Tangible Book Value,1827841000.0,-1529053000.0,1284923000.0,2612778000.0,
Invested Capital,29489265000.0,14798968000.0,5334481000.0,4156102000.0,
Working Capital,3767241000.0,628985000.0,679215000.0,2146595000.0,
Net Tangible Assets,1827841000.0,-1529053000.0,1284923000.0,2612778000.0,
Capital Lease Obligations,4515892000.0,45313000.0,50566000.0,25725000.0,
Common Stock Equity,10523671000.0,5492437000.0,4282439000.0,4107890000.0,
Total Capitalization,28526291000.0,13809322000.0,5186524000.0,4155429000.0,
Total Equity Gross Minority Interest,10523671000.0,5565090000.0,4341275000.0,4175445000.0,
Minority Interest,0.0,72653000.0,58836000.0,67555000.0,
Stockholders Equity,10523671000.0,5492437000.0,4282439000.0,4107890000.0,
Treasury Stock,,,,,0.0
Retained Earnings,-631995000.0,0.0,-15486000.0,-269554000.0,
Capital Stock,11971561000.0,5055783000.0,4154406000.0,4146616000.0,
Common Stock,11971561000.0,5055783000.0,4154406000.0,4146616000.0,
Total Liabilities Net Minority Interest,33940076000.0,14554768000.0,3629860000.0,1278036000.0,
Total Non Current Liabilities Net Minority Interest,28501828000.0,11218257000.0,2738375000.0,711173000.0,
Other Non Current Liabilities,111865000.0,44393000.0,66228000.0,8317000.0,
Derivative Product Liabilities,23638000.0,52672000.0,0.0,,
Tradeand Other Payables Non Current,2232687000.0,1354641000.0,533816000.0,129323000.0,
Non Current Deferred Taxes Liabilities,652212000.0,68288000.0,79430000.0,89447000.0,
Long Term Debt And Capital Lease Obligation,22152956000.0,8345698000.0,941903000.0,66574000.0,
Long Term Capital Lease Obligation,4150336000.0,28813000.0,37818000.0,19035000.0,
Long Term Debt,18002620000.0,8316885000.0,904085000.0,47539000.0,
Long Term Provisions,3328470000.0,1352565000.0,1116998000.0,417512000.0,
Current Liabilities,5438248000.0,3336511000.0,891485000.0,566863000.0,
Other Current Liabilities,258123000.0,30894000.0,24476000.0,15979000.0,
Current Debt And Capital Lease Obligation,1328530000.0,1006146000.0,160705000.0,7363000.0,
Current Capital Lease Obligation,365556000.0,16500000.0,12748000.0,6690000.0,
Current Debt,962974000.0,989646000.0,147957000.0,673000.0,
Pensionand Other Post Retirement Benefit Plans Current,,,,,3251000.0
Current Provisions,35161000.0,38893000.0,15066000.0,9232000.0,
Payables,3577510000.0,2139305000.0,603058000.0,401891000.0,
Other Payable,940444000.0,608436000.0,299089000.0,295820000.0,
Dividends Payable,14000.0,92565000.0,0.0,,
Total Tax Payable,234183000.0,123090000.0,57301000.0,52462000.0,
Accounts Payable,2402869000.0,1315214000.0,246668000.0,53609000.0,
Total Assets,44463747000.0,20119858000.0,7971135000.0,5453481000.0,
Total Non Current Assets,35258258000.0,16154362000.0,6400435000.0,2740023000.0,
Other Non Current Assets,95372000.0,4829000.0,2568000.0,2316000.0,
