,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,61629171.0,3817179.0,4356397.0,5308884.0,
Ordinary Shares Number,1620844075.0,1678656067.0,1078116849.0,848214571.0,
Share Issued,1682473246.0,1682473246.0,1082473246.0,853523455.0,
Net Debt,9575186000.0,10830884000.0,15386071000.0,17927210000.0,
Total Debt,24733479000.0,23817395000.0,26561934000.0,27935276000.0,
Tangible Book Value,8412440000.0,8782990000.0,4835398000.0,2312718000.0,
Invested Capital,35826201000.0,35018976000.0,34787008000.0,33918562000.0,
Working Capital,10009906000.0,6563914000.0,4206407000.0,5017834000.0,
Net Tangible Assets,8412440000.0,8782990000.0,4835398000.0,2312718000.0,
Capital Lease Obligations,3992929000.0,3721847000.0,3044934000.0,2479246000.0,
Common Stock Equity,15085651000.0,14923428000.0,11270008000.0,8462532000.0,
Total Capitalization,34595926000.0,32567138000.0,30907134000.0,30715494000.0,
Total Equity Gross Minority Interest,16499204000.0,15643656000.0,11822869000.0,8825623000.0,
Minority Interest,1413553000.0,720228000.0,552861000.0,363091000.0,
Stockholders Equity,15085651000.0,14923428000.0,11270008000.0,8462532000.0,
Other Equity Interest,-141608000.0,-70106000.0,-77825000.0,-67531000.0,
Gains Losses Not Affecting Retained Earnings,3223760000.0,1740523000.0,984718000.0,-1670892000.0,
Other Equity Adjustments,3223760000.0,1740523000.0,984718000.0,-1670892000.0,
Treasury Stock,1345657000.0,96145000.0,109727000.0,127286000.0,
Retained Earnings,,0.0,-2363073000.0,-2132230000.0,-2594028000.0
Capital Stock,13349156000.0,13349156000.0,12835915000.0,12460471000.0,
Common Stock,13349156000.0,13349156000.0,12835915000.0,12460471000.0,
Total Liabilities Net Minority Interest,46175872000.0,41628434000.0,46031578000.0,47077764000.0,
Total Non Current Liabilities Net Minority Interest,25355293000.0,22238086000.0,23733639000.0,25852475000.0,
Other Non Current Liabilities,532552000.0,668439000.0,331899000.0,325098000.0,
Derivative Product Liabilities,236206000.0,59819000.0,174699000.0,41861000.0,
Employee Benefits,467127000.0,454398000.0,456945000.0,498231000.0,
Dueto Related Parties Non Current,0.0,0.0,,,
Tradeand Other Payables Non Current,89620000.0,91091000.0,105194000.0,144823000.0,
Non Current Deferred Liabilities,1541397000.0,543108000.0,659706000.0,582210000.0,
Non Current Deferred Taxes Liabilities,1541397000.0,543108000.0,659706000.0,582210000.0,
Long Term Debt And Capital Lease Obligation,22488391000.0,20421231000.0,22005196000.0,24260252000.0,
Long Term Capital Lease Obligation,2978116000.0,2777521000.0,2368070000.0,2007290000.0,
Long Term Debt,19510275000.0,17643710000.0,19637126000.0,22252962000.0,
Current Liabilities,20820579000.0,19390348000.0,22297939000.0,21225289000.0,
Other Current Liabilities,1054629000.0,735703000.0,1361298000.0,1106194000.0,
Current Deferred Liabilities,1168300000.0,1010466000.0,943126000.0,1095314000.0,
Current Deferred Revenue,475650000.0,290279000.0,75832000.0,,
Current Deferred Taxes Liabilities,692650000.0,720187000.0,867294000.0,959132000.0,
