,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,0.0,,,
Ordinary Shares Number,408974477.0,408974477.0,408974477.0,408974477.0,
Share Issued,408974477.0,408974477.0,408974477.0,408974477.0,
Total Debt,7629950000.0,4854689000.0,4999700000.0,7105910000.0,
Tangible Book Value,9943936000.0,9040354000.0,8749781000.0,8304290000.0,
Invested Capital,18039952000.0,14516777000.0,14413593000.0,16152127000.0,
Net Tangible Assets,9943936000.0,9040354000.0,8749781000.0,8304290000.0,
Common Stock Equity,10410002000.0,9662088000.0,9413893000.0,9046217000.0,
Total Capitalization,18039952000.0,14516777000.0,14413593000.0,16152127000.0,
Total Equity Gross Minority Interest,10413708000.0,9668891000.0,9420127000.0,9048583000.0,
Minority Interest,3706000.0,6803000.0,6234000.0,2366000.0,
Stockholders Equity,10410002000.0,9662088000.0,9413893000.0,9046217000.0,
Capital Stock,8000000000.0,5200000000.0,5200000000.0,5200000000.0,
Common Stock,8000000000.0,5200000000.0,5200000000.0,5200000000.0,
Total Liabilities Net Minority Interest,137004240000.0,115394793000.0,103746061000.0,96318515000.0,
Derivative Product Liabilities,0.0,17236000.0,670298000.0,136170000.0,
Long Term Debt And Capital Lease Obligation,7629950000.0,4854689000.0,4999700000.0,7105910000.0,
Payables,4701018000.0,4252693000.0,4373832000.0,4015703000.0,
Other Payable,3212814000.0,2831854000.0,2635716000.0,2517837000.0,
Total Tax Payable,266380000.0,274807000.0,252664000.0,234286000.0,
Accounts Payable,1221824000.0,1146032000.0,1485452000.0,1263580000.0,
Total Assets,147417948000.0,125063684000.0,113166188000.0,105367098000.0,
Defined Pension Benefit,173017000.0,111034000.0,188857000.0,199143000.0,
Investments And Advances,65859744000.0,48892289000.0,44837854000.0,44125901000.0,
Investmentin Financial Assets,65683920000.0,48716705000.0,44674705000.0,43979870000.0,
Held To Maturity Securities,35098746000.0,33624096000.0,30492530000.0,29788639000.0,
Available For Sale Securities,25395985000.0,5715373000.0,5221927000.0,4745768000.0,
Trading Securities,4864891000.0,9377236000.0,8960248000.0,8603563000.0,
Long Term Equity Investment,175824000.0,175584000.0,163149000.0,146031000.0,
Investmentsin Associatesat Cost,175824000.0,175584000.0,163149000.0,0.0,
Investmentsin Subsidiariesat Cost,0.0,0.0,0.0,146031000.0,
Goodwill And Other Intangible Assets,466066000.0,621734000.0,664112000.0,741927000.0,
Other Intangible Assets,466066000.0,621734000.0,664112000.0,741303000.0,
Goodwill,,,0.0,624000.0,4367000.0
Net PPE,662574000.0,601354000.0,520578000.0,476867000.0,
Accumulated Depreciation,-800083000.0,-743813000.0,-697775000.0,-653689000.0,
Gross PPE,1462657000.0,1345167000.0,1218353000.0,1130556000.0,
Other Properties,252795000.0,241059000.0,236992000.0,221624000.0,
Machinery Furniture Equipment,1011174000.0,905128000.0,781343000.0,709311000.0,
Properties,198688000.0,198980000.0,200018000.0,199621000.0,
Prepaid Assets,1928666000.0,938255000.0,1143351000.0,1011917000.0,
Receivables,301446000.0,321478000.0,299175000.0,246687000.0,
Taxes Receivable,158520000.0,170219000.0,129128000.0,109439000.0,
Cash And Cash Equivalents,16562637000.0,19585898000.0,16102344000.0,17733245000.0,
Cash Financial,1126982000.0,1123167000.0,1004366000.0,1464768000.0,
Cash Cash Equivalents And Federal Funds Sold,16562637000.0,19585898000.0,16102344000.0,17733245000.0,
