,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,9884118.0,3081575.0,2000.0,2000.0,
Ordinary Shares Number,2010115882.0,2016918425.0,2019998000.0,2019998000.0,
Share Issued,2020000000.0,2020000000.0,2020000000.0,2020000000.0,
Net Debt,29921429000.0,26305694000.0,24267236000.0,22157549000.0,
Total Debt,34132711000.0,30870635000.0,29517970000.0,26923958000.0,
Tangible Book Value,-22970970000.0,-18759136000.0,-16088185000.0,-13083063000.0,
Invested Capital,47718225000.0,43316564000.0,40960872000.0,35015911000.0,
Working Capital,4309264000.0,2512543000.0,1854630000.0,2056967000.0,
Net Tangible Assets,-22970970000.0,-18759136000.0,-16088185000.0,-13083063000.0,
Capital Lease Obligations,23377000.0,16224000.0,21661000.0,172809000.0,
Common Stock Equity,13608891000.0,12462153000.0,11464563000.0,8264762000.0,
Total Capitalization,46041167000.0,38947862000.0,33386153000.0,31530995000.0,
Total Equity Gross Minority Interest,14002086000.0,13077229000.0,11822750000.0,8565800000.0,
Minority Interest,393195000.0,615076000.0,358187000.0,301038000.0,
Stockholders Equity,13608891000.0,12462153000.0,11464563000.0,8264762000.0,
Other Equity Interest,1136296000.0,745713000.0,846655000.0,1074508000.0,
Capital Stock,6022942000.0,6022942000.0,6022942000.0,6022942000.0,
Common Stock,6022942000.0,6022942000.0,6022942000.0,6022942000.0,
Total Liabilities Net Minority Interest,45095013000.0,41565903000.0,38724550000.0,32790644000.0,
Total Non Current Liabilities Net Minority Interest,38963148000.0,33083483000.0,27958011000.0,26938155000.0,
Other Non Current Liabilities,2859404000.0,2889937000.0,2727324000.0,1851379000.0,
Derivative Product Liabilities,,,,8661000.0,0.0
Non Current Pension And Other Postretirement Benefit Plans,35376000.0,45679000.0,41810000.0,37110000.0,
Tradeand Other Payables Non Current,114708000.0,62467000.0,78575000.0,256863000.0,
Non Current Deferred Revenue,48273000.0,56078000.0,39140000.0,15122000.0,
Non Current Deferred Taxes Liabilities,2523203000.0,2620688000.0,2505364000.0,918807000.0,
Long Term Debt And Capital Lease Obligation,32442272000.0,26491877000.0,21934107000.0,23391897000.0,
Long Term Capital Lease Obligation,9996000.0,6168000.0,12517000.0,125664000.0,
Long Term Debt,32432276000.0,26485709000.0,21921590000.0,23266233000.0,
Long Term Provisions,939912000.0,916757000.0,631691000.0,466977000.0,
Current Liabilities,6131865000.0,8482420000.0,10766539000.0,5852489000.0,
Other Current Liabilities,844816000.0,723682000.0,422622000.0,370523000.0,
Current Debt And Capital Lease Obligation,1690439000.0,4378758000.0,7583863000.0,3532061000.0,
Current Capital Lease Obligation,13381000.0,10056000.0,9144000.0,47145000.0,
Current Debt,1677058000.0,4368702000.0,7574719000.0,3484916000.0,
Pensionand Other Post Retirement Benefit Plans Current,622457000.0,520084000.0,484965000.0,370385000.0,
Current Provisions,511472000.0,204198000.0,65092000.0,35682000.0,
Payables,2456910000.0,2510529000.0,1970716000.0,1543838000.0,
Other Payable,143535000.0,53350000.0,207968000.0,495882000.0,
Dividends Payable,167002000.0,479911000.0,141245000.0,72921000.0,
Total Tax Payable,831033000.0,685407000.0,829235000.0,392113000.0,
Accounts Payable,1315340000.0,1291861000.0,792268000.0,582922000.0,
Total Assets,59097099000.0,54643132000.0,50547300000.0,41356444000.0,
Total Non Current Assets,48655970000.0,43648169000.0,37926131000.0,33446988000.0,
Other Non Current Assets,105553000.0,69512000.0,91285000.0,,
Non Current Prepaid Assets,1813895000.0,1856541000.0,1940773000.0,2022279000.0,
Non Current Deferred Taxes Assets,1420872000.0,1225877000.0,964663000.0,928206000.0,
Investmentin Financial Assets,214124000.0,109861000.0,83952000.0,47018000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,214124000.0,109861000.0,68522000.0,47018000.0,
Trading Securities,,0.0,15430000.0,0.0,
Long Term Equity Investment,884884000.0,706382000.0,835881000.0,848796000.0,
Investment Properties,277361000.0,277361000.0,0.0,,
Goodwill And Other Intangible Assets,36579861000.0,31221289000.0,27552748000.0,21347825000.0,
Other Intangible Assets,36579861000.0,31221289000.0,27552748000.0,21347825000.0,
Net PPE,1217506000.0,868621000.0,1038459000.0,1136670000.0,
Accumulated Depreciation,-1007148000.0,-968675000.0,-1018877000.0,-1442426000.0,
Gross PPE,2224654000.0,1837296000.0,2057336000.0,2579096000.0,
Construction In Progress,577407000.0,442129000.0,274250000.0,138891000.0,
Other Properties,597363000.0,501775000.0,557859000.0,829756000.0,
Machinery Furniture Equipment,1029192000.0,872700000.0,808305000.0,1194736000.0,
Land And Improvements,20692000.0,20692000.0,416922000.0,415713000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,10441129000.0,10994963000.0,12621169000.0,7909456000.0,
Other Current Assets,256390000.0,199159000.0,141615000.0,17477000.0,
Assets Held For Sale Current,0.0,250803000.0,267706000.0,0.0,
