,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,10000000.0,10000000.0,10000000.0,10000000.0,
Share Issued,10000000.0,10000000.0,10000000.0,10000000.0,
Net Debt,362342000.0,269403000.0,210263000.0,193912000.0,
Total Debt,400546000.0,353346000.0,246375000.0,222986000.0,
Tangible Book Value,307299000.0,197406000.0,113299000.0,130873000.0,
Invested Capital,677240000.0,531338000.0,341139000.0,340918000.0,
Working Capital,73925000.0,134926000.0,-55337000.0,-62894000.0,
Net Tangible Assets,307299000.0,197406000.0,113299000.0,130873000.0,
Capital Lease Obligations,32325000.0,20492000.0,19966000.0,14748000.0,
Common Stock Equity,309019000.0,198484000.0,114730000.0,132680000.0,
Total Capitalization,560427000.0,438776000.0,224231000.0,246320000.0,
Total Equity Gross Minority Interest,310597000.0,200007000.0,119818000.0,146837000.0,
Minority Interest,1578000.0,1523000.0,5088000.0,14157000.0,
Stockholders Equity,309019000.0,198484000.0,114730000.0,132680000.0,
Other Equity Interest,56612000.0,56499000.0,56163000.0,56456000.0,
Retained Earnings,0.0,-11415000.0,-91433000.0,-73776000.0,
Capital Stock,150000000.0,150000000.0,150000000.0,150000000.0,
Common Stock,150000000.0,150000000.0,150000000.0,150000000.0,
Total Liabilities Net Minority Interest,633477000.0,682186000.0,759198000.0,683580000.0,
Total Non Current Liabilities Net Minority Interest,319336000.0,341807000.0,217742000.0,198401000.0,
Other Non Current Liabilities,2641000.0,1804000.0,2049000.0,2375000.0,
Derivative Product Liabilities,0.0,0.0,0.0,0.0,
Tradeand Other Payables Non Current,36496000.0,65521000.0,74327000.0,53440000.0,
Non Current Deferred Taxes Liabilities,0.0,15535000.0,15060000.0,16373000.0,
Long Term Debt And Capital Lease Obligation,274575000.0,257107000.0,124862000.0,125046000.0,
Long Term Capital Lease Obligation,23167000.0,16815000.0,15361000.0,11406000.0,
Long Term Debt,251408000.0,240292000.0,109501000.0,113640000.0,
Long Term Provisions,5624000.0,1840000.0,1444000.0,1167000.0,
Current Liabilities,314141000.0,340379000.0,541456000.0,485179000.0,
Other Current Liabilities,25037000.0,109973000.0,153123000.0,140300000.0,
Current Debt And Capital Lease Obligation,125971000.0,96239000.0,121513000.0,97940000.0,
Current Capital Lease Obligation,9158000.0,3677000.0,4605000.0,3342000.0,
Current Debt,116813000.0,92562000.0,116908000.0,94598000.0,
Pensionand Other Post Retirement Benefit Plans Current,15358000.0,13571000.0,21719000.0,20967000.0,
Current Provisions,,,26214000.0,7187000.0,
Payables,125208000.0,95777000.0,185045000.0,199945000.0,
Other Payable,,,,8508000.0,7477000.0
Dividends Payable,,,,41000.0,41000.0
Total Tax Payable,34951000.0,31898000.0,32021000.0,23279000.0,
Accounts Payable,90257000.0,63879000.0,153024000.0,176666000.0,
Total Assets,944074000.0,882193000.0,879016000.0,830417000.0,
Total Non Current Assets,556008000.0,406888000.0,392897000.0,408132000.0,
Other Non Current Assets,46117000.0,39777000.0,9915000.0,9901000.0,
Other Investments,98000.0,93000.0,73000.0,72000.0,
Long Term Equity Investment,0.0,0.0,0.0,0.0,
Investmentsin Subsidiariesat Cost,0.0,0.0,0.0,0.0,
Investment Properties,,,0.0,2925000.0,2926000.0
Goodwill And Other Intangible Assets,1720000.0,1078000.0,1431000.0,1807000.0,
Other Intangible Assets,886000.0,244000.0,597000.0,973000.0,
Goodwill,834000.0,834000.0,834000.0,834000.0,
Net PPE,415282000.0,362204000.0,337443000.0,324282000.0,
Accumulated Depreciation,-404712000.0,-406928000.0,-391054000.0,-375886000.0,
Gross PPE,819994000.0,769132000.0,728497000.0,700168000.0,
Construction In Progress,38329000.0,26306000.0,26544000.0,20220000.0,
Other Properties,22421000.0,24525000.0,22771000.0,15591000.0,
Machinery Furniture Equipment,528114000.0,490900000.0,463553000.0,453988000.0,
Buildings And Improvements,175749000.0,173246000.0,161474000.0,156214000.0,
Land And Improvements,55381000.0,54155000.0,54155000.0,54155000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,388066000.0,475305000.0,486119000.0,422285000.0,
Other Current Assets,8703000.0,5955000.0,5365000.0,6243000.0,
Restricted Cash,0.0,18490000.0,8980000.0,1560000.0,
Prepaid Assets,,,,3830000.0,1868000.0
Inventory,194488000.0,174826000.0,196549000.0,193288000.0,
Inventories Adjustments Allowances,-4175000.0,-3127000.0,-2341000.0,-2086000.0,
Other Inventories,2077000.0,4099000.0,9524000.0,10475000.0,
Finished Goods,69041000.0,67138000.0,73773000.0,58642000.0,
Work In Process,66093000.0,61655000.0,59733000.0,66981000.0,
Raw Materials,61452000.0,45061000.0,55860000.0,59276000.0,
Taxes Receivable,21251000.0,74343000.0,67662000.0,39562000.0,
Accounts Receivable,148228000.0,135431000.0,196743000.0,161213000.0,
Allowance For Doubtful Accounts Receivable,-19062000.0,-17981000.0,-17109000.0,-14529000.0,
Gross Accounts Receivable,167290000.0,153412000.0,213852000.0,175742000.0,
Cash Cash Equivalents And Short Term Investments,15396000.0,66260000.0,19800000.0,21979000.0,
Other Short Term Investments,9517000.0,2809000.0,3654000.0,7653000.0,
Cash And Cash Equivalents,5879000.0,63451000.0,16146000.0,14326000.0,
Cash Equivalents,0.0,57600000.0,,,
Cash Financial,5879000.0,5851000.0,16146000.0,14326000.0,
