,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,262096087.0,262096087.0,262096087.0,262096087.0
Share Issued,262096087.0,262096087.0,262096087.0,262096087.0
Net Debt,14784000000.0,13305000000.0,12149000000.0,10758000000.0
Total Debt,16359000000.0,14301000000.0,13189000000.0,11443000000.0
Tangible Book Value,3897000000.0,2380000000.0,1461000000.0,1686000000.0
Invested Capital,22478000000.0,19443000000.0,17807000000.0,16329000000.0
Working Capital,-327000000.0,-887000000.0,-350000000.0,633000000.0
Net Tangible Assets,5152000000.0,3635000000.0,2716000000.0,2941000000.0
Capital Lease Obligations,50000000.0,40000000.0,38000000.0,35000000.0
Common Stock Equity,6169000000.0,5182000000.0,4656000000.0,4921000000.0
Preferred Stock Equity,1255000000.0,1255000000.0,1255000000.0,1255000000.0
Total Capitalization,21091000000.0,18001000000.0,16808000000.0,16146000000.0
Total Equity Gross Minority Interest,7424000000.0,6437000000.0,5911000000.0,6176000000.0
Stockholders Equity,7424000000.0,6437000000.0,5911000000.0,6176000000.0
Other Equity Interest,,422000000.0,219000000.0,599000000.0
Retained Earnings,0.0,0.0,0.0,0.0
Capital Stock,2988000000.0,2988000000.0,2988000000.0,2988000000.0
Common Stock,1733000000.0,1733000000.0,1733000000.0,1733000000.0
Preferred Stock,1255000000.0,1255000000.0,1255000000.0,1255000000.0
Total Liabilities Net Minority Interest,23859000000.0,21446000000.0,19722000000.0,18221000000.0
Total Non Current Liabilities Net Minority Interest,17186000000.0,14484000000.0,13984000000.0,13218000000.0
Other Non Current Liabilities,105000000.0,85000000.0,87000000.0,141000000.0
Derivative Product Liabilities,195000000.0,321000000.0,251000000.0,58000000.0
Non Current Accrued Expenses,,770000000.0,609000000.0,625000000.0
Tradeand Other Payables Non Current,1597000000.0,1286000000.0,1906000000.0,2488000000.0
Non Current Deferred Taxes Liabilities,819000000.0,530000000.0,344000000.0,215000000.0
Long Term Debt And Capital Lease Obligation,13699000000.0,11592000000.0,10923000000.0,9995000000.0
Long Term Capital Lease Obligation,32000000.0,28000000.0,26000000.0,25000000.0
Long Term Debt,13667000000.0,11564000000.0,10897000000.0,9970000000.0
Long Term Provisions,283000000.0,354000000.0,320000000.0,321000000.0
Current Liabilities,6673000000.0,6962000000.0,5738000000.0,5003000000.0
Other Current Liabilities,790000000.0,615000000.0,641000000.0,567000000.0
Current Debt And Capital Lease Obligation,2660000000.0,2709000000.0,2266000000.0,1448000000.0
Current Capital Lease Obligation,18000000.0,12000000.0,12000000.0,10000000.0
Current Debt,2642000000.0,2697000000.0,2254000000.0,1438000000.0
Current Provisions,180000000.0,124000000.0,120000000.0,87000000.0
Payables,2543000000.0,3071000000.0,2561000000.0,2841000000.0
Other Payable,358000000.0,369000000.0,332000000.0,241000000.0
Dividends Payable,181000000.0,98000000.0,99000000.0,125000000.0
Total Tax Payable,728000000.0,1346000000.0,1084000000.0,1203000000.0
Accounts Payable,1276000000.0,1258000000.0,1046000000.0,1272000000.0
Total Assets,31283000000.0,27883000000.0,25633000000.0,24397000000.0
Total Non Current Assets,24937000000.0,21808000000.0,20245000000.0,18761000000.0
Other Non Current Assets,26000000.0,29000000.0,29000000.0,16000000.0
Financial Assets,399000000.0,213000000.0,455000000.0,741000000.0
Investmentin Financial Assets,58000000.0,53000000.0,60000000.0,214000000.0
Available For Sale Securities,58000000.0,53000000.0,60000000.0,214000000.0
Goodwill And Other Intangible Assets,2272000000.0,2802000000.0,3195000000.0,3235000000.0
Other Intangible Assets,2272000000.0,2802000000.0,3195000000.0,
Net PPE,46000000.0,39000000.0,40000000.0,41000000.0
Gross PPE,46000000.0,39000000.0,40000000.0,41000000.0
Construction In Progress,1000000.0,2000000.0,3000000.0,4000000.0
Other Properties,45000000.0,37000000.0,37000000.0,37000000.0
Current Assets,6346000000.0,6075000000.0,5388000000.0,5636000000.0
Other Current Assets,424000000.0,421000000.0,381000000.0,246000000.0
Hedging Assets Current,311000000.0,136000000.0,38000000.0,46000000.0
Taxes Receivable,606000000.0,1216000000.0,1310000000.0,1300000000.0
Accounts Receivable,3451000000.0,3328000000.0,2624000000.0,2724000000.0
Cash Cash Equivalents And Short Term Investments,1554000000.0,974000000.0,1035000000.0,1320000000.0
Other Short Term Investments,29000000.0,18000000.0,33000000.0,670000000.0
Cash And Cash Equivalents,1525000000.0,956000000.0,1002000000.0,650000000.0
Cash Equivalents,1424000000.0,824000000.0,910000000.0,560000000.0
Cash Financial,101000000.0,132000000.0,92000000.0,90000000.0
