,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,53294297.0,0.0,,105407300.0,
Ordinary Shares Number,5432044538.0,5485338838.0,5485338838.0,5485838838.0,
Share Issued,5485338835.0,5485338838.0,5485338838.0,5591246138.0,
Net Debt,,,1906836000.0,,
Total Debt,10128720000.0,8178981000.0,8396408000.0,4713062000.0,
Tangible Book Value,5912393000.0,6345878000.0,7006275000.0,9777032000.0,
Invested Capital,20397834000.0,18877678000.0,19789835000.0,18711349000.0,
Working Capital,10286118000.0,6917798000.0,4974294000.0,6265264000.0,
Net Tangible Assets,5912393000.0,6345878000.0,7006275000.0,9777032000.0,
Capital Lease Obligations,,,,,82101000.0
Common Stock Equity,10269114000.0,10698697000.0,11393427000.0,13998287000.0,
Total Capitalization,19057816000.0,18432496000.0,18743845000.0,18232939000.0,
Total Equity Gross Minority Interest,10269114000.0,10698697000.0,11393427000.0,13998287000.0,
Stockholders Equity,10269114000.0,10698697000.0,11393427000.0,13998287000.0,
Other Equity Interest,,2330435000.0,2569797000.0,322635000.0,322635000.0
Treasury Stock,324341000.0,,0.0,651017000.0,
Capital Stock,7473980000.0,7473980000.0,7473980000.0,7473980000.0,
Common Stock,7473980000.0,7473980000.0,7473980000.0,7473980000.0,
Total Liabilities Net Minority Interest,26121805000.0,18991908000.0,13660168000.0,12992847000.0,
Total Non Current Liabilities Net Minority Interest,18575817000.0,12922123000.0,9017345000.0,6460264000.0,
Other Non Current Liabilities,232789000.0,287074000.0,365554000.0,304430000.0,
Non Current Pension And Other Postretirement Benefit Plans,,,,,54739000.0
Tradeand Other Payables Non Current,275113000.0,302061000.0,397471000.0,358543000.0,
Non Current Deferred Revenue,8808268000.0,4168120000.0,637188000.0,945100000.0,
Non Current Deferred Taxes Liabilities,98567000.0,187097000.0,145993000.0,408224000.0,
Long Term Debt And Capital Lease Obligation,8788702000.0,7733799000.0,7350418000.0,4234652000.0,
Long Term Capital Lease Obligation,,,,,74360000.0
Long Term Debt,8788702000.0,7733799000.0,7350418000.0,4234652000.0,
Long Term Provisions,605167000.0,531046000.0,486275000.0,513745000.0,
Current Liabilities,7545988000.0,6069785000.0,4642823000.0,6532583000.0,
Other Current Liabilities,244602000.0,129223000.0,257606000.0,1000.0,
Current Deferred Taxes Liabilities,10952000.0,4056000.0,3116000.0,5897000.0,
Current Debt And Capital Lease Obligation,1340018000.0,445182000.0,1045990000.0,478410000.0,
Current Capital Lease Obligation,,,,,7741000.0
Current Debt,1340018000.0,445182000.0,1045990000.0,478410000.0,
Pensionand Other Post Retirement Benefit Plans Current,102121000.0,92972000.0,82196000.0,75320000.0,
Payables,2899004000.0,2881165000.0,2148778000.0,3998941000.0,
Other Payable,244602000.0,129223000.0,257606000.0,175947000.0,
Dividends Payable,179868000.0,369960000.0,74566000.0,402456000.0,
Total Tax Payable,219552000.0,538795000.0,432216000.0,2270111000.0,
Accounts Payable,2254982000.0,1843187000.0,1384390000.0,1150427000.0,
Total Assets,36390919000.0,29690605000.0,25053595000.0,26991134000.0,
Total Non Current Assets,18558813000.0,16703022000.0,15436478000.0,14193287000.0,
Other Non Current Assets,2297859000.0,1512891000.0,1153114000.0,849613000.0,
Non Current Prepaid Assets,,,,128849000.0,
Non Current Deferred Taxes Assets,143709000.0,10138000.0,,,
Long Term Equity Investment,1774066000.0,1577155000.0,1425588000.0,1313186000.0,
Investments In Other Ventures Under Equity Method,,,1425588000.0,1313186000.0,1225372000.0
Investmentsin Associatesat Cost,1774066000.0,1577155000.0,1425588000.0,,
Investmentsin Subsidiariesat Cost,,,,,0.0
Goodwill And Other Intangible Assets,4356721000.0,4352819000.0,4387152000.0,4221255000.0,
Other Intangible Assets,1120319000.0,1116417000.0,1150751000.0,984854000.0,
Goodwill,3236402000.0,3236402000.0,3236401000.0,3236401000.0,
Net PPE,9704951000.0,8958768000.0,8356288000.0,7692003000.0,
Accumulated Depreciation,-8425891000.0,-7403568000.0,-6442402000.0,-5362886000.0,
Gross PPE,18130842000.0,16362336000.0,14798690000.0,13054889000.0,
Construction In Progress,2491005000.0,1924642000.0,1599014000.0,1872902000.0,
Other Properties,341920000.0,338765000.0,365491000.0,266981000.0,
Machinery Furniture Equipment,12016135000.0,10952698000.0,10112599000.0,8479930000.0,
Buildings And Improvements,3059462000.0,2922976000.0,2643891000.0,2373469000.0,
Land And Improvements,222320000.0,223255000.0,77695000.0,61607000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,17832106000.0,12987583000.0,9617117000.0,12797847000.0,
Other Current Assets,277246000.0,302780000.0,233170000.0,153062000.0,
Prepaid Assets,,,,90952000.0,
Inventory,777848000.0,935979000.0,923849000.0,855205000.0,
Other Receivables,,,,675172000.0,1142566000.0
Taxes Receivable,70613000.0,227624000.0,177737000.0,105989000.0,
Accounts Receivable,1506580000.0,1712870000.0,1545463000.0,749766000.0,
Allowance For Doubtful Accounts Receivable,-9919000.0,-9057000.0,-10672000.0,-10489000.0,
Gross Accounts Receivable,1516499000.0,1721927000.0,1556135000.0,760255000.0,
Cash Cash Equivalents And Short Term Investments,15199819000.0,9808330000.0,6736898000.0,10933825000.0,
Other Short Term Investments,13891000.0,12452000.0,247326000.0,217023000.0,
Cash And Cash Equivalents,15185928000.0,9795878000.0,6489572000.0,10716802000.0,
Cash Equivalents,3363350000.0,1682646000.0,1139315000.0,3585473000.0,
Cash Financial,11822578000.0,8113232000.0,5350258000.0,7131329000.0,
