,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,77855281.0,77855299.0,77855299.0,77855299.0,
Share Issued,77855281.0,77855299.0,77855299.0,77855299.0,
Net Debt,5233368000.0,5758816000.0,4476554000.0,3517352000.0,
Total Debt,5524417000.0,5892555000.0,4696711000.0,3742254000.0,
Tangible Book Value,-4183089000.0,-4198873000.0,-3276752000.0,-2395425000.0,
Invested Capital,10587114000.0,10046628000.0,8616014000.0,7208473000.0,
Working Capital,-2592040000.0,-2259996000.0,-1312908000.0,-151510000.0,
Net Tangible Assets,-4183089000.0,-4198873000.0,-3276752000.0,-2395425000.0,
Capital Lease Obligations,76925000.0,37074000.0,37599000.0,20586000.0,
Common Stock Equity,5139622000.0,4191147000.0,3956902000.0,3486805000.0,
Total Capitalization,7764901000.0,7290627000.0,7149470000.0,6416512000.0,
Total Equity Gross Minority Interest,5139622000.0,4191147000.0,3956902000.0,3486805000.0,
Stockholders Equity,5139622000.0,4191147000.0,3956902000.0,3486805000.0,
Other Equity Interest,580580000.0,,,,
Capital Stock,1388347000.0,1282347000.0,1085347000.0,914346000.0,
Common Stock,1388347000.0,1282347000.0,1085347000.0,914346000.0,
Total Liabilities Net Minority Interest,9267319000.0,8906266000.0,8352502000.0,7751046000.0,
Total Non Current Liabilities Net Minority Interest,3593601000.0,3793503000.0,4189664000.0,4291558000.0,
Other Non Current Liabilities,86458000.0,58252000.0,20343000.0,16058000.0,
Derivative Product Liabilities,0.0,38538000.0,60849000.0,7359000.0,
Non Current Pension And Other Postretirement Benefit Plans,109767000.0,110146000.0,89346000.0,87977000.0,
Tradeand Other Payables Non Current,118818000.0,62108000.0,380578000.0,999024000.0,
Non Current Deferred Taxes Liabilities,83708000.0,37212000.0,0.0,245047000.0,
Long Term Debt And Capital Lease Obligation,2684209000.0,3129284000.0,3220208000.0,2936093000.0,
Long Term Capital Lease Obligation,58930000.0,29804000.0,27640000.0,6386000.0,
Long Term Debt,2625279000.0,3099480000.0,3192568000.0,2929707000.0,
Long Term Provisions,290237000.0,248865000.0,232210000.0,245047000.0,
Current Liabilities,5673718000.0,5112763000.0,4162838000.0,3459488000.0,
Other Current Liabilities,685038000.0,471968000.0,282821000.0,269293000.0,
Current Debt And Capital Lease Obligation,2840208000.0,2763271000.0,1476503000.0,806161000.0,
Current Capital Lease Obligation,17995000.0,7270000.0,9959000.0,14200000.0,
Current Debt,2822213000.0,2756001000.0,1466544000.0,791961000.0,
Pensionand Other Post Retirement Benefit Plans Current,0.0,876000.0,1044000.0,1338000.0,
Current Provisions,,1116000.0,,295000.0,
Payables,1869755000.0,1740930000.0,2271488000.0,2305438000.0,
Other Payable,,,,,96066000.0
Dividends Payable,178123000.0,93296000.0,191983000.0,171729000.0,
Total Tax Payable,424572000.0,544373000.0,704738000.0,723240000.0,
Accounts Payable,1267060000.0,1103261000.0,1374767000.0,1410469000.0,
Total Assets,14406941000.0,13097413000.0,12309404000.0,11237851000.0,
Total Non Current Assets,11325263000.0,10244646000.0,9459474000.0,7929873000.0,
Non Current Prepaid Assets,59806000.0,51220000.0,48011000.0,48798000.0,
Non Current Deferred Taxes Assets,,0.0,81019000.0,52077000.0,32142000.0
Financial Assets,63578000.0,84843000.0,15235000.0,43594000.0,
Investmentin Financial Assets,,,0.0,126078000.0,0.0
Available For Sale Securities,,,,126078000.0,
Goodwill And Other Intangible Assets,9322711000.0,8390020000.0,7233654000.0,5882230000.0,
Other Intangible Assets,9322711000.0,8390020000.0,7233654000.0,5882230000.0,
Net PPE,179864000.0,88218000.0,67342000.0,80146000.0,
Accumulated Depreciation,-38914000.0,-36023000.0,-47884000.0,-47707000.0,
Gross PPE,218778000.0,124241000.0,115226000.0,127853000.0,
Construction In Progress,,31530000.0,9568000.0,54689000.0,5926000.0
Machinery Furniture Equipment,132432000.0,77264000.0,79940000.0,128162000.0,
Buildings And Improvements,85713000.0,46123000.0,35102000.0,-458000.0,
Land And Improvements,633000.0,854000.0,184000.0,149000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,3081678000.0,2852767000.0,2849930000.0,3307978000.0,
Other Current Assets,306700000.0,99076000.0,75668000.0,139217000.0,
Hedging Assets Current,86005000.0,0.0,14364000.0,0.0,
Other Receivables,62419000.0,110207000.0,116595000.0,172038000.0,
Taxes Receivable,408329000.0,562276000.0,630970000.0,712676000.0,
Accounts Receivable,2003626000.0,1857635000.0,1712853000.0,1606490000.0,
Cash Cash Equivalents And Short Term Investments,214599000.0,223573000.0,299480000.0,677557000.0,
Other Short Term Investments,475000.0,126908000.0,116922000.0,473241000.0,
Cash And Cash Equivalents,214124000.0,96665000.0,182558000.0,204316000.0,
Cash Equivalents,184867000.0,47238000.0,144075000.0,176452000.0,
Cash Financial,29257000.0,49427000.0,38483000.0,27864000.0,
