,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,1152254440.0,1152254440.0,1152254440.0,1152254440.0,
Share Issued,1152254440.0,1152254440.0,1152254440.0,1152254440.0,
Net Debt,29300631000.0,25142029000.0,24439388000.0,22734069000.0,
Total Debt,31274032000.0,29577215000.0,28185546000.0,24934021000.0,
Tangible Book Value,12907329000.0,9905702000.0,6349256000.0,5472593000.0,
Invested Capital,52005794000.0,48456681000.0,44442146000.0,40080223000.0,
Working Capital,-818989000.0,-1710755000.0,300865000.0,2638787000.0,
Net Tangible Assets,12907329000.0,9905702000.0,6349256000.0,5472593000.0,
Common Stock Equity,20731762000.0,18879466000.0,16256600000.0,15146202000.0,
Total Capitalization,46602822000.0,40804018000.0,39756520000.0,36045387000.0,
Total Equity Gross Minority Interest,21795029000.0,19998753000.0,17539944000.0,16805879000.0,
Minority Interest,1063267000.0,1119287000.0,1283345000.0,1659676000.0,
Stockholders Equity,20731762000.0,18879466000.0,16256600000.0,15146202000.0,
Other Equity Interest,-1000.0,,,3735932000.0,865248000.0
Capital Stock,9388071000.0,9388071000.0,9388071000.0,9388071000.0,
Common Stock,9388071000.0,9388071000.0,9388071000.0,9388071000.0,
Total Liabilities Net Minority Interest,55334165000.0,54972474000.0,53606137000.0,49313999000.0,
Total Non Current Liabilities Net Minority Interest,37963630000.0,35210366000.0,38726965000.0,36400282000.0,
Other Non Current Liabilities,1000.0,3000.0,184801000.0,198086000.0,
Derivative Product Liabilities,272377000.0,495825000.0,265858000.0,86196000.0,
Non Current Pension And Other Postretirement Benefit Plans,451514000.0,1503118000.0,1586390000.0,2860176000.0,
Non Current Accrued Expenses,,0.0,0.0,0.0,
Tradeand Other Payables Non Current,6190706000.0,6831864000.0,9316686000.0,10209918000.0,
Non Current Deferred Revenue,,,,56970000.0,44026000.0
Non Current Deferred Taxes Liabilities,4227282000.0,3831913000.0,3471891000.0,1993909000.0,
Long Term Debt And Capital Lease Obligation,25871060000.0,21924552000.0,23499920000.0,20899185000.0,
Long Term Debt,25871060000.0,21924552000.0,23499920000.0,20899185000.0,
Long Term Provisions,151778000.0,164655000.0,138613000.0,152812000.0,
Current Liabilities,17370535000.0,19762108000.0,14879172000.0,12913717000.0,
Other Current Liabilities,820953000.0,785047000.0,869052000.0,1097361000.0,
Current Debt And Capital Lease Obligation,5402972000.0,7652663000.0,4685626000.0,4034836000.0,
Current Debt,5402972000.0,7652663000.0,4685626000.0,4034836000.0,
Pensionand Other Post Retirement Benefit Plans Current,663488000.0,692054000.0,1010422000.0,874154000.0,
Current Provisions,12699000.0,6106000.0,5687000.0,2046000.0,
Payables,9277105000.0,9167819000.0,7914757000.0,6900253000.0,
Other Payable,864992000.0,968877000.0,992486000.0,1076851000.0,
Dividends Payable,1510207000.0,570319000.0,1421994000.0,100478000.0,
Total Tax Payable,2297728000.0,3457341000.0,1840854000.0,1233882000.0,
Accounts Payable,4604178000.0,4171282000.0,3659423000.0,4489042000.0,
Total Assets,77129194000.0,74971227000.0,71146081000.0,66119878000.0,
Total Non Current Assets,60577648000.0,56919874000.0,55966044000.0,50567374000.0,
Other Non Current Assets,274467000.0,292603000.0,252970000.0,154613000.0,
Non Current Prepaid Assets,34986000.0,76324000.0,14095000.0,26857000.0,
Non Current Deferred Taxes Assets,266798000.0,325404000.0,247816000.0,231594000.0,
Financial Assets,193542000.0,590935000.0,305862000.0,990491000.0,
Other Investments,,,,116654000.0,116654000.0
Investmentin Financial Assets,25692251000.0,21857067000.0,18505181000.0,14215088000.0,
Available For Sale Securities,25692251000.0,21857067000.0,18505181000.0,14215088000.0,
Long Term Equity Investment,581364000.0,520662000.0,622508000.0,1202944000.0,
Investmentsin Joint Venturesat Cost,581364000.0,520662000.0,622508000.0,1202944000.0,
Goodwill And Other Intangible Assets,7824433000.0,8973764000.0,9907344000.0,9673609000.0,
Other Intangible Assets,7818318000.0,8967649000.0,9471197000.0,9667494000.0,
Goodwill,6115000.0,6115000.0,436147000.0,6115000.0,
Net PPE,9752282000.0,10135749000.0,10614068000.0,8754617000.0,
Accumulated Depreciation,-8877964000.0,-8488467000.0,-8014978000.0,-6625972000.0,
Gross PPE,18630246000.0,18624216000.0,18629046000.0,15380589000.0,
Construction In Progress,1153402000.0,1021728000.0,712301000.0,361484000.0,
Machinery Furniture Equipment,11404795000.0,11514357000.0,11505908000.0,10890770000.0,
Buildings And Improvements,1824015000.0,1825633000.0,1889777000.0,1655176000.0,
Land And Improvements,240581000.0,247816000.0,250014000.0,227822000.0,
Properties,4007453000.0,4014682000.0,4271046000.0,2245337000.0,
Current Assets,16551546000.0,18051353000.0,15180037000.0,15552504000.0,
Other Current Assets,606444000.0,1438485000.0,1206817000.0,1718348000.0,
Hedging Assets Current,915621000.0,88315000.0,201698000.0,357350000.0,
Restricted Cash,85749000.0,,,27214000.0,1592000.0
Prepaid Assets,303259000.0,,,199663000.0,238162000.0
Inventory,221573000.0,151744000.0,190310000.0,150867000.0,
Other Receivables,1306436000.0,757069000.0,714336000.0,979638000.0,
Taxes Receivable,3288072000.0,3599920000.0,2962528000.0,1761587000.0,
Accounts Receivable,5883894000.0,6190130000.0,5071130000.0,5425177000.0,
Allowance For Doubtful Accounts Receivable,-449676000.0,-401822000.0,-430718000.0,-459396000.0,
Gross Accounts Receivable,6333570000.0,6591951000.0,5501848000.0,5884574000.0,
Cash Cash Equivalents And Short Term Investments,3940498000.0,5825690000.0,4833218000.0,5159537000.0,
Other Short Term Investments,1967097000.0,1390504000.0,1087060000.0,2959585000.0,
Cash And Cash Equivalents,1973401000.0,4435186000.0,3746158000.0,2199952000.0,
Cash Equivalents,1767570000.0,4202569000.0,3609908000.0,1283627000.0,
Cash Financial,205831000.0,232617000.0,136250000.0,916324000.0,
