,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,3747965.0,6514511.0,7432832.0,5440772.0,
Ordinary Shares Number,1862822967.0,1867556421.0,1866638100.0,1868630160.0,
Share Issued,1866570932.0,1874070932.0,1874070932.0,1874070932.0,
Net Debt,49551884000.0,42246173000.0,39685500000.0,29484907000.0,
Total Debt,72965179000.0,62180448000.0,56519374000.0,48926715000.0,
Tangible Book Value,-15427021000.0,-1694980000.0,-1468775000.0,-3040561000.0,
Invested Capital,77359190000.0,77859961000.0,73640383000.0,60399974000.0,
Working Capital,12861569000.0,12451384000.0,9779721000.0,14336147000.0,
Net Tangible Assets,-15427021000.0,-1694980000.0,-1468775000.0,-3040561000.0,
Capital Lease Obligations,6509753000.0,5275794000.0,3532158000.0,3267678000.0,
Common Stock Equity,10903764000.0,20955307000.0,20653167000.0,14740937000.0,
Total Capitalization,72956042000.0,72977563000.0,69098178000.0,56158606000.0,
Total Equity Gross Minority Interest,39398362000.0,50981180000.0,48169399000.0,28870022000.0,
Minority Interest,28494598000.0,30025873000.0,27516232000.0,14129085000.0,
Stockholders Equity,10903764000.0,20955307000.0,20653167000.0,14740937000.0,
Gains Losses Not Affecting Retained Earnings,565855000.0,314325000.0,567546000.0,-521609000.0,
Other Equity Adjustments,,314325000.0,,,-1191957000.0
Treasury Stock,50708000.0,93917000.0,107140000.0,69064000.0,
Retained Earnings,-649805000.0,9490391000.0,9470289000.0,10655992000.0,
Additional Paid In Capital,2205878000.0,2561964000.0,2319928000.0,-1690235000.0,
Capital Stock,8832544000.0,8682544000.0,8402544000.0,6365853000.0,
Common Stock,8832544000.0,8682544000.0,8402544000.0,6365853000.0,
Total Liabilities Net Minority Interest,101867540000.0,88884202000.0,86315593000.0,68972001000.0,
Total Non Current Liabilities Net Minority Interest,83954706000.0,72725397000.0,70517380000.0,56014965000.0,
Other Non Current Liabilities,3023176000.0,2676199000.0,3058142000.0,2376529000.0,
Derivative Product Liabilities,966087000.0,2164625000.0,4251575000.0,150511000.0,
Employee Benefits,526620000.0,617647000.0,575840000.0,669475000.0,
Non Current Pension And Other Postretirement Benefit Plans,526620000.0,617647000.0,575840000.0,669475000.0,
Dueto Related Parties Non Current,1078000.0,1078000.0,0.0,0.0,
Tradeand Other Payables Non Current,3848519000.0,3741896000.0,3309828000.0,3040366000.0,
Non Current Deferred Liabilities,5990095000.0,5244562000.0,6094169000.0,3854496000.0,
Non Current Deferred Revenue,16589000.0,19129000.0,624801000.0,36440000.0,
Non Current Deferred Taxes Liabilities,5973506000.0,5225433000.0,5469368000.0,3818056000.0,
Long Term Debt And Capital Lease Obligation,67554498000.0,56564987000.0,51426640000.0,44279527000.0,
Long Term Capital Lease Obligation,5502220000.0,4542731000.0,2981629000.0,2861858000.0,
Long Term Debt,62052278000.0,52022256000.0,48445011000.0,41417669000.0,
Long Term Provisions,2044633000.0,1714403000.0,1801186000.0,1644061000.0,
Current Liabilities,17912834000.0,16158805000.0,15798213000.0,12957036000.0,
Other Current Liabilities,4320299000.0,3551905000.0,3226667000.0,2647895000.0,
Current Debt And Capital Lease Obligation,5410681000.0,5615461000.0,5092734000.0,4647188000.0,
Current Capital Lease Obligation,1007533000.0,733063000.0,550529000.0,405820000.0,
Current Debt,4403148000.0,4882398000.0,4542205000.0,4241368000.0,
Other Current Borrowings,4403148000.0,4882398000.0,4542205000.0,4241368000.0,
Payables And Accrued Expenses,8181854000.0,6991439000.0,7478812000.0,5661953000.0,
Payables,8181854000.0,6991439000.0,7478812000.0,5661953000.0,
Other Payable,1447464000.0,1080300000.0,916280000.0,713762000.0,
Dueto Related Parties Current,416410000.0,322160000.0,387736000.0,287609000.0,
Dividends Payable,96722000.0,549054000.0,892006000.0,799634000.0,
Total Tax Payable,1052665000.0,1119652000.0,964428000.0,607444000.0,
Income Tax Payable,414823000.0,445934000.0,204387000.0,71224000.0,
Accounts Payable,5168593000.0,3920273000.0,4318362000.0,3253504000.0,
Total Assets,141265902000.0,139865382000.0,134484992000.0,97842023000.0,
Total Non Current Assets,110491499000.0,111255193000.0,108907058000.0,70548840000.0,
Other Non Current Assets,1942373000.0,1307987000.0,1148164000.0,1161649000.0,
Non Current Deferred Assets,4495296000.0,5609030000.0,4474124000.0,3051628000.0,
Non Current Deferred Taxes Assets,4495296000.0,5609030000.0,4474124000.0,3051628000.0,
