,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,508138.0,806494.0,1019007.0,806917.0,
Ordinary Shares Number,172991862.0,172693506.0,149601765.0,149813855.0,
Share Issued,173500000.0,173500000.0,150620772.0,150620772.0,
Net Debt,813188000.0,732479000.0,672831000.0,517448000.0,
Total Debt,1688926000.0,1387561000.0,1437100000.0,1276619000.0,
Tangible Book Value,1981411000.0,1917827000.0,1269033000.0,1259858000.0,
Invested Capital,3620699000.0,3319862000.0,2695936000.0,2520273000.0,
Working Capital,3063028000.0,2540589000.0,1858887000.0,2335195000.0,
Net Tangible Assets,1981411000.0,1917827000.0,1269033000.0,1259858000.0,
Capital Lease Obligations,83684000.0,21104000.0,31145000.0,35217000.0,
Common Stock Equity,2015457000.0,1953405000.0,1289981000.0,1278871000.0,
Total Capitalization,3362556000.0,3041516000.0,2370085000.0,2393068000.0,
Total Equity Gross Minority Interest,2223751000.0,2110586000.0,1449695000.0,1434457000.0,
Minority Interest,208294000.0,157181000.0,159714000.0,155586000.0,
Stockholders Equity,2015457000.0,1953405000.0,1289981000.0,1278871000.0,
Other Equity Interest,-24271000.0,-25210000.0,-29367000.0,-27588000.0,
Treasury Stock,9536000.0,7748000.0,9749000.0,7360000.0,
Retained Earnings,,,0.0,,331948000.0
Capital Stock,1159863000.0,1159863000.0,752982000.0,752982000.0,
Common Stock,1159863000.0,1159863000.0,752982000.0,752982000.0,
Total Liabilities Net Minority Interest,7843655000.0,5461012000.0,5039720000.0,4220839000.0,
Total Non Current Liabilities Net Minority Interest,6335297000.0,4418246000.0,4121504000.0,3723998000.0,
Other Non Current Liabilities,524452000.0,128260000.0,74494000.0,,
Tradeand Other Payables Non Current,3735973000.0,2747251000.0,2495348000.0,2163568000.0,
Non Current Deferred Revenue,568086000.0,378427000.0,398915000.0,375344000.0,
Non Current Deferred Taxes Liabilities,62842000.0,46246000.0,38935000.0,33709000.0,
Long Term Debt And Capital Lease Obligation,1422872000.0,1101759000.0,1099925000.0,1139326000.0,
Long Term Capital Lease Obligation,75773000.0,13648000.0,19821000.0,25129000.0,
Long Term Debt,1347099000.0,1088111000.0,1080104000.0,1114197000.0,
Long Term Provisions,21072000.0,16303000.0,13887000.0,12051000.0,
Current Liabilities,1508358000.0,1042766000.0,918216000.0,496841000.0,
Other Current Liabilities,169847000.0,58926000.0,13826000.0,,
Current Deferred Taxes Liabilities,,,,25094000.0,25227000.0
Current Debt And Capital Lease Obligation,266054000.0,285802000.0,337175000.0,137293000.0,
Current Capital Lease Obligation,7911000.0,7456000.0,11324000.0,10088000.0,
Current Debt,258143000.0,278346000.0,325851000.0,127205000.0,
Pensionand Other Post Retirement Benefit Plans Current,13267000.0,10089000.0,8550000.0,31827000.0,
Current Provisions,66454000.0,52162000.0,51766000.0,28143000.0,
Payables,926190000.0,566523000.0,478359000.0,284873000.0,
Other Payable,240752000.0,172824000.0,109327000.0,104946000.0,
Dividends Payable,299399000.0,81162000.0,104287000.0,0.0,
Total Tax Payable,55567000.0,36179000.0,28690000.0,25094000.0,
Accounts Payable,330472000.0,276358000.0,236055000.0,154833000.0,
Total Assets,10067406000.0,7571598000.0,6489415000.0,5655296000.0,
Total Non Current Assets,5496020000.0,3988243000.0,3712312000.0,2823260000.0,
Other Non Current Assets,3888979000.0,3041218000.0,3018121000.0,2303436000.0,
Long Term Equity Investment,212504000.0,169375000.0,143717000.0,117961000.0,
Investmentsin Joint Venturesat Cost,212504000.0,169375000.0,143717000.0,117980000.0,
Investmentsin Subsidiariesat Cost,,,,62311000.0,72579000.0
Goodwill And Other Intangible Assets,34046000.0,35578000.0,20948000.0,19013000.0,
Net PPE,220762000.0,111474000.0,140115000.0,99075000.0,
Accumulated Depreciation,-351361000.0,-306489000.0,-248670000.0,-264836000.0,
Gross PPE,572123000.0,417963000.0,388785000.0,363911000.0,
Other Properties,504366000.0,350063000.0,325349000.0,318951000.0,
Machinery Furniture Equipment,54377000.0,55926000.0,52874000.0,35057000.0,
Buildings And Improvements,13380000.0,11974000.0,10562000.0,9903000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,4571386000.0,3583355000.0,2777103000.0,2832036000.0,
Inventory,1643111000.0,1420699000.0,960135000.0,1239177000.0,
Other Receivables,283211000.0,287786000.0,243102000.0,287476000.0,
Taxes Receivable,37062000.0,25753000.0,23122000.0,24462000.0,
Accounts Receivable,992821000.0,521946000.0,363372000.0,231761000.0,
Cash Cash Equivalents And Short Term Investments,1615181000.0,1327171000.0,1187372000.0,1049160000.0,
Other Short Term Investments,823127000.0,693193000.0,454248000.0,325206000.0,
Cash And Cash Equivalents,792054000.0,633978000.0,733124000.0,723954000.0,
Cash Equivalents,640518000.0,477683000.0,571826000.0,484739000.0,
Cash Financial,151536000.0,156295000.0,161298000.0,239215000.0,
