,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,0.0,0.0,0.0,
Ordinary Shares Number,815927740.0,815927740.0,815927740.0,815927740.0,
Share Issued,815927740.0,815927740.0,815927740.0,815927740.0,
Net Debt,20176178000.0,15421477000.0,15705238000.0,15488471000.0,
Total Debt,24134936000.0,20677244000.0,17941125000.0,20644877000.0,
Tangible Book Value,6084233000.0,4597334000.0,4127924000.0,3890852000.0,
Invested Capital,35401637000.0,29540015000.0,26377647000.0,28573885000.0,
Working Capital,-74636000.0,2799786000.0,1488309000.0,2742775000.0,
Net Tangible Assets,6084233000.0,4597334000.0,4127924000.0,3890852000.0,
Capital Lease Obligations,,,,126384000.0,123972000.0
Common Stock Equity,11266701000.0,8862771000.0,8436522000.0,7929008000.0,
Total Capitalization,32780705000.0,26990152000.0,24724679000.0,25182951000.0,
Total Equity Gross Minority Interest,12280398000.0,9816210000.0,8440172000.0,7932597000.0,
Minority Interest,1013697000.0,953439000.0,3650000.0,3589000.0,
Stockholders Equity,11266701000.0,8862771000.0,8436522000.0,7929008000.0,
Other Equity Interest,-193510000.0,-535403000.0,-146226000.0,-534837000.0,
Capital Stock,4902648000.0,4902648000.0,4902648000.0,4902648000.0,
Common Stock,4902648000.0,4902648000.0,4902648000.0,4902648000.0,
Total Liabilities Net Minority Interest,37831903000.0,32408263000.0,29746580000.0,30183128000.0,
Total Non Current Liabilities Net Minority Interest,30558877000.0,26294598000.0,23856361000.0,24407969000.0,
Other Non Current Liabilities,1115749000.0,525918000.0,431529000.0,231353000.0,
Preferred Securities Outside Stock Equity,,,,510160000.0,482088000.0
Derivative Product Liabilities,6986000.0,23004000.0,31527000.0,,0.0
Non Current Pension And Other Postretirement Benefit Plans,231977000.0,366076000.0,218959000.0,421947000.0,
Tradeand Other Payables Non Current,4572379000.0,4657314000.0,4849081000.0,4544720000.0,
Non Current Deferred Taxes Liabilities,2519353000.0,2087298000.0,1505352000.0,1875592000.0,
Long Term Debt And Capital Lease Obligation,21514004000.0,18127381000.0,16288157000.0,17253943000.0,
Long Term Capital Lease Obligation,,,,106816000.0,104828000.0
Long Term Debt,21514004000.0,18127381000.0,16288157000.0,17253943000.0,
Long Term Provisions,598429000.0,507607000.0,531756000.0,,
Current Liabilities,7273026000.0,6113665000.0,5890219000.0,5775159000.0,
Other Current Liabilities,496338000.0,1005382000.0,442049000.0,769364000.0,
Current Deferred Taxes Liabilities,,,4144000.0,22060000.0,15159000.0
Current Debt And Capital Lease Obligation,2620932000.0,2549863000.0,1652968000.0,3390934000.0,
Current Capital Lease Obligation,,,,19568000.0,19144000.0
Current Debt,2620932000.0,2549863000.0,1652968000.0,3390934000.0,
Pensionand Other Post Retirement Benefit Plans Current,151614000.0,162191000.0,197462000.0,205092000.0,
Current Provisions,5819000.0,951000.0,4144000.0,,
Payables,3957525000.0,2322947000.0,1387631000.0,1189157000.0,
Other Payable,796725000.0,762588000.0,406871000.0,274071000.0,
Dividends Payable,1595587000.0,411578000.0,181104000.0,56558000.0,
Total Tax Payable,465332000.0,319916000.0,264258000.0,188998000.0,
Accounts Payable,1099881000.0,828865000.0,535398000.0,669530000.0,
Total Assets,50112301000.0,42224473000.0,38186752000.0,38115725000.0,
Total Non Current Assets,42913911000.0,33311022000.0,30808224000.0,29597791000.0,
Other Non Current Assets,793486000.0,348381000.0,332623000.0,374461000.0,
Financial Assets,62594000.0,43031000.0,77619000.0,184155000.0,
Investmentin Financial Assets,3430721000.0,3278019000.0,3092445000.0,3095067000.0,
Available For Sale Securities,3430721000.0,3278019000.0,3092445000.0,2994544000.0,
Trading Securities,,,45638000.0,100523000.0,54385000.0
Long Term Equity Investment,1157120000.0,2539411000.0,2832769000.0,2366708000.0,
Investmentsin Joint Venturesat Cost,,,3006423000.0,2366708000.0,2425062000.0
Investments In Other Ventures Under Equity Method,1157120000.0,2539411000.0,2832769000.0,,
Goodwill And Other Intangible Assets,5182468000.0,4265437000.0,4308598000.0,4038156000.0,
Other Intangible Assets,5088963000.0,4091783000.0,4134944000.0,4038156000.0,
Goodwill,93505000.0,173654000.0,173654000.0,80247000.0,
Net PPE,25186537000.0,16563397000.0,14196959000.0,14523945000.0,
Accumulated Depreciation,-12125684000.0,-11191592000.0,-10547248000.0,-10035121000.0,
Gross PPE,37312221000.0,27754989000.0,24744207000.0,14523945000.0,
Construction In Progress,6946994000.0,4431216000.0,1833596000.0,568586000.0,
Other Properties,351894000.0,252813000.0,166483000.0,119770000.0,
Machinery Furniture Equipment,20989336000.0,14139869000.0,13853442000.0,9930002000.0,
Buildings And Improvements,1917354000.0,1805970000.0,1782051000.0,979514000.0,
Land And Improvements,,,,135650000.0,129604000.0
Properties,7106643000.0,7125121000.0,7108635000.0,2926073000.0,
Current Assets,7198390000.0,8913451000.0,7378528000.0,8517934000.0,
Other Current Assets,402090000.0,842084000.0,318872000.0,385525000.0,
Hedging Assets Current,89514000.0,74532000.0,209928000.0,42577000.0,
Assets Held For Sale Current,4577000.0,4577000.0,2332778000.0,4577000.0,
Restricted Cash,,,34527000.0,638606000.0,174048000.0
Prepaid Assets,,,,41574000.0,57163000.0
Inventory,,,,109572000.0,132265000.0
Other Inventories,,,,93510000.0,106034000.0
Raw Materials,,,,16062000.0,26231000.0
Other Receivables,646028000.0,940096000.0,558179000.0,387529000.0,
Taxes Receivable,490704000.0,249839000.0,181438000.0,248324000.0,
Accounts Receivable,1174405000.0,1132836000.0,1143117000.0,1114105000.0,
Allowance For Doubtful Accounts Receivable,-22396000.0,-9113000.0,-9113000.0,-24254000.0,
Gross Accounts Receivable,1196801000.0,1141949000.0,1152230000.0,1138359000.0,
Cash Cash Equivalents And Short Term Investments,4391072000.0,5669487000.0,2634216000.0,6335297000.0,
Other Short Term Investments,432314000.0,413720000.0,398329000.0,1178891000.0,
Cash And Cash Equivalents,3958758000.0,5255767000.0,2235887000.0,5156406000.0,
Cash Equivalents,3727076000.0,5132273000.0,2146145000.0,5104491000.0,
Cash Financial,231682000.0,123494000.0,89742000.0,51915000.0,
