,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,59465852.0,61142970.0,,,
Ordinary Shares Number,2250633959.0,2245956841.0,2301227777.0,1568930910.0,
Share Issued,2310099811.0,2307099811.0,2301227777.0,1568930910.0,
Net Debt,51480511000.0,48568035000.0,49656998000.0,45039321000.0,
Total Debt,78235616000.0,61831153000.0,61149292000.0,46135464000.0,
Tangible Book Value,42969871000.0,31081652000.0,28399308000.0,71129028000.0,
Invested Capital,199916258000.0,173947778000.0,170900920000.0,121353184000.0,
Working Capital,32820732000.0,20737340000.0,23182251000.0,15861624000.0,
Net Tangible Assets,42969871000.0,31081652000.0,28399308000.0,71129028000.0,
Capital Lease Obligations,182583000.0,216747000.0,753168000.0,903484000.0,
Common Stock Equity,121863225000.0,112333372000.0,110504796000.0,76121204000.0,
Total Capitalization,184673927000.0,160902868000.0,162086548000.0,111902096000.0,
Total Equity Gross Minority Interest,121999776000.0,112464644000.0,111028636000.0,76416764000.0,
Minority Interest,136551000.0,131272000.0,523840000.0,295560000.0,
Stockholders Equity,121863225000.0,112333372000.0,110504796000.0,76121204000.0,
Other Equity Interest,-108186000.0,-108186000.0,-108186000.0,,
Gains Losses Not Affecting Retained Earnings,54094596000.0,44455988000.0,40799242000.0,37063933000.0,
Other Equity Adjustments,54094596000.0,44455988000.0,40799242000.0,37063933000.0,
Treasury Stock,2223011000.0,2114256000.0,0.0,,
Retained Earnings,,,,,0.0
Capital Stock,70099826000.0,70099826000.0,69813740000.0,39057271000.0,
Common Stock,70099826000.0,70099826000.0,69813740000.0,39057271000.0,
Total Liabilities Net Minority Interest,167871554000.0,154593010000.0,159188826000.0,111886305000.0,
Total Non Current Liabilities Net Minority Interest,136241184000.0,127433219000.0,132747950000.0,88002933000.0,
Other Non Current Liabilities,41373069000.0,40058399000.0,36701777000.0,1690378000.0,
Derivative Product Liabilities,2283000.0,657514000.0,0.0,0.0,
Employee Benefits,3416381000.0,5293808000.0,4947234000.0,5851502000.0,
Non Current Pension And Other Postretirement Benefit Plans,3416381000.0,5293808000.0,4947234000.0,5851502000.0,
Tradeand Other Payables Non Current,939600000.0,1140953000.0,1096136000.0,358822000.0,
Non Current Deferred Liabilities,4395959000.0,5906694000.0,6595187000.0,7431085000.0,
Non Current Deferred Revenue,0.0,86612000.0,213921000.0,186348000.0,
Non Current Deferred Taxes Liabilities,4287021000.0,5721830000.0,6294347000.0,7244737000.0,
Long Term Debt And Capital Lease Obligation,62966424000.0,48742223000.0,52110601000.0,36474602000.0,
Long Term Capital Lease Obligation,155722000.0,172727000.0,528849000.0,693710000.0,
Long Term Debt,62810702000.0,48569496000.0,51581752000.0,35780892000.0,
Long Term Provisions,22205120000.0,25201287000.0,30832657000.0,35547203000.0,
Current Liabilities,31630370000.0,27159791000.0,26440876000.0,23883372000.0,
Other Current Liabilities,6703741000.0,4442878000.0,2848971000.0,3804269000.0,
Current Deferred Liabilities,0.0,138690000.0,1653122000.0,1460455000.0,
Current Deferred Revenue,0.0,138690000.0,1653122000.0,1460455000.0,
Current Debt And Capital Lease Obligation,15269192000.0,13088930000.0,9038691000.0,9660862000.0,
Current Capital Lease Obligation,26861000.0,44020000.0,224319000.0,209774000.0,
Current Debt,15242331000.0,13044910000.0,8814372000.0,9451088000.0,
Other Current Borrowings,15242331000.0,13044910000.0,8814372000.0,9451088000.0,
Pensionand Other Post Retirement Benefit Plans Current,299973000.0,301387000.0,246437000.0,1640195000.0,
Current Provisions,1853799000.0,2411533000.0,4621584000.0,859003000.0,
Payables And Accrued Expenses,7503665000.0,6776373000.0,8032071000.0,6458588000.0,
Current Accrued Expenses,1065114000.0,1634933000.0,2469288000.0,1622536000.0,
Payables,6438551000.0,5141440000.0,5562783000.0,4836052000.0,
Other Payable,55517000.0,8572000.0,,,
Dividends Payable,2490668000.0,1154836000.0,924644000.0,,
Total Tax Payable,1136037000.0,1014165000.0,1120966000.0,804520000.0,
Income Tax Payable,26475000.0,21278000.0,0.0,35000.0,
Accounts Payable,2756329000.0,2963867000.0,3517173000.0,4031532000.0,
Total Assets,289871330000.0,267057654000.0,270217462000.0,188303069000.0,
Total Non Current Assets,225420228000.0,219160523000.0,220594335000.0,148558073000.0,
Other Non Current Assets,10006663000.0,9624505000.0,10927401000.0,17148027000.0,
Non Current Prepaid Assets,,,0.0,0.0,1541000.0
Non Current Deferred Assets,,,,1500987000.0,2068894000.0
Non Current Deferred Taxes Assets,,,,1500987000.0,2068894000.0
Duefrom Related Parties Non Current,,0.0,1223316000.0,0.0,
Non Current Note Receivables,163140000.0,260409000.0,328806000.0,4591761000.0,
Non Current Accounts Receivable,65838953000.0,58581061000.0,57609813000.0,55101937000.0,
Financial Assets,1544095000.0,0.0,485507000.0,653022000.0,
Investments And Advances,32119967000.0,33637407000.0,34397615000.0,32703169000.0,
Other Investments,97987000.0,32288000.0,0.0,2055713000.0,
Investmentin Financial Assets,1294575000.0,1504817000.0,2173351000.0,4878284000.0,
Available For Sale Securities,1294575000.0,1504817000.0,2173351000.0,4878284000.0,
Long Term Equity Investment,30727405000.0,32100302000.0,32224264000.0,25769172000.0,
Goodwill And Other Intangible Assets,78893354000.0,81251720000.0,82105488000.0,4992176000.0,
Other Intangible Assets,78893354000.0,81251720000.0,82105488000.0,4833716000.0,
Goodwill,,,92639000.0,158460000.0,
Net PPE,36854056000.0,35805421000.0,34739705000.0,33367981000.0,
Accumulated Depreciation,-47092310000.0,-46250916000.0,-47625517000.0,-52659169000.0,
Gross PPE,83946366000.0,82056337000.0,82365222000.0,86027150000.0,
Construction In Progress,5141851000.0,4432927000.0,2716242000.0,17484344000.0,
Other Properties,78804515000.0,77623411000.0,79648980000.0,68542807000.0,
Machinery Furniture Equipment,,,45167678000.0,43913310000.0,12875695000.0
Buildings And Improvements,,,11214819000.0,8453973000.0,3281436000.0
Properties,,,0.0,0.0,0.0
Current Assets,64451102000.0,47897131000.0,49623127000.0,39744996000.0,
Other Current Assets,2302172000.0,2679030000.0,3543020000.0,2783553000.0,
