,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,205017990.0,202630588.0,200243184.0,197855783.0,
Share Issued,205017990.0,202630588.0,200243184.0,197855783.0,
Total Debt,11063000.0,3948000.0,5193000.0,7753000.0,
Tangible Book Value,204975000.0,230872000.0,315433000.0,381994000.0,
Invested Capital,320453000.0,339836000.0,380850000.0,424561000.0,
Working Capital,169735000.0,235540000.0,314084000.0,379288000.0,
Net Tangible Assets,204975000.0,230872000.0,315433000.0,381994000.0,
Capital Lease Obligations,11063000.0,3948000.0,5193000.0,7753000.0,
Common Stock Equity,320453000.0,339836000.0,380850000.0,424561000.0,
Total Capitalization,320453000.0,339836000.0,380850000.0,424561000.0,
Total Equity Gross Minority Interest,320453000.0,339836000.0,380850000.0,424561000.0,
Stockholders Equity,320453000.0,339836000.0,380850000.0,424561000.0,
Other Equity Interest,,,,57610000.0,11540000.0
Retained Earnings,-367976000.0,-344041000.0,-291070000.0,-224555000.0,
Capital Stock,595302000.0,594037000.0,592772000.0,591506000.0,
Common Stock,595302000.0,594037000.0,592772000.0,591506000.0,
Total Liabilities Net Minority Interest,101721000.0,73026000.0,49846000.0,47734000.0,
Total Non Current Liabilities Net Minority Interest,33650000.0,12080000.0,6917000.0,8317000.0,
Tradeand Other Payables Non Current,16000000.0,,,,
Non Current Deferred Taxes Liabilities,5355000.0,6077000.0,,,
Long Term Debt And Capital Lease Obligation,8412000.0,1844000.0,3532000.0,5605000.0,
Long Term Capital Lease Obligation,8412000.0,1844000.0,3532000.0,5605000.0,
Long Term Debt,,,,,0.0
Long Term Provisions,3883000.0,4159000.0,3385000.0,2712000.0,
Current Liabilities,68071000.0,60946000.0,42929000.0,39417000.0,
Other Current Liabilities,,-1000.0,,,6507000.0
Current Debt And Capital Lease Obligation,2651000.0,2104000.0,1661000.0,2148000.0,
Current Capital Lease Obligation,2651000.0,2104000.0,1661000.0,2148000.0,
Current Debt,,,,,0.0
Pensionand Other Post Retirement Benefit Plans Current,11850000.0,13884000.0,8664000.0,4781000.0,
Current Provisions,,,,,369000.0
Payables,46380000.0,39027000.0,27164000.0,29891000.0,
Other Payable,17274000.0,10929000.0,8692000.0,7261000.0,
Total Tax Payable,4068000.0,3601000.0,2459000.0,2564000.0,
Accounts Payable,25038000.0,24497000.0,16013000.0,20066000.0,
Total Assets,422174000.0,412862000.0,430696000.0,472295000.0,
Total Non Current Assets,184368000.0,116376000.0,73683000.0,53590000.0,
Non Current Prepaid Assets,,,339000.0,333000.0,333000.0
Non Current Deferred Taxes Assets,,,,,0.0
Other Investments,,345000.0,,,
Investmentin Financial Assets,0.0,345000.0,339000.0,333000.0,
Available For Sale Securities,,,339000.0,333000.0,333000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,0.0,345000.0,,,333000.0
Long Term Equity Investment,46866000.0,0.0,,,
Investmentsin Associatesat Cost,46866000.0,0.0,,,
Goodwill And Other Intangible Assets,115478000.0,108964000.0,65417000.0,42567000.0,
Other Intangible Assets,105950000.0,99436000.0,65417000.0,42567000.0,
Goodwill,9528000.0,9528000.0,,,
Net PPE,22024000.0,7067000.0,7927000.0,10580000.0,
Accumulated Depreciation,-13378000.0,-11300000.0,-7577000.0,-4684000.0,
Gross PPE,35402000.0,18367000.0,15504000.0,15264000.0,
Construction In Progress,0.0,226000.0,214000.0,0.0,
Other Properties,15758000.0,9329000.0,8811000.0,9486000.0,
Machinery Furniture Equipment,8459000.0,6624000.0,4558000.0,3957000.0,
Buildings And Improvements,11185000.0,2188000.0,1921000.0,1821000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,237806000.0,296486000.0,357013000.0,418705000.0,
Other Current Assets,115000.0,659000.0,167000.0,160000.0,
Prepaid Assets,10623000.0,6967000.0,11425000.0,3119000.0,
Other Receivables,53000.0,329000.0,7302000.0,,
Taxes Receivable,4425000.0,6513000.0,8247000.0,7690000.0,
Accounts Receivable,23790000.0,20325000.0,20774000.0,16001000.0,
Allowance For Doubtful Accounts Receivable,-183000.0,-410000.0,-128000.0,-473000.0,
Gross Accounts Receivable,23973000.0,20735000.0,20902000.0,16474000.0,
Cash Cash Equivalents And Short Term Investments,198800000.0,261693000.0,309098000.0,391735000.0,
Other Short Term Investments,,,,9193000.0,16316000.0
Cash And Cash Equivalents,198800000.0,261693000.0,309098000.0,382542000.0,
Cash Equivalents,196236000.0,253883000.0,306171000.0,369237000.0,
Cash Financial,2564000.0,7810000.0,2927000.0,13305000.0,
