,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,2863400.0,2863400.0,2863400.0,5035897.0,
Ordinary Shares Number,218125703.0,218125703.0,218125703.0,221964103.0,
Share Issued,220989103.0,220989103.0,220989103.0,227000000.0,
Net Debt,1066905000.0,784175000.0,485637000.0,,
Total Debt,1159374000.0,864542000.0,538577000.0,42832000.0,
Tangible Book Value,4801379000.0,4643623000.0,4467857000.0,4282276000.0,
Invested Capital,5940720000.0,5501998000.0,4997173000.0,4312812000.0,
Working Capital,2233724000.0,2108232000.0,1861952000.0,1732931000.0,
Net Tangible Assets,4801379000.0,4643623000.0,4467857000.0,4282276000.0,
Capital Lease Obligations,22992000.0,8371000.0,11051000.0,13473000.0,
Common Stock Equity,4804338000.0,4645827000.0,4469647000.0,4283453000.0,
Total Capitalization,5854762000.0,5365527000.0,4933705000.0,4306598000.0,
Total Equity Gross Minority Interest,4883126000.0,4705064000.0,4538944000.0,4369061000.0,
Minority Interest,78788000.0,59237000.0,69297000.0,85608000.0,
Stockholders Equity,4804338000.0,4645827000.0,4469647000.0,4283453000.0,
Other Equity Interest,-96581000.0,-96581000.0,-90168000.0,-90168000.0,
Treasury Stock,45181000.0,45181000.0,45181000.0,115533000.0,
Retained Earnings,,239467000.0,324707000.0,430128000.0,
Capital Stock,2888997000.0,2888997000.0,2888997000.0,2888997000.0,
Common Stock,2888997000.0,2888997000.0,2888997000.0,2888997000.0,
Total Liabilities Net Minority Interest,1583408000.0,1174252000.0,994650000.0,706437000.0,
Total Non Current Liabilities Net Minority Interest,1201030000.0,771632000.0,518981000.0,236297000.0,
Tradeand Other Payables Non Current,59882000.0,388000.0,2389000.0,155911000.0,
Non Current Deferred Taxes Liabilities,53558000.0,35845000.0,28634000.0,27229000.0,
Long Term Debt And Capital Lease Obligation,1069659000.0,725198000.0,472055000.0,33295000.0,
Long Term Capital Lease Obligation,19235000.0,5498000.0,7997000.0,10150000.0,
Long Term Debt,1050424000.0,719700000.0,464058000.0,23145000.0,
Long Term Provisions,17931000.0,10201000.0,15903000.0,19862000.0,
Current Liabilities,382378000.0,402620000.0,475669000.0,470140000.0,
Current Deferred Taxes Liabilities,16983000.0,11540000.0,12753000.0,12254000.0,
Current Debt And Capital Lease Obligation,89715000.0,139344000.0,66522000.0,9537000.0,
Current Capital Lease Obligation,3757000.0,2873000.0,3054000.0,3323000.0,
Current Debt,85958000.0,136471000.0,63468000.0,6214000.0,
Pensionand Other Post Retirement Benefit Plans Current,9796000.0,8071000.0,9796000.0,8643000.0,
Current Provisions,12294000.0,12179000.0,7544000.0,9067000.0,
Payables,172920000.0,137200000.0,247517000.0,260567000.0,
Other Payable,53458000.0,2496000.0,124761000.0,50831000.0,
Dividends Payable,30079000.0,19666000.0,7484000.0,102155000.0,
Total Tax Payable,22693000.0,26102000.0,24660000.0,26149000.0,
Accounts Payable,66690000.0,88936000.0,90612000.0,81432000.0,
Total Assets,6466534000.0,5879316000.0,5533594000.0,5075498000.0,
Total Non Current Assets,3850432000.0,3368464000.0,3195973000.0,2872427000.0,
Other Non Current Assets,1750556000.0,1668196000.0,1641471000.0,1551955000.0,
Long Term Equity Investment,514136000.0,501241000.0,538650000.0,444381000.0,
Investmentsin Joint Venturesat Cost,514136000.0,501241000.0,538650000.0,444381000.0,
Investment Properties,,,,1551955000.0,1112290000.0
Goodwill And Other Intangible Assets,2959000.0,2204000.0,1790000.0,1177000.0,
Net PPE,36152000.0,34188000.0,50920000.0,45342000.0,
Current Assets,2616102000.0,2510852000.0,2337621000.0,2203071000.0,
Restricted Cash,1904000.0,12190000.0,7214000.0,4545000.0,
Inventory,1378328000.0,1422577000.0,1209550000.0,923318000.0,
Finished Goods,1378328000.0,1422577000.0,1209550000.0,923318000.0,
Other Receivables,23463000.0,20899000.0,27548000.0,37403000.0,
Taxes Receivable,8930000.0,8905000.0,9348000.0,8127000.0,
Accounts Receivable,434949000.0,296195000.0,322498000.0,336533000.0,
Cash Cash Equivalents And Short Term Investments,768528000.0,750086000.0,761463000.0,897690000.0,
Other Short Term Investments,699051000.0,678090000.0,719574000.0,835645000.0,
Cash And Cash Equivalents,69477000.0,71996000.0,41889000.0,62045000.0,
Cash Equivalents,,,0.0,749000.0,722000.0
Cash Financial,69477000.0,71996000.0,41889000.0,56751000.0,
