,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,9936900.0,0.0,1135000.0,6258200.0,
Ordinary Shares Number,989768904.0,1032705804.0,1032705804.0,1080985004.0,
Share Issued,999705804.0,1032705804.0,1033840804.0,1087243204.0,
Net Debt,5774666000.0,7912612000.0,10156384000.0,9947090000.0,
Total Debt,14917153000.0,12195902000.0,13662923000.0,15028203000.0,
Tangible Book Value,5781845000.0,5562165000.0,4407025000.0,1804717000.0,
Invested Capital,33672010000.0,27679323000.0,29088928000.0,28851842000.0,
Working Capital,21897492000.0,18235956000.0,18725926000.0,19387404000.0,
Net Tangible Assets,5781845000.0,5562165000.0,4407025000.0,1804717000.0,
Capital Lease Obligations,1280669000.0,1277602000.0,1030643000.0,918365000.0,
Common Stock Equity,20035526000.0,16761023000.0,16456648000.0,14742004000.0,
Total Capitalization,32936973000.0,25881701000.0,25967780000.0,27039852000.0,
Total Equity Gross Minority Interest,58253714000.0,49573439000.0,47289112000.0,43623062000.0,
Minority Interest,38218188000.0,32812416000.0,30832464000.0,28881058000.0,
Stockholders Equity,20035526000.0,16761023000.0,16456648000.0,14742004000.0,
Other Equity Interest,4046604000.0,1500175000.0,2114144000.0,2319725000.0,
Treasury Stock,111005000.0,0.0,15094000.0,69861000.0,
Retained Earnings,,,0.0,,
Capital Stock,8208826000.0,8208826000.0,8208826000.0,8208826000.0,
Common Stock,8208826000.0,8208826000.0,8208826000.0,8208826000.0,
Total Liabilities Net Minority Interest,28694815000.0,25659023000.0,27480413000.0,30989604000.0,
Total Non Current Liabilities Net Minority Interest,17789346000.0,14354810000.0,13986545000.0,16948561000.0,
Other Non Current Liabilities,587111000.0,853059000.0,482296000.0,408200000.0,
Derivative Product Liabilities,0.0,1606000.0,0.0,,
Non Current Pension And Other Postretirement Benefit Plans,914247000.0,1119946000.0,1356883000.0,1851003000.0,
Tradeand Other Payables Non Current,,,24890000.0,24648000.0,22855000.0
Non Current Deferred Taxes Liabilities,2088375000.0,1942134000.0,1626381000.0,1369448000.0,
Long Term Debt And Capital Lease Obligation,13751389000.0,10025129000.0,10265841000.0,12941127000.0,
Long Term Capital Lease Obligation,849942000.0,904451000.0,754709000.0,643279000.0,
Long Term Debt,12901447000.0,9120678000.0,9511132000.0,12297848000.0,
Long Term Provisions,448224000.0,412936000.0,255144000.0,378783000.0,
Current Liabilities,10905469000.0,11304213000.0,13493868000.0,14041043000.0,
Other Current Liabilities,2069684000.0,1215493000.0,1228494000.0,1118520000.0,
Current Debt And Capital Lease Obligation,1165764000.0,2170773000.0,3397082000.0,2087076000.0,
Current Capital Lease Obligation,430727000.0,373151000.0,275934000.0,275086000.0,
Current Debt,735037000.0,1797622000.0,3121148000.0,1811990000.0,
Pensionand Other Post Retirement Benefit Plans Current,115957000.0,98388000.0,95948000.0,136467000.0,
Current Provisions,245429000.0,139395000.0,262018000.0,231711000.0,
Payables,7306888000.0,7661122000.0,8491270000.0,10467269000.0,
Other Payable,919396000.0,846679000.0,1057358000.0,1201241000.0,
Dividends Payable,49985000.0,0.0,,0.0,524817000.0
Total Tax Payable,619403000.0,913260000.0,814989000.0,1248888000.0,
Accounts Payable,5718104000.0,5901183000.0,6618923000.0,8017140000.0,
Total Assets,86948529000.0,75232462000.0,74769525000.0,74612666000.0,
Total Non Current Assets,54145568000.0,45692293000.0,42549731000.0,41184219000.0,
Other Non Current Assets,358806000.0,358534000.0,707155000.0,580274000.0,
Non Current Prepaid Assets,9716000.0,11695000.0,9179000.0,4942000.0,
Non Current Deferred Taxes Assets,2427648000.0,2219461000.0,2164477000.0,2929308000.0,
Financial Assets,35947000.0,0.0,,,
Long Term Equity Investment,4222317000.0,3858449000.0,3896518000.0,3340775000.0,
Goodwill And Other Intangible Assets,14253681000.0,11198858000.0,12049623000.0,12937287000.0,
Other Intangible Assets,400567000.0,373710000.0,415159000.0,509760000.0,
Goodwill,13853114000.0,10825148000.0,11634464000.0,12427527000.0,
Net PPE,30760234000.0,24063410000.0,21383836000.0,19603756000.0,
Accumulated Depreciation,-43405118000.0,-36394162000.0,-35621446000.0,-34805238000.0,
Gross PPE,74165352000.0,60457572000.0,57005282000.0,54408994000.0,
Construction In Progress,8600123000.0,5516550000.0,3714681000.0,3620929000.0,
Other Properties,4719937000.0,4388397000.0,3659279000.0,3310775000.0,
Machinery Furniture Equipment,47362045000.0,39079732000.0,38638694000.0,36863451000.0,
Buildings And Improvements,738899000.0,599276000.0,562187000.0,392999000.0,
Land And Improvements,12744348000.0,10873617000.0,10430441000.0,10220840000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,32802961000.0,29540169000.0,32219794000.0,33428447000.0,
Other Current Assets,632322000.0,555019000.0,799343000.0,683525000.0,
Hedging Assets Current,16921000.0,766000.0,3272000.0,3246000.0,
Assets Held For Sale Current,0.0,1210041000.0,0.0,,
Inventory,16504911000.0,15227778000.0,17817585000.0,16861488000.0,
Inventories Adjustments Allowances,-29558000.0,-58172000.0,-47497000.0,-3375000.0,
Other Inventories,696699000.0,469601000.0,835598000.0,1145215000.0,
Finished Goods,7413773000.0,6971497000.0,7942003000.0,7209379000.0,
Work In Process,3795605000.0,3336780000.0,4480989000.0,3453948000.0,
Raw Materials,4628392000.0,4508072000.0,4606492000.0,5056321000.0,
Other Receivables,125000.0,1036000.0,5048000.0,7671000.0,
Taxes Receivable,2100876000.0,2029411000.0,2249682000.0,2903410000.0,
Accounts Receivable,5176958000.0,4875394000.0,4999004000.0,5414075000.0,
Allowance For Doubtful Accounts Receivable,-114519000.0,-89886000.0,-92587000.0,-107772000.0,
Gross Accounts Receivable,5291477000.0,4965280000.0,5091591000.0,5521847000.0,
Cash Cash Equivalents And Short Term Investments,8370848000.0,5640724000.0,6345860000.0,7555032000.0,
Other Short Term Investments,509030000.0,2635036000.0,3869964000.0,3392284000.0,
Cash And Cash Equivalents,7861818000.0,3005688000.0,2475896000.0,4162748000.0,
Cash Financial,7861818000.0,3005688000.0,2475896000.0,4162748000.0,
