,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,50112.0,1140940.0,1217285.0,1824034.0
Ordinary Shares Number,3200551792.0,3199375341.0,3176826637.0,3135882933.0
Share Issued,3200601904.0,3200516281.0,3178043922.0,3137706967.0
Net Debt,10259661000.0,11815856000.0,11413772000.0,9314136000.0
Total Debt,20024964000.0,23191850000.0,22663014000.0,17561158000.0
Tangible Book Value,-25104914000.0,-23221804000.0,-22876887000.0,-16154200000.0
Invested Capital,-12583525000.0,-9373924000.0,-9153648000.0,-4430126000.0
Working Capital,-9973340000.0,-10867704000.0,-8393753000.0,-7152865000.0
Net Tangible Assets,-25104914000.0,-23221804000.0,-22876887000.0,-16154200000.0
Capital Lease Obligations,9441375000.0,11206959000.0,10762984000.0,7584192000.0
Common Stock Equity,-23167114000.0,-21358815000.0,-21053678000.0,-14407092000.0
Total Capitalization,-13845079000.0,-10500553000.0,-9788262000.0,-6783405000.0
Total Equity Gross Minority Interest,-23167114000.0,-21358815000.0,-21053678000.0,-13767059000.0
Minority Interest,,,0.0,640033000.0
Stockholders Equity,-23167114000.0,-21358815000.0,-21053678000.0,-14407092000.0
Other Equity Interest,73075000.0,945171000.0,-943484000.0,1180000.0
Gains Losses Not Affecting Retained Earnings,-288501000.0,-537092000.0,99116000.0,-370123000.0
Other Equity Adjustments,-251339000.0,-534433000.0,84261000.0,207246000.0
Minimum Pension Liabilities,-37162000.0,-2659000.0,14855000.0,
Unrealized Gain Loss,,-770489000.0,-1053082000.0,-577369000.0
Treasury Stock,1709000.0,38910000.0,41514000.0,62215000.0
Retained Earnings,-26990640000.0,-25768381000.0,-24206908000.0,-16985370000.0
Capital Stock,4040661000.0,4040397000.0,4039112000.0,3009436000.0
Common Stock,4040661000.0,4040397000.0,4039112000.0,3009436000.0
Total Liabilities Net Minority Interest,39893308000.0,38329100000.0,35456021000.0,26581195000.0
Total Non Current Liabilities Net Minority Interest,26891715000.0,24467853000.0,24374227000.0,16182979000.0
Other Non Current Liabilities,1051049000.0,823237000.0,1163858000.0,653939000.0
Derivative Product Liabilities,5010509000.0,17000.0,0.0,0.0
Non Current Pension And Other Postretirement Benefit Plans,495968000.0,285736000.0,25919000.0,0.0
Non Current Accrued Expenses,495968000.0,285736000.0,25919000.0,0.0
Tradeand Other Payables Non Current,431713000.0,310563000.0,103328000.0,65020000.0
Non Current Deferred Liabilities,198517000.0,36354000.0,411000.0,219634000.0
Non Current Deferred Taxes Liabilities,198517000.0,36354000.0,411000.0,219634000.0
Long Term Debt And Capital Lease Obligation,17023768000.0,20116963000.0,19970713000.0,13890871000.0
Long Term Capital Lease Obligation,7701733000.0,9258701000.0,8705297000.0,6267184000.0
Long Term Debt,9322035000.0,10858262000.0,11265416000.0,7623687000.0
Long Term Provisions,2680191000.0,2894983000.0,3109998000.0,1353515000.0
Current Liabilities,13001593000.0,13861247000.0,11081794000.0,10398216000.0
Other Current Liabilities,3090331000.0,3130374000.0,2665207000.0,2459032000.0
Current Deferred Liabilities,3319361000.0,3887401000.0,2930294000.0,2078696000.0
Current Deferred Revenue,3279484000.0,3857460000.0,2907561000.0,2078696000.0
Current Debt And Capital Lease Obligation,3001196000.0,3074887000.0,2692301000.0,3670287000.0
Current Capital Lease Obligation,1739642000.0,1948258000.0,2057687000.0,1317008000.0
Current Debt,1261554000.0,1126629000.0,634614000.0,2353279000.0
Other Current Borrowings,1261554000.0,1126629000.0,634614000.0,2353279000.0
Line Of Credit,,76710000.0,48239000.0,239615000.0
Pensionand Other Post Retirement Benefit Plans Current,647729000.0,600451000.0,374576000.0,334670000.0
Current Provisions,737636000.0,634820000.0,477324000.0,169381000.0
Payables And Accrued Expenses,2205340000.0,2533314000.0,1942092000.0,1686150000.0
Current Accrued Expenses,,600451000.0,374576000.0,334670000.0
Payables,2205340000.0,2533314000.0,1942092000.0,1686150000.0
Total Tax Payable,205261000.0,258811000.0,122036000.0,73614000.0
Accounts Payable,2000079000.0,2274503000.0,1820056000.0,1612536000.0
