,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,46730.0,0.0,0.0,0.0,
Ordinary Shares Number,327564380.0,327611110.0,327611110.0,327611110.0,
Share Issued,327611110.0,327611110.0,327611110.0,327611110.0,
Net Debt,35547000.0,,,,
Total Debt,941730000.0,927327000.0,1097474000.0,453987000.0,
Tangible Book Value,2357100000.0,2061268000.0,1716086000.0,1727514000.0,
Invested Capital,3865425000.0,3514839000.0,3296252000.0,2344120000.0,
Working Capital,2280412000.0,2247464000.0,2075509000.0,1687270000.0,
Net Tangible Assets,2357100000.0,2061268000.0,1716086000.0,1727514000.0,
Capital Lease Obligations,18214000.0,13312000.0,32259000.0,10293000.0,
Common Stock Equity,2941909000.0,2600824000.0,2231037000.0,1900426000.0,
Total Capitalization,3654306000.0,3394356000.0,3060712000.0,2207016000.0,
Total Equity Gross Minority Interest,2966536000.0,2623522000.0,2248282000.0,1919139000.0,
Minority Interest,24627000.0,22698000.0,17245000.0,18713000.0,
Stockholders Equity,2941909000.0,2600824000.0,2231037000.0,1900426000.0,
Other Equity Interest,-1125000.0,-969000.0,-833000.0,-558000.0,
Treasury Stock,733000.0,0.0,,,0.0
Capital Stock,1700000000.0,1700000000.0,1074500000.0,1074500000.0,
Common Stock,1700000000.0,1700000000.0,1074500000.0,1074500000.0,
Total Liabilities Net Minority Interest,2602985000.0,2264763000.0,2739100000.0,1636657000.0,
Total Non Current Liabilities Net Minority Interest,806614000.0,898477000.0,992611000.0,368639000.0,
Tradeand Other Payables Non Current,41005000.0,44052000.0,81349000.0,40134000.0,
Non Current Deferred Taxes Liabilities,18929000.0,20232000.0,19635000.0,15849000.0,
Long Term Debt And Capital Lease Obligation,723630000.0,801675000.0,851111000.0,312656000.0,
Long Term Capital Lease Obligation,11233000.0,8143000.0,21436000.0,6066000.0,
Long Term Debt,712397000.0,793532000.0,829675000.0,306590000.0,
Long Term Provisions,23050000.0,32518000.0,40516000.0,15849000.0,
Current Liabilities,1796371000.0,1366286000.0,1746489000.0,1268018000.0,
Other Current Liabilities,,,,10712000.0,7895000.0
Current Deferred Taxes Liabilities,1767000.0,1329000.0,950000.0,810000.0,
Current Debt And Capital Lease Obligation,218100000.0,125652000.0,246363000.0,141331000.0,
Current Capital Lease Obligation,6981000.0,5169000.0,10823000.0,4227000.0,
Current Debt,211119000.0,120483000.0,235540000.0,137104000.0,
