,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,2903168.0,0.0,0.0,10275191.0,
Ordinary Shares Number,10890315609.0,10893218777.0,10789758723.0,10794032320.0,
Share Issued,10893218777.0,10893218777.0,10789758723.0,10804307511.0,
Net Debt,5784000000.0,4785000000.0,7575000000.0,5008000000.0,
Total Debt,11410000000.0,11514000000.0,12654000000.0,9288000000.0,
Tangible Book Value,89608000000.0,82086000000.0,71915000000.0,65130000000.0,
Invested Capital,101079000000.0,93714000000.0,84844000000.0,74770000000.0,
Working Capital,6743000000.0,7993000000.0,4333000000.0,2996000000.0,
Net Tangible Assets,89608000000.0,82086000000.0,71915000000.0,65130000000.0,
Capital Lease Obligations,774000000.0,752000000.0,607000000.0,404000000.0,
Common Stock Equity,90443000000.0,82952000000.0,72797000000.0,65886000000.0,
Total Capitalization,100181000000.0,92614000000.0,83922000000.0,73493000000.0,
Total Equity Gross Minority Interest,94997000000.0,87050000000.0,76535000000.0,69508000000.0,
Minority Interest,4554000000.0,4098000000.0,3738000000.0,3622000000.0,
Stockholders Equity,90443000000.0,82952000000.0,72797000000.0,65886000000.0,
Other Equity Interest,769000000.0,699000000.0,688000000.0,-2368000000.0,
Fixed Assets Revaluation Reserve,6000000.0,6000000.0,6000000.0,,
Treasury Stock,30000000.0,0.0,0.0,97000000.0,
Retained Earnings,,,,,0.0
Additional Paid In Capital,4000000.0,4000000.0,4000000.0,,
Capital Stock,80189000000.0,73189000000.0,63500000000.0,51460000000.0,
Common Stock,80189000000.0,73189000000.0,63500000000.0,51460000000.0,
Total Liabilities Net Minority Interest,19628000000.0,18298000000.0,20102000000.0,16473000000.0,
Total Non Current Liabilities Net Minority Interest,13852000000.0,13500000000.0,12743000000.0,10646000000.0,
Other Non Current Liabilities,310000000.0,360000000.0,334000000.0,360000000.0,
Derivative Product Liabilities,331000000.0,0.0,0.0,63000000.0,
Non Current Pension And Other Postretirement Benefit Plans,38000000.0,42000000.0,36000000.0,38000000.0,
Tradeand Other Payables Non Current,33000000.0,45000000.0,57000000.0,68000000.0,
Non Current Deferred Revenue,2000000.0,13000000.0,12000000.0,11000000.0,
