,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,,0.0,80062600.0,12848500.0
Ordinary Shares Number,2218116370.0,2218116370.0,2218116370.0,2293803970.0,
Share Issued,2218116370.0,2218116370.0,2218116370.0,2293803970.0,
Net Debt,77865853276.2,73490449722.8,73608074320.2,69279004000.0,
Total Debt,123281258387.1,104603072503.6,96072044699.4,100922628000.0,
Tangible Book Value,-777977521.2,4534970822.8,5774245873.2,-449615000.0,
Invested Capital,156413577259.5,139467573168.0,134029686814.8,136637446000.0,
Working Capital,33772134735.9,30766211071.2,24556395141.6,24105123000.0,
Net Tangible Assets,-777977521.2,4534970822.8,5774245873.2,-449615000.0,
Capital Lease Obligations,10717859846.1,8935842876.4,9104708537.4,8404474000.0,
Common Stock Equity,43850178718.5,43800343540.8,47062350652.8,44119292000.0,
Total Capitalization,150424785812.4,135687051698.0,130046788947.6,124723162000.0,
Total Equity Gross Minority Interest,50277690447.6,47113827015.2,50478110818.8,47796720000.0,
Minority Interest,6427511729.1,3313483474.4,3415760166.0,3677428000.0,
Stockholders Equity,43850178718.5,43800343540.8,47062350652.8,44119292000.0,
Other Equity Interest,62705230.5,49235714.0,,,
Gains Losses Not Affecting Retained Earnings,-37887940417.8,-20379863191.6,-22619436987.0,20543086000.0,
Other Equity Adjustments,-37887940417.8,-20379863191.6,-22619436987.0,20543086000.0,
Additional Paid In Capital,224496468.9,176273077.2,,,
Capital Stock,81450917436.9,63954697941.2,69681787639.8,23576206000.0,
Common Stock,81450917436.9,63954697941.2,69681787639.8,23576206000.0,
Total Liabilities Net Minority Interest,201194531528.1,159524916953.6,160428494247.0,159454164000.0,
Total Non Current Liabilities Net Minority Interest,129143378469.6,111492990681.6,104527194597.0,99645081000.0,
Other Non Current Liabilities,504454153.5,562194688.0,407229341.4,774854000.0,
Derivative Product Liabilities,618627738.3,,,0.0,9207000.0
Non Current Accrued Expenses,2180114686.2,2380509159.6,2410930107.6,2930082000.0,
Dueto Related Parties Non Current,,,0.0,0.0,0.0
Tradeand Other Payables Non Current,2513493889.5,457986777.6,614183257.8,569596000.0,
Non Current Deferred Liabilities,6769884141.9,7447735279.6,9478947294.6,6658675000.0,
Non Current Deferred Taxes Liabilities,6769884141.9,6601599272.4,7207652121.6,6658675000.0,
Long Term Debt And Capital Lease Obligation,115217656247.1,99111181677.2,90276769245.6,87382455000.0,
Long Term Capital Lease Obligation,8643049153.2,7224473520.0,7292330950.8,6778585000.0,
Long Term Debt,106574607093.9,91886708157.2,82984438294.8,80603870000.0,
Long Term Provisions,1339147613.1,1533383099.6,1339135350.0,1329419000.0,
Current Liabilities,72051153058.5,48031926272.0,55901299650.0,59809083000.0,
Other Current Liabilities,3838332719.1,3520385096.8,2737647406.2,3329047000.0,
Current Deferred Liabilities,6893594855.4,546446054.0,4356211259.4,6554327000.0,
Current Debt And Capital Lease Obligation,8063602140.0,5491890826.4,5795275453.8,13540173000.0,
Current Capital Lease Obligation,2074810692.9,1711369356.4,1812377586.6,1625889000.0,
Current Debt,5988791447.1,3780521470.0,3982897867.2,11914284000.0,
Other Current Borrowings,4102844334.6,3614624534.4,3434759231.4,11914284000.0,
Line Of Credit,636515262.9,165896935.6,548138635.8,1062911000.0,
Commercial Paper,1249431849.6,0.0,,,
Pensionand Other Post Retirement Benefit Plans Current,,,6251132000.0,6963119000.0,5677401000.0
Current Provisions,1735621443.6,958215808.0,921346272.0,1338422000.0,
Payables And Accrued Expenses,51520001900.4,37514988486.8,42090819258.6,41601441000.0,
Current Accrued Expenses,8874233355.9,6295478829.2,6335117531.4,6963119000.0,
Payables,42645768544.5,31219509657.6,35755701727.2,34638322000.0,
Dividends Payable,2216600538.9,1941280.0,185073.0,156000.0,
Total Tax Payable,2143295064.9,1102884846.8,1217029472.4,1732991000.0,
Income Tax Payable,1440316584.3,404014340.4,481559946.0,988897000.0,
Accounts Payable,38285872940.7,30114683530.8,34538487181.8,32905175000.0,
Total Assets,251472221975.7,206638743968.8,210906605065.8,207250884000.0,
Total Non Current Assets,145648934181.3,127840606625.6,130448910274.2,123336678000.0,
Other Non Current Assets,4864189053.9,4128631799.6,3787392037.8,3431057000.0,
Non Current Deferred Assets,4024866100.2,3760555405.2,3203772264.0,1738222000.0,
Non Current Deferred Taxes Assets,4024866100.2,3760555405.2,3203772264.0,1738222000.0,
Duefrom Related Parties Non Current,478123519.5,575366272.8,963796730.4,417702000.0,
Non Current Note Receivables,,,951021000.0,417702000.0,382019000.0
Non Current Accounts Receivable,9208366629.0,9040681702.8,10252504844.4,8308401000.0,
Financial Assets,0.0,397671208.0,124871397.0,246703000.0,
Investments And Advances,236802640.8,274695973.2,298797714.6,243190000.0,
Long Term Equity Investment,236802640.8,274695973.2,298797714.6,243190000.0,
Goodwill And Other Intangible Assets,44628156239.7,39265372718.0,41288104779.6,44568907000.0,
Other Intangible Assets,11145392699.1,9636489654.0,10467152509.8,12004359000.0,
Goodwill,33482763540.6,29628883064.0,30820952269.8,32564548000.0,
Net PPE,82686553517.7,70972997818.8,71493467236.8,64800198000.0,
Accumulated Depreciation,-61297858112.7,-47470008216.4,-44759012000.0,-42049087000.0,
Gross PPE,143984411630.4,70972997818.8,71493467236.8,64800198000.0,
Construction In Progress,7656806206.5,7943324650.8,11233841207.4,6805741000.0,
Other Properties,6200357473.2,1665458084.4,71493467236.8,64800198000.0,
Machinery Furniture Equipment,80129045439.3,31923859426.8,25060348920.6,59781542000.0,
Buildings And Improvements,43145673555.6,23476136846.8,19987688351.4,31900634000.0,
Land And Improvements,6852528955.8,5964218810.0,5587036602.0,5790198000.0,
