,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,7817579.0,8388521.0,22926200.0,3474900.0,
Ordinary Shares Number,1051732113.0,1051161170.0,1067423500.0,1084182000.0,
Share Issued,1059549692.0,1059549691.0,1090349700.0,1087656900.0,
Net Debt,,,,,1318198000.0
Total Debt,3576911000.0,4669167000.0,5315285000.0,6128138000.0,
Tangible Book Value,9159524000.0,8345020000.0,8448348000.0,8598981000.0,
Invested Capital,11718451000.0,11974121000.0,12492890000.0,13273723000.0,
Working Capital,4669102000.0,4699091000.0,6037826000.0,6030680000.0,
Net Tangible Assets,9159524000.0,8345020000.0,8448348000.0,8598981000.0,
Capital Lease Obligations,2631411000.0,2742267000.0,2909910000.0,2661036000.0,
Common Stock Equity,10772951000.0,10047221000.0,10087515000.0,9806621000.0,
Total Capitalization,10786691000.0,10883390000.0,11788715000.0,11187749000.0,
Total Equity Gross Minority Interest,10772951000.0,10047221000.0,10087515000.0,9806621000.0,
Stockholders Equity,10772951000.0,10047221000.0,10087515000.0,9806621000.0,
Treasury Stock,154377000.0,165652000.0,552812000.0,108620000.0,
Retained Earnings,0.0,0.0,0.0,,
Capital Stock,9540891000.0,9022277000.0,9022277000.0,8978349000.0,
Common Stock,9540891000.0,9022277000.0,9022277000.0,8978349000.0,
Total Liabilities Net Minority Interest,9591639000.0,10443417000.0,11061377000.0,11605364000.0,
Total Non Current Liabilities Net Minority Interest,1944082000.0,2950864000.0,4055798000.0,3651264000.0,
Other Non Current Liabilities,19091000.0,37964000.0,94350000.0,126694000.0,
Tradeand Other Payables Non Current,1824000.0,18354000.0,17304000.0,58992000.0,
Non Current Deferred Taxes Liabilities,5660000.0,0.0,3618000.0,3392000.0,
Long Term Debt And Capital Lease Obligation,1861301000.0,2845114000.0,3891281000.0,3376064000.0,
Long Term Capital Lease Obligation,1847561000.0,2008945000.0,2190081000.0,1994936000.0,
Long Term Debt,13740000.0,836169000.0,1701200000.0,1381128000.0,
Long Term Provisions,56206000.0,49432000.0,49245000.0,86122000.0,
Current Liabilities,7647557000.0,7492553000.0,7005579000.0,7954100000.0,
Other Current Liabilities,3000833000.0,3030287000.0,2993521000.0,2450558000.0,
Current Debt And Capital Lease Obligation,1715610000.0,1824053000.0,1424004000.0,2752074000.0,
Current Capital Lease Obligation,783850000.0,733322000.0,719829000.0,666100000.0,
Current Debt,931760000.0,1090731000.0,704175000.0,2085974000.0,
Pensionand Other Post Retirement Benefit Plans Current,411856000.0,254985000.0,235934000.0,398121000.0,
Current Provisions,90037000.0,96826000.0,85079000.0,66613000.0,
Payables,2429221000.0,2269519000.0,2260101000.0,2286419000.0,
Other Payable,76626000.0,68141000.0,69128000.0,62252000.0,
Total Tax Payable,545283000.0,411088000.0,566891000.0,516678000.0,
Accounts Payable,1807312000.0,1790290000.0,1624082000.0,1707489000.0,
Total Assets,20364590000.0,20490638000.0,21148892000.0,21411985000.0,
Total Non Current Assets,8047931000.0,8298994000.0,8105487000.0,7427205000.0,
Other Non Current Assets,97709000.0,107723000.0,225345000.0,125738000.0,
Non Current Deferred Taxes Assets,790229000.0,799610000.0,555595000.0,457537000.0,
Other Investments,56582000.0,25996000.0,10365000.0,,
Long Term Equity Investment,0.0,0.0,0.0,,
Investmentsin Subsidiariesat Cost,0.0,0.0,0.0,,
Goodwill And Other Intangible Assets,1613427000.0,1702201000.0,1639167000.0,1207640000.0,
Other Intangible Assets,1455038000.0,1488746000.0,1402914000.0,983677000.0,
Goodwill,158389000.0,213455000.0,236253000.0,223963000.0,
Net PPE,5152988000.0,5286353000.0,5440289000.0,5085047000.0,
Accumulated Depreciation,-3223463000.0,-2838382000.0,-2591256000.0,-2299195000.0,
Gross PPE,8376451000.0,8124735000.0,8031545000.0,7384242000.0,
Construction In Progress,78141000.0,86510000.0,897522000.0,779947000.0,
Other Properties,2329508000.0,2473652000.0,2686470000.0,2511153000.0,
Machinery Furniture Equipment,2997098000.0,2862171000.0,1987362000.0,1833970000.0,
Buildings And Improvements,2971416000.0,2702114000.0,2459903000.0,2258884000.0,
Land And Improvements,288000.0,288000.0,288000.0,288000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,12316659000.0,12191644000.0,13043405000.0,13984780000.0,
Other Current Assets,106514000.0,128011000.0,166091000.0,141084000.0,
Hedging Assets Current,27763000.0,222000.0,8204000.0,24364000.0,
Prepaid Assets,13296000.0,0.0,11516000.0,20438000.0,
Inventory,1916612000.0,1774209000.0,1825431000.0,1589122000.0,
Inventories Adjustments Allowances,-62334000.0,-77762000.0,-80177000.0,-43299000.0,
Other Inventories,423551000.0,272774000.0,265709000.0,288245000.0,
Finished Goods,1539141000.0,1565389000.0,1624770000.0,1331436000.0,
Raw Materials,16254000.0,13808000.0,15129000.0,12740000.0,
Other Receivables,,,,36211000.0,9218000.0
Taxes Receivable,578234000.0,546172000.0,1003849000.0,849389000.0,
Accounts Receivable,6902933000.0,6639188000.0,6524832000.0,5412881000.0,
Allowance For Doubtful Accounts Receivable,-979704000.0,-1257327000.0,-1219036000.0,-638692000.0,
Gross Accounts Receivable,7882637000.0,7896515000.0,7743868000.0,6051573000.0,
Cash Cash Equivalents And Short Term Investments,2771307000.0,3103842000.0,3503482000.0,5947502000.0,
Other Short Term Investments,845197000.0,571655000.0,655131000.0,458085000.0,
Cash And Cash Equivalents,1926110000.0,2532187000.0,2848351000.0,5489417000.0,
Cash Equivalents,1805159000.0,2332044000.0,2658773000.0,5190888000.0,
Cash Financial,120951000.0,200143000.0,189578000.0,298529000.0,
