,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,4550829.0,6228472.0,3048472.0,2748472.0,
Ordinary Shares Number,558335649.0,589535686.0,589461976.0,586833100.0,
Share Issued,562886478.0,595764158.0,592510448.0,589581572.0,
Total Debt,74427000.0,77429000.0,77291000.0,105890000.0,
Tangible Book Value,452925000.0,593998000.0,693122000.0,704465000.0,
Invested Capital,2745845000.0,2882206000.0,2976000000.0,2964107000.0,
Working Capital,204728000.0,508840000.0,1077805000.0,1463123000.0,
Net Tangible Assets,452925000.0,593998000.0,693122000.0,704465000.0,
Capital Lease Obligations,74425000.0,77369000.0,76870000.0,76849000.0,
Common Stock Equity,2745843000.0,2882146000.0,2975579000.0,2935066000.0,
Total Capitalization,2745843000.0,2882146000.0,2975620000.0,2935387000.0,
Total Equity Gross Minority Interest,2745843000.0,2882146000.0,2975579000.0,2935066000.0,
Stockholders Equity,2745843000.0,2882146000.0,2975579000.0,2935066000.0,
Other Equity Interest,100833000.0,87523000.0,73771000.0,,
Treasury Stock,215025000.0,63218000.0,47481000.0,45769000.0,
Retained Earnings,0.0,-71851000.0,0.0,,
Capital Stock,2868290000.0,2940141000.0,2934231000.0,2926775000.0,
Common Stock,2868290000.0,2940141000.0,2934231000.0,2926775000.0,
Total Liabilities Net Minority Interest,1264779000.0,1722242000.0,1751742000.0,1652598000.0,
Total Non Current Liabilities Net Minority Interest,134968000.0,280689000.0,638405000.0,963806000.0,
Other Non Current Liabilities,43935000.0,187603000.0,547645000.0,868109000.0,
Tradeand Other Payables Non Current,12918000.0,17241000.0,18600000.0,23629000.0,
Non Current Deferred Revenue,,,,1127000.0,0.0
Non Current Deferred Taxes Liabilities,10006000.0,6002000.0,3056000.0,1446000.0,
Long Term Debt And Capital Lease Obligation,59915000.0,63675000.0,65376000.0,67896000.0,
Long Term Capital Lease Obligation,59915000.0,63675000.0,65335000.0,67575000.0,
Long Term Debt,,0.0,41000.0,321000.0,27682000.0
Long Term Provisions,8194000.0,6168000.0,3728000.0,2726000.0,
Current Liabilities,1129811000.0,1441553000.0,1113337000.0,688792000.0,
Other Current Liabilities,256817000.0,601863000.0,316988000.0,47950000.0,
Current Debt And Capital Lease Obligation,14512000.0,13754000.0,11915000.0,37994000.0,
Current Capital Lease Obligation,14510000.0,13694000.0,11535000.0,9274000.0,
Current Debt,2000.0,60000.0,380000.0,28720000.0,
Pensionand Other Post Retirement Benefit Plans Current,68492000.0,78345000.0,58500000.0,43682000.0,
Payables,773878000.0,717570000.0,694104000.0,531116000.0,
Other Payable,714068000.0,654384000.0,628853000.0,475713000.0,
Total Tax Payable,19327000.0,17611000.0,13947000.0,13320000.0,
Accounts Payable,40483000.0,45575000.0,51304000.0,42083000.0,
Total Assets,4010622000.0,4604388000.0,4727321000.0,4587664000.0,
Total Non Current Assets,2676083000.0,2653995000.0,2536179000.0,2435749000.0,
Other Non Current Assets,11417000.0,8284000.0,6521000.0,4285000.0,
Non Current Deferred Taxes Assets,211166000.0,182807000.0,67411000.0,42048000.0,
Investmentin Financial Assets,15015000.0,16617000.0,13381000.0,0.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,15015000.0,16617000.0,13381000.0,0.0,
Long Term Equity Investment,0.0,0.0,0.0,0.0,
Investmentsin Subsidiariesat Cost,0.0,0.0,0.0,0.0,
Goodwill And Other Intangible Assets,2292918000.0,2288148000.0,2282457000.0,2230601000.0,
Other Intangible Assets,395782000.0,391034000.0,385368000.0,368880000.0,
Goodwill,1897136000.0,1897114000.0,1897089000.0,1861721000.0,
Net PPE,145038000.0,157641000.0,165346000.0,158311000.0,
Accumulated Depreciation,-375718000.0,-342757000.0,-323579000.0,-294524000.0,
Gross PPE,520756000.0,500398000.0,488925000.0,452835000.0,
Other Properties,58176000.0,51758000.0,112222000.0,111305000.0,
Machinery Furniture Equipment,408463000.0,386286000.0,376703000.0,341530000.0,
Buildings And Improvements,54117000.0,62354000.0,68830000.0,37129000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,1334539000.0,1950393000.0,2191142000.0,2151915000.0,
Other Current Assets,36038000.0,27315000.0,29357000.0,22003000.0,
Hedging Assets Current,,,0.0,8745000.0,19367000.0
Restricted Cash,96550000.0,0.0,0.0,1685000.0,
Taxes Receivable,42153000.0,27299000.0,40387000.0,31528000.0,
Accounts Receivable,712420000.0,707556000.0,673167000.0,503555000.0,
Allowance For Doubtful Accounts Receivable,-4525000.0,-5313000.0,-2322000.0,-2242000.0,
Gross Accounts Receivable,716945000.0,712869000.0,675489000.0,505797000.0,
Cash Cash Equivalents And Short Term Investments,447378000.0,1188223000.0,1448231000.0,1584399000.0,
Cash And Cash Equivalents,447378000.0,1188223000.0,1448231000.0,1584399000.0,
Cash Equivalents,398592000.0,1181406000.0,1439183000.0,1555895000.0,
Cash Financial,48786000.0,6817000.0,9048000.0,28504000.0,
