,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,1096048.0,1153611.0,1665300.0,1690000.0,
Ordinary Shares Number,83813327.0,83755764.0,83244075.0,84909375.0,
Share Issued,84909375.0,84909375.0,84909375.0,86599375.0,
Net Debt,180343000.0,81832000.0,122040000.0,10984000.0,
Total Debt,511412000.0,338945000.0,125408000.0,124865000.0,
Tangible Book Value,1535726000.0,1338654000.0,1179088000.0,1074497000.0,
Invested Capital,2051692000.0,1680298000.0,1307147000.0,1199481000.0,
Working Capital,1152723000.0,809526000.0,681927000.0,556504000.0,
Net Tangible Assets,1535726000.0,1338654000.0,1179088000.0,1074497000.0,
Common Stock Equity,1540280000.0,1341353000.0,1181739000.0,1074616000.0,
Total Capitalization,2051521000.0,1587248000.0,1289423000.0,1114286000.0,
Total Equity Gross Minority Interest,1536068000.0,1337581000.0,1178026000.0,1071763000.0,
Minority Interest,-4212000.0,-3772000.0,-3713000.0,-2853000.0,
Stockholders Equity,1540280000.0,1341353000.0,1181739000.0,1074616000.0,
Other Equity Interest,92973000.0,92973000.0,96861000.0,96861000.0,
Retained Earnings,0.0,-78766000.0,-238492000.0,-344409000.0,
Capital Stock,1298701000.0,1301890000.0,1297937000.0,1296985000.0,
Common Stock,1298701000.0,1301890000.0,1297937000.0,1296985000.0,
Total Liabilities Net Minority Interest,2612101000.0,2100644000.0,1641228000.0,1621764000.0,
Total Non Current Liabilities Net Minority Interest,1824880000.0,1516291000.0,1258392000.0,958436000.0,
Non Current Accrued Expenses,0.0,44000.0,1384000.0,4598000.0,
Tradeand Other Payables Non Current,89941000.0,104484000.0,62979000.0,59965000.0,
Non Current Deferred Revenue,1152309000.0,1113903000.0,1051291000.0,818840000.0,
Non Current Deferred Taxes Liabilities,38484000.0,30920000.0,22252000.0,20430000.0,
Long Term Debt And Capital Lease Obligation,511241000.0,245895000.0,107684000.0,39670000.0,
Long Term Debt,511241000.0,245895000.0,107684000.0,39670000.0,
Long Term Provisions,32905000.0,21045000.0,12802000.0,14933000.0,
Current Liabilities,787221000.0,584353000.0,382836000.0,663328000.0,
Other Current Liabilities,20849000.0,15871000.0,17645000.0,28031000.0,
Current Deferred Taxes Liabilities,27621000.0,18899000.0,16163000.0,14881000.0,
Current Debt And Capital Lease Obligation,171000.0,93050000.0,17724000.0,85195000.0,
Current Debt,171000.0,93050000.0,17724000.0,85195000.0,
Pensionand Other Post Retirement Benefit Plans Current,,,,,18199000.0
Current Provisions,5250000.0,17541000.0,12455000.0,9098000.0,
Payables,238313000.0,163795000.0,114816000.0,129732000.0,
Other Payable,31989000.0,28650000.0,29282000.0,40401000.0,
Dividends Payable,,,,,0.0
Total Tax Payable,22232000.0,14173000.0,19332000.0,15768000.0,
Accounts Payable,184092000.0,120972000.0,66202000.0,73563000.0,
Total Assets,4148169000.0,3438225000.0,2819254000.0,2693527000.0,
Total Non Current Assets,2208225000.0,2044346000.0,1754491000.0,1473695000.0,
Other Non Current Assets,477349000.0,450146000.0,543505000.0,421393000.0,
Non Current Prepaid Assets,9960000.0,13300000.0,16523000.0,7666000.0,
Non Current Deferred Taxes Assets,,,,,0.0
Investmentin Financial Assets,,,,0.0,60497000.0
Available For Sale Securities,,,,,60497000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,,,,60497000.0
Long Term Equity Investment,85201000.0,85998000.0,93463000.0,118267000.0,
Investmentsin Associatesat Cost,85201000.0,85998000.0,93463000.0,118267000.0,
Investment Properties,208687000.0,208687000.0,213182000.0,213182000.0,
Goodwill And Other Intangible Assets,4554000.0,2699000.0,2651000.0,119000.0,
Net PPE,71272000.0,56405000.0,32621000.0,19856000.0,
Current Assets,1939944000.0,1393879000.0,1064763000.0,1219832000.0,
Current Deferred Taxes Assets,,,,,331000.0
Restricted Cash,73540000.0,45254000.0,60323000.0,68880000.0,
Prepaid Assets,21218000.0,15670000.0,11493000.0,7350000.0,
Inventory,541385000.0,618586000.0,391808000.0,712595000.0,
Finished Goods,541385000.0,618586000.0,391808000.0,712595000.0,
Other Receivables,303950000.0,78125000.0,82426000.0,356000.0,
Taxes Receivable,8820000.0,8418000.0,9051000.0,5847000.0,
Accounts Receivable,659962000.0,370713000.0,315908000.0,308798000.0,
Cash Cash Equivalents And Short Term Investments,331069000.0,257113000.0,193754000.0,116006000.0,
Other Short Term Investments,,,3580000.0,2125000.0,8573000.0
Cash And Cash Equivalents,331069000.0,257113000.0,190174000.0,113881000.0,
Cash Equivalents,314349000.0,243215000.0,186806000.0,106682000.0,
Cash Financial,16720000.0,13898000.0,3368000.0,7199000.0,
