,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,5783212.0,,5783212.0,5783212.0,5783212.0
Share Issued,5783212.0,,5783212.0,5783212.0,5783212.0
Net Debt,620470000.0,,680179000.0,708330000.0,701954000.0
Total Debt,634819000.0,,696505000.0,745499000.0,734360000.0
Tangible Book Value,-604000.0,,6670000.0,-252102000.0,-401637000.0
Invested Capital,633619000.0,,700896000.0,490576000.0,328423000.0
Working Capital,126230000.0,,204743000.0,193414000.0,159921000.0
Net Tangible Assets,-604000.0,,6670000.0,-252102000.0,-401637000.0
Capital Lease Obligations,1753000.0,,2834000.0,3689000.0,5104000.0
Common Stock Equity,553000.0,,7225000.0,-251234000.0,-400833000.0
Total Capitalization,527747000.0,,626308000.0,440488000.0,303418000.0
Total Equity Gross Minority Interest,553000.0,,7225000.0,-251234000.0,-400833000.0
Stockholders Equity,553000.0,,7225000.0,-251234000.0,-400833000.0
Other Equity Interest,1606000.0,,750000.0,1015000.0,746000.0
Fixed Assets Revaluation Reserve,8100000.0,,,,
Retained Earnings,-202747000.0,,-188480000.0,-445277000.0,-582315000.0
Capital Stock,171273000.0,,171273000.0,171273000.0,171273000.0
Common Stock,171273000.0,,171273000.0,171273000.0,171273000.0
Total Liabilities Net Minority Interest,738979000.0,,792583000.0,841571000.0,798851000.0
Total Non Current Liabilities Net Minority Interest,541767000.0,,630232000.0,709166000.0,721327000.0
Tradeand Other Payables Non Current,8549000.0,,3099000.0,7344000.0,4005000.0
Long Term Debt And Capital Lease Obligation,528400000.0,,621213000.0,694360000.0,708396000.0
Long Term Capital Lease Obligation,1206000.0,,2130000.0,2638000.0,4145000.0
Long Term Debt,527194000.0,,619083000.0,691722000.0,704251000.0
Long Term Provisions,4818000.0,,5920000.0,7462000.0,8926000.0
Current Liabilities,197212000.0,,162351000.0,132405000.0,77524000.0
Current Debt And Capital Lease Obligation,106419000.0,,75292000.0,51139000.0,25964000.0
Current Capital Lease Obligation,547000.0,,704000.0,1051000.0,959000.0
Current Debt,105872000.0,,74588000.0,50088000.0,25005000.0
Pensionand Other Post Retirement Benefit Plans Current,17257000.0,15913000.0,13983000.0,14587000.0,
Current Provisions,,,,,3180000.0
Payables,65985000.0,49172000.0,69342000.0,66619000.0,
Other Payable,15004000.0,12801000.0,28165000.0,13897000.0,
Total Tax Payable,5155000.0,,5050000.0,3907000.0,3293000.0
Accounts Payable,45826000.0,,36127000.0,48815000.0,17986000.0
Total Assets,739532000.0,,799808000.0,590337000.0,398018000.0
Total Non Current Assets,416090000.0,,432714000.0,264518000.0,160573000.0
Other Non Current Assets,236000.0,,370000.0,352000.0,339000.0
Non Current Deferred Taxes Assets,203149000.0,,184558000.0,0.0,
Investmentin Financial Assets,18908000.0,0.0,,,
Goodwill And Other Intangible Assets,1157000.0,,555000.0,868000.0,804000.0
Other Intangible Assets,,,555000.0,868000.0,804000.0
Net PPE,158868000.0,,161495000.0,149549000.0,145076000.0
Accumulated Depreciation,-338306000.0,,-311361000.0,-291993000.0,-275072000.0
Gross PPE,497174000.0,,472856000.0,441542000.0,420148000.0
Construction In Progress,30368000.0,,32039000.0,16978000.0,13044000.0
Other Properties,4112000.0,4054000.0,6554000.0,356490000.0,
Machinery Furniture Equipment,402714000.0,392333000.0,375925000.0,10991000.0,
Buildings And Improvements,55901000.0,,54259000.0,52567000.0,51851000.0
Land And Improvements,4079000.0,,4079000.0,4516000.0,4516000.0
Properties,0.0,,0.0,0.0,0.0
Current Assets,323442000.0,,367094000.0,325819000.0,237445000.0
Other Current Assets,12862000.0,,27419000.0,25289000.0,15439000.0
Assets Held For Sale Current,,,,0.0,0.0
Inventory,125615000.0,,124876000.0,139780000.0,68053000.0
Inventories Adjustments Allowances,-7440000.0,-6663000.0,,,
Other Inventories,,,,,8321000.0
Finished Goods,22493000.0,34194000.0,33684000.0,20790000.0,
Work In Process,40665000.0,38315000.0,20429000.0,34797000.0,
Raw Materials,69897000.0,52686000.0,70763000.0,84193000.0,
Other Receivables,,,,,504000.0
Taxes Receivable,24289000.0,,45636000.0,34591000.0,22735000.0
Accounts Receivable,105508000.0,,98011000.0,67170000.0,67208000.0
Allowance For Doubtful Accounts Receivable,-9208000.0,,-5000.0,-632000.0,-107000.0
Gross Accounts Receivable,114716000.0,,98016000.0,67802000.0,67315000.0
Cash Cash Equivalents And Short Term Investments,55168000.0,,71152000.0,58989000.0,63506000.0
Other Short Term Investments,42572000.0,,57660000.0,25509000.0,36204000.0
Cash And Cash Equivalents,12596000.0,,13492000.0,33480000.0,27302000.0
Cash Equivalents,8840000.0,,,,
Cash Financial,3756000.0,,13492000.0,33480000.0,27302000.0
