,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,5189833.0,4521816.0,653095.0,986406.0,
Ordinary Shares Number,357112253.0,357780270.0,361648991.0,361315680.0,
Share Issued,362302086.0,362302086.0,362302086.0,362302086.0,
Net Debt,19194884000.0,14684578000.0,16720627000.0,14166489000.0,
Total Debt,20521854000.0,15361739000.0,17765581000.0,14765667000.0,
Tangible Book Value,2150329000.0,2185826000.0,2480891000.0,3109976000.0,
Invested Capital,22365271000.0,17340109000.0,20041075000.0,17596991000.0,
Working Capital,-2301711000.0,-2025700000.0,3544226000.0,5396314000.0,
Net Tangible Assets,2150329000.0,2185826000.0,2480891000.0,3109976000.0,
Capital Lease Obligations,649075000.0,543767000.0,493189000.0,453148000.0,
Common Stock Equity,2492492000.0,2522137000.0,2768683000.0,3284472000.0,
Total Capitalization,20192505000.0,16203724000.0,18113275000.0,16979672000.0,
Total Equity Gross Minority Interest,2492492000.0,2522137000.0,2768683000.0,3284472000.0,
Stockholders Equity,2492492000.0,2522137000.0,2768683000.0,3284472000.0,
Other Equity Interest,-618961000.0,-421259000.0,-861810000.0,-269184000.0,
Treasury Stock,50803000.0,50667000.0,14419000.0,12639000.0,
Capital Stock,2590776000.0,2590776000.0,2590776000.0,2590702000.0,
Common Stock,2590776000.0,2590776000.0,2590776000.0,2590702000.0,
Total Liabilities Net Minority Interest,28081365000.0,22597356000.0,23480197000.0,18430833000.0,
Total Non Current Liabilities Net Minority Interest,18828780000.0,15142331000.0,17584171000.0,14680188000.0,
Other Non Current Liabilities,56072000.0,171452000.0,348106000.0,1000.0,
Derivative Product Liabilities,280859000.0,134859000.0,908807000.0,102146000.0,
Tradeand Other Payables Non Current,43332000.0,25648000.0,25468000.0,14999000.0,
Non Current Deferred Taxes Liabilities,319118000.0,780220000.0,611603000.0,550758000.0,
Long Term Debt And Capital Lease Obligation,18114908000.0,14017987000.0,15680660000.0,14007573000.0,
Long Term Capital Lease Obligation,414895000.0,336400000.0,336068000.0,312373000.0,
Long Term Debt,17700013000.0,13681587000.0,15344592000.0,13695200000.0,
Long Term Provisions,14491000.0,12165000.0,9527000.0,4712000.0,
Current Liabilities,9252585000.0,7455025000.0,5896026000.0,3750645000.0,
Other Current Liabilities,816439000.0,810009000.0,426364000.0,-1000.0,
Current Debt And Capital Lease Obligation,2406946000.0,1343752000.0,2084921000.0,758094000.0,
Current Capital Lease Obligation,234180000.0,207367000.0,157121000.0,140775000.0,
Current Debt,2172766000.0,1136385000.0,1927800000.0,617319000.0,
Pensionand Other Post Retirement Benefit Plans Current,81537000.0,141781000.0,91921000.0,57526000.0,
Payables,5679692000.0,5062362000.0,2731170000.0,2654699000.0,
Other Payable,172772000.0,239173000.0,263730000.0,181225000.0,
Dividends Payable,55050000.0,0.0,138200000.0,130121000.0,
Total Tax Payable,133709000.0,71861000.0,64333000.0,26601000.0,
Accounts Payable,5318161000.0,4751328000.0,2264907000.0,2316752000.0,
Total Assets,30573857000.0,25119493000.0,26248880000.0,21715305000.0,
Total Non Current Assets,23622983000.0,19690168000.0,16808628000.0,12568346000.0,
Other Non Current Assets,25752000.0,24964000.0,19598000.0,,
Non Current Prepaid Assets,0.0,4851000.0,4851000.0,4851000.0,
Non Current Deferred Taxes Assets,63188000.0,513945000.0,311237000.0,154427000.0,
Financial Assets,1032263000.0,2440000.0,85439000.0,38781000.0,
Other Investments,562000.0,1142000.0,1102000.0,1191000.0,
Investmentin Financial Assets,,,,,40375000.0
Trading Securities,,,,,40375000.0
Goodwill And Other Intangible Assets,342163000.0,336311000.0,287792000.0,174496000.0,
Other Intangible Assets,231487000.0,225635000.0,247374000.0,161493000.0,
Goodwill,110676000.0,110676000.0,40418000.0,13551000.0,
Net PPE,21912952000.0,18637281000.0,15842198000.0,12140029000.0,
Accumulated Depreciation,-2446014000.0,-1893773000.0,-1341375000.0,-744179000.0,
Gross PPE,24358966000.0,20531054000.0,17183573000.0,12884208000.0,
Construction In Progress,120672000.0,80070000.0,81579000.0,26633000.0,
Other Properties,,,,,268695000.0
Machinery Furniture Equipment,22830679000.0,19324568000.0,16261586000.0,12232144000.0,
Buildings And Improvements,1391064000.0,1112273000.0,839265000.0,625431000.0,
Land And Improvements,16551000.0,14143000.0,1143000.0,,
Properties,0.0,0.0,0.0,0.0,
Current Assets,6950874000.0,5429325000.0,9440252000.0,9146959000.0,
Other Current Assets,111958000.0,83758000.0,69301000.0,,
Assets Held For Sale Current,705821000.0,617403000.0,1195478000.0,306031000.0,
Prepaid Assets,243243000.0,228626000.0,151503000.0,74712000.0,
Other Receivables,,,69301000.0,65347000.0,14928000.0
Taxes Receivable,156839000.0,157114000.0,22581000.0,34531000.0,
Accounts Receivable,1441650000.0,1343672000.0,1173853000.0,879885000.0,
Cash Cash Equivalents And Short Term Investments,4291363000.0,2998752000.0,6827536000.0,7786453000.0,
Other Short Term Investments,3613468000.0,2865358000.0,6275771000.0,7640423000.0,
Cash And Cash Equivalents,677895000.0,133394000.0,551765000.0,146030000.0,
Cash Equivalents,561809000.0,80127000.0,485778000.0,110142000.0,
Cash Financial,116086000.0,53267000.0,65987000.0,35888000.0,
