,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,6923843.0,2867443.0,311960.0,27550851.0,
Ordinary Shares Number,879076157.0,929132557.0,663451421.0,667761317.0,
Share Issued,886000000.0,932000000.0,663763381.0,695312168.0,
Net Debt,56866753000.0,45385316000.0,55703664000.0,28746181000.0,
Total Debt,66279640000.0,56084089000.0,65710550000.0,31148125000.0,
Tangible Book Value,-16303589000.0,-10920650000.0,-14842564000.0,-4014226000.0,
Invested Capital,64207584000.0,59476852000.0,67677312000.0,34422583000.0,
Working Capital,11968891000.0,9929927000.0,10177498000.0,2466643000.0,
Net Tangible Assets,-16303589000.0,-10920650000.0,-14842564000.0,-4014226000.0,
Capital Lease Obligations,4896200000.0,4238561000.0,3603098000.0,642462000.0,
Common Stock Equity,2824144000.0,7631324000.0,5569860000.0,3916920000.0,
Total Capitalization,55634080000.0,51770741000.0,54047127000.0,27502227000.0,
Total Equity Gross Minority Interest,19938112000.0,24889835000.0,26449609000.0,5571723000.0,
Minority Interest,17113968000.0,17258511000.0,20879749000.0,1654803000.0,
Stockholders Equity,2824144000.0,7631324000.0,5569860000.0,3916920000.0,
Other Equity Interest,,,,383150000.0,70542000.0
Treasury Stock,1703767000.0,1142797000.0,929644000.0,850875000.0,
Retained Earnings,,,,,0.0
Capital Stock,10367391000.0,10367391000.0,8204391000.0,8204391000.0,
Common Stock,10367391000.0,10367391000.0,8204391000.0,8204391000.0,
Total Liabilities Net Minority Interest,117572027000.0,106064801000.0,109654714000.0,42431535000.0,
Total Non Current Liabilities Net Minority Interest,74606252000.0,63893928000.0,69234134000.0,25383873000.0,
Derivative Product Liabilities,1415527000.0,94247000.0,183068000.0,99241000.0,
Non Current Accrued Expenses,467127000.0,454398000.0,456944000.0,0.0,
Tradeand Other Payables Non Current,858566000.0,1032459000.0,753902000.0,819807000.0,
Non Current Deferred Taxes Liabilities,8755947000.0,9553512000.0,10719659000.0,117279000.0,
Long Term Debt And Capital Lease Obligation,56501670000.0,47297680000.0,51260818000.0,24066737000.0,
Long Term Capital Lease Obligation,3691734000.0,3158263000.0,2783551000.0,481430000.0,
Long Term Debt,52809936000.0,44139417000.0,48477267000.0,23585307000.0,
Long Term Provisions,6607415000.0,5461632000.0,5859743000.0,280809000.0,
Current Liabilities,42965775000.0,42170873000.0,40420580000.0,17047662000.0,
Other Current Liabilities,,1500000000.0,,,
Current Debt And Capital Lease Obligation,9777970000.0,8786409000.0,14449732000.0,7081388000.0,
Current Capital Lease Obligation,1204466000.0,1080298000.0,819547000.0,161032000.0,
Current Debt,8573504000.0,7706111000.0,13630185000.0,6920356000.0,
Pensionand Other Post Retirement Benefit Plans Current,,,,1930997000.0,1023047000.0
Current Provisions,784296000.0,720187000.0,867294000.0,,
Payables,22744267000.0,18200698000.0,20366899000.0,5540115000.0,
Other Payable,1242969000.0,729346000.0,868262000.0,405669000.0,
Dividends Payable,2792000.0,810000.0,756000.0,357311000.0,
Total Tax Payable,1236661000.0,763562000.0,673199000.0,950421000.0,
Accounts Payable,20261845000.0,16706980000.0,18824682000.0,3826714000.0,
Total Assets,137510139000.0,130954636000.0,136104323000.0,48003258000.0,
Total Non Current Assets,82575473000.0,78853836000.0,85506245000.0,28488953000.0,
Non Current Deferred Taxes Assets,4476955000.0,2586765000.0,3011971000.0,885048000.0,
Financial Assets,251582000.0,625851000.0,74118000.0,0.0,
Other Investments,224843000.0,654638000.0,701933000.0,242199000.0,
Investmentin Financial Assets,323811000.0,319995000.0,406402000.0,6098021000.0,
Long Term Equity Investment,0.0,0.0,0.0,0.0,
Investmentsin Associatesat Cost,,,406402000.0,6098021000.0,
Investment Properties,116794000.0,115165000.0,111329000.0,104923000.0,
Goodwill And Other Intangible Assets,19127733000.0,18551974000.0,20412424000.0,7931146000.0,
Other Intangible Assets,17723549000.0,17429270000.0,18625854000.0,6038516000.0,
Goodwill,1404184000.0,1122704000.0,1786570000.0,1892630000.0,
Net PPE,45295475000.0,44277894000.0,49247193000.0,9792535000.0,
Accumulated Depreciation,-25207460000.0,-19609683000.0,-18571364000.0,-5809549000.0,
Gross PPE,70502935000.0,63887577000.0,67818557000.0,15602084000.0,
Construction In Progress,2091946000.0,2111757000.0,2932777000.0,1217133000.0,
Other Properties,2920651000.0,2324406000.0,2523344000.0,1801822000.0,
Machinery Furniture Equipment,39418889000.0,35348600000.0,35452471000.0,5960555000.0,
Properties,26071449000.0,24102814000.0,26909965000.0,6622574000.0,
Current Assets,54934666000.0,52100800000.0,50598078000.0,19514305000.0,
Hedging Assets Current,84969000.0,126921000.0,131127000.0,25658000.0,
Assets Held For Sale Current,1422058000.0,5099203000.0,0.0,,
Restricted Cash,276025000.0,13814000.0,0.0,,
Prepaid Assets,3165232000.0,1215927000.0,1397869000.0,477221000.0,
Inventory,14409359000.0,12869802000.0,16052718000.0,4415444000.0,
Inventories Adjustments Allowances,-151386000.0,-203612000.0,-368108000.0,-35253000.0,
Other Inventories,2926421000.0,2756684000.0,3200633000.0,64162000.0,
Finished Goods,6808523000.0,6082922000.0,8185925000.0,3507763000.0,
Work In Process,545729000.0,482182000.0,550095000.0,0.0,
Raw Materials,4280072000.0,3751626000.0,4484173000.0,878772000.0,
Other Receivables,646369000.0,762490000.0,534714000.0,417136000.0,
Taxes Receivable,3235325000.0,2920641000.0,3261989000.0,1937212000.0,
Accounts Receivable,9175814000.0,7213646000.0,6727128000.0,3841374000.0,
Allowance For Doubtful Accounts Receivable,,,,-57030000.0,-57851000.0
Gross Accounts Receivable,,,,3898404000.0,2570883000.0
Cash Cash Equivalents And Short Term Investments,22519515000.0,21878356000.0,22492533000.0,8400260000.0,
Other Short Term Investments,18002828000.0,15418144000.0,16088745000.0,6640778000.0,
Cash And Cash Equivalents,4516687000.0,6460212000.0,6403788000.0,1759482000.0,
Cash Equivalents,1195462000.0,874030000.0,2209717000.0,358818000.0,
Cash Financial,3321225000.0,5586182000.0,4194071000.0,1400664000.0,
