,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,1348.0,1348.0,1348.0,1348.0,
Ordinary Shares Number,562825323.0,561969209.0,483231441.0,482873685.0,
Share Issued,562826671.0,561970557.0,483232789.0,482875033.0,
Net Debt,9366055000.0,7440504000.0,6695414000.0,4280269000.0,
Total Debt,9780618000.0,7847271000.0,7429176000.0,5232777000.0,
Tangible Book Value,6250709000.0,6565349000.0,5646361000.0,5942162000.0,
Invested Capital,16213207000.0,6745355000.0,5827443000.0,6119506000.0,
Working Capital,5553259000.0,6035642000.0,5239740000.0,5534958000.0,
Net Tangible Assets,6250709000.0,6565349000.0,5646361000.0,5942162000.0,
Capital Lease Obligations,,0.0,14000.0,4580000.0,
Common Stock Equity,6432589000.0,6745355000.0,5827443000.0,6119506000.0,
Total Capitalization,13035441000.0,6745355000.0,5827443000.0,6119506000.0,
Total Equity Gross Minority Interest,7470423000.0,7564642000.0,6574308000.0,6599498000.0,
Minority Interest,1037834000.0,819287000.0,746865000.0,479992000.0,
Stockholders Equity,6432589000.0,6745355000.0,5827443000.0,6119506000.0,
Other Equity Interest,173548000.0,-33423000.0,-24692000.0,73977000.0,
Fixed Assets Revaluation Reserve,,,,,83609000.0
Treasury Stock,388000.0,388000.0,388000.0,388000.0,
Capital Stock,5620947000.0,5616600000.0,4615408000.0,4615171000.0,
Common Stock,5620947000.0,5616600000.0,4615408000.0,4615171000.0,
Total Liabilities Net Minority Interest,21960264000.0,17507060000.0,16027021000.0,13625461000.0,
Total Non Current Liabilities Net Minority Interest,13818434000.0,11880842000.0,10963289000.0,9578030000.0,
Other Non Current Liabilities,4000404000.0,2257081000.0,561316000.0,288747000.0,
Liabilities Heldfor Sale Non Current,,,,131142000.0,
Derivative Product Liabilities,148593000.0,43233000.0,162936000.0,105156000.0,
Tradeand Other Payables Non Current,2470135000.0,2534754000.0,3351522000.0,4050934000.0,
Non Current Deferred Revenue,158309000.0,158462000.0,253542000.0,328848000.0,
Non Current Deferred Taxes Liabilities,96710000.0,96867000.0,92230000.0,176513000.0,
Long Term Debt And Capital Lease Obligation,6602852000.0,6481636000.0,6280944000.0,4372960000.0,
Long Term Capital Lease Obligation,,0.0,0.0,13000.0,
Long Term Debt,6602852000.0,6481636000.0,6280944000.0,4372947000.0,
Long Term Provisions,341431000.0,308809000.0,260799000.0,254872000.0,
Current Liabilities,8141830000.0,5626218000.0,5063732000.0,4047431000.0,
Other Current Liabilities,1252873000.0,873493000.0,669606000.0,375103000.0,
Current Deferred Taxes Liabilities,83044000.0,66325000.0,84825000.0,79056000.0,
Current Debt And Capital Lease Obligation,3177766000.0,1365635000.0,1148232000.0,859817000.0,
Current Capital Lease Obligation,,0.0,14000.0,4567000.0,
