,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,640674.0,1605370.0,400.0,,
Ordinary Shares Number,1213156574.0,1212191878.0,1213796848.0,1213797248.0,
Share Issued,1213797248.0,1213797248.0,1213797248.0,1213797248.0,
Net Debt,44870000000.0,38435000000.0,36701000000.0,33078000000.0,
Total Debt,52843000000.0,46093000000.0,43709000000.0,38769000000.0,
Tangible Book Value,20069000000.0,15967000000.0,14133000000.0,11085000000.0,
Invested Capital,85238000000.0,75749000000.0,70242000000.0,62509000000.0,
Working Capital,4425000000.0,1426000000.0,2375000000.0,1043000000.0,
Net Tangible Assets,20069000000.0,15967000000.0,14133000000.0,11085000000.0,
Capital Lease Obligations,243000000.0,210000000.0,206000000.0,146000000.0,
Common Stock Equity,32638000000.0,29866000000.0,26739000000.0,23886000000.0,
Total Capitalization,77736000000.0,66798000000.0,62953000000.0,54569000000.0,
Total Equity Gross Minority Interest,32747000000.0,30076000000.0,26937000000.0,24238000000.0,
Minority Interest,109000000.0,210000000.0,198000000.0,352000000.0,
Stockholders Equity,32638000000.0,29866000000.0,26739000000.0,23886000000.0,
Retained Earnings,247000000.0,247000000.0,247000000.0,247000000.0,
Capital Stock,16920000000.0,16920000000.0,12920000000.0,12920000000.0,
Common Stock,16920000000.0,16920000000.0,12920000000.0,12920000000.0,
Total Liabilities Net Minority Interest,76794000000.0,69036000000.0,65381000000.0,61562000000.0,
Total Non Current Liabilities Net Minority Interest,56324000000.0,47337000000.0,46965000000.0,41622000000.0,
Other Non Current Liabilities,361000000.0,345000000.0,269000000.0,304000000.0,
Derivative Product Liabilities,470000000.0,1319000000.0,951000000.0,197000000.0,
Non Current Accrued Expenses,,953000000.0,744000000.0,789000000.0,1009000000.0
Tradeand Other Payables Non Current,4762000000.0,3977000000.0,5508000000.0,6621000000.0,
Non Current Deferred Taxes Liabilities,2486000000.0,1871000000.0,1524000000.0,1766000000.0,
Long Term Debt And Capital Lease Obligation,45268000000.0,37089000000.0,36372000000.0,30791000000.0,
Long Term Capital Lease Obligation,170000000.0,157000000.0,158000000.0,108000000.0,
Long Term Debt,45098000000.0,36932000000.0,36214000000.0,30683000000.0,
Long Term Provisions,1855000000.0,1809000000.0,1639000000.0,1601000000.0,
Current Liabilities,20470000000.0,21699000000.0,18416000000.0,19940000000.0,
Other Current Liabilities,1851000000.0,1247000000.0,1236000000.0,1349000000.0,
Current Debt And Capital Lease Obligation,7575000000.0,9004000000.0,7337000000.0,7978000000.0,
Current Capital Lease Obligation,73000000.0,53000000.0,48000000.0,38000000.0,
Current Debt,7502000000.0,8951000000.0,7289000000.0,7940000000.0,
Current Provisions,621000000.0,378000000.0,378000000.0,256000000.0,
Payables,7697000000.0,9248000000.0,8899000000.0,10223000000.0,
Other Payable,807000000.0,854000000.0,806000000.0,661000000.0,
Dividends Payable,729000000.0,773000000.0,1001000000.0,805000000.0,
Total Tax Payable,2062000000.0,3138000000.0,2805000000.0,3219000000.0,
Accounts Payable,4099000000.0,4483000000.0,4287000000.0,5538000000.0,
Total Assets,109541000000.0,99112000000.0,92318000000.0,85800000000.0,
Total Non Current Assets,84646000000.0,75987000000.0,71527000000.0,64817000000.0,
Other Non Current Assets,87000000.0,95000000.0,102000000.0,94000000.0,
Non Current Deferred Taxes Assets,1087000000.0,885000000.0,611000000.0,727000000.0,
Financial Assets,911000000.0,347000000.0,774000000.0,1463000000.0,
Investmentin Financial Assets,34365000000.0,28626000000.0,23907000000.0,19255000000.0,
Available For Sale Securities,34365000000.0,28626000000.0,23907000000.0,19255000000.0,
Long Term Equity Investment,1837000000.0,1984000000.0,1156000000.0,1997000000.0,
Goodwill And Other Intangible Assets,12569000000.0,13899000000.0,12606000000.0,12801000000.0,
Other Intangible Assets,11323000000.0,12539000000.0,11935000000.0,12130000000.0,
Goodwill,1246000000.0,1360000000.0,671000000.0,671000000.0,
Net PPE,10696000000.0,12665000000.0,11028000000.0,9698000000.0,
Accumulated Depreciation,-3117000000.0,-2911000000.0,-2193000000.0,-2061000000.0,
Gross PPE,13813000000.0,15576000000.0,13221000000.0,9698000000.0,
Construction In Progress,521000000.0,650000000.0,1412000000.0,2481000000.0,
Other Properties,8223000000.0,7864000000.0,6282000000.0,9698000000.0,
Machinery Furniture Equipment,,,,,1323000000.0
Properties,5069000000.0,7062000000.0,5527000000.0,5422000000.0,
Current Assets,24895000000.0,23125000000.0,20791000000.0,20983000000.0,
Other Current Assets,1468000000.0,1432000000.0,1037000000.0,871000000.0,
Hedging Assets Current,777000000.0,284000000.0,183000000.0,738000000.0,
Assets Held For Sale Current,2592000000.0,1048000000.0,933000000.0,0.0,
Other Receivables,919000000.0,749000000.0,764000000.0,517000000.0,
Taxes Receivable,1650000000.0,2500000000.0,2916000000.0,2933000000.0,
Accounts Receivable,9663000000.0,9266000000.0,7805000000.0,8626000000.0,
Cash Cash Equivalents And Short Term Investments,7826000000.0,7846000000.0,7153000000.0,7298000000.0,
Other Short Term Investments,96000000.0,398000000.0,351000000.0,1753000000.0,
Cash And Cash Equivalents,7730000000.0,7448000000.0,6802000000.0,5545000000.0,
Cash Equivalents,7363000000.0,7007000000.0,6454000000.0,5249000000.0,
Cash Financial,367000000.0,441000000.0,348000000.0,296000000.0,
