,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,253692.0,405545.0,405545.0,77075.0,
Ordinary Shares Number,8887255.0,9140947.0,9140947.0,9469417.0,
Share Issued,9140947.0,9546492.0,9546492.0,9546492.0,
Net Debt,,,53651000.0,74733000.0,6054000.0
Total Debt,18009000.0,71608000.0,132782000.0,177830000.0,
Tangible Book Value,100917000.0,101241000.0,135134000.0,94392000.0,
Invested Capital,461414000.0,540164000.0,606375000.0,639072000.0,
Working Capital,144390000.0,183011000.0,199041000.0,248516000.0,
Net Tangible Assets,100917000.0,101241000.0,135134000.0,94392000.0,
Capital Lease Obligations,9569000.0,10948000.0,9372000.0,6641000.0,
Common Stock Equity,452974000.0,479504000.0,482965000.0,467883000.0,
Total Capitalization,459372000.0,523198000.0,545930000.0,571242000.0,
Total Equity Gross Minority Interest,452974000.0,479504000.0,482445000.0,467868000.0,
Minority Interest,0.0,0.0,-520000.0,-15000.0,
Stockholders Equity,452974000.0,479504000.0,482965000.0,467883000.0,
Other Equity Interest,-24349000.0,-24240000.0,-24142000.0,-40266000.0,
Treasury Stock,7186000.0,21269000.0,21269000.0,1571000.0,
Additional Paid In Capital,-25361000.0,-25361000.0,-16016000.0,,
Capital Stock,469908000.0,469908000.0,469908000.0,469908000.0,
Common Stock,469908000.0,469908000.0,469908000.0,469908000.0,
Total Liabilities Net Minority Interest,153904000.0,179510000.0,228005000.0,301899000.0,
Total Non Current Liabilities Net Minority Interest,76376000.0,104679000.0,106437000.0,174026000.0,
Tradeand Other Payables Non Current,17669000.0,3175000.0,,204000.0,
Non Current Deferred Revenue,0.0,144000.0,0.0,66419000.0,
Non Current Deferred Taxes Liabilities,45930000.0,50619000.0,36532000.0,66419000.0,
Long Term Debt And Capital Lease Obligation,11491000.0,49104000.0,66994000.0,106933000.0,
Long Term Capital Lease Obligation,5093000.0,5410000.0,4029000.0,3574000.0,
Long Term Debt,6398000.0,43694000.0,62965000.0,103359000.0,
Long Term Provisions,1286000.0,1637000.0,2911000.0,470000.0,
Current Liabilities,77528000.0,74831000.0,121568000.0,127873000.0,
Current Debt And Capital Lease Obligation,6518000.0,22504000.0,65788000.0,70897000.0,
Current Capital Lease Obligation,4476000.0,5538000.0,5343000.0,3067000.0,
Current Debt,2042000.0,16966000.0,60445000.0,67830000.0,
Pensionand Other Post Retirement Benefit Plans Current,11847000.0,7147000.0,12325000.0,6477000.0,
Current Provisions,,,,9633000.0,10131000.0
Payables,54125000.0,42484000.0,38660000.0,39569000.0,
Other Payable,24417000.0,14969000.0,10296000.0,10950000.0,
Dividends Payable,0.0,621000.0,3380000.0,3470000.0,
Total Tax Payable,6954000.0,9081000.0,5554000.0,9519000.0,
Accounts Payable,22754000.0,17813000.0,22810000.0,15630000.0,
Total Assets,606878000.0,659014000.0,710450000.0,769767000.0,
Total Non Current Assets,384960000.0,401172000.0,389841000.0,393378000.0,
Other Non Current Assets,,100000.0,,,
Non Current Prepaid Assets,3646000.0,218000.0,376000.0,259000.0,
Non Current Deferred Taxes Assets,4574000.0,6569000.0,11577000.0,0.0,
Long Term Equity Investment,0.0,0.0,8060000.0,7034000.0,
Goodwill And Other Intangible Assets,352057000.0,378263000.0,347831000.0,373491000.0,
Other Intangible Assets,83965000.0,82474000.0,67140000.0,118201000.0,
Goodwill,268092000.0,295789000.0,280691000.0,255290000.0,
Net PPE,13497000.0,16072000.0,14412000.0,12498000.0,
Accumulated Depreciation,-37724000.0,-35819000.0,-34745000.0,-33675000.0,
Gross PPE,51221000.0,51891000.0,49157000.0,12498000.0,
Construction In Progress,,,0.0,0.0,
Other Properties,5821000.0,4432000.0,3152000.0,2074000.0,
Machinery Furniture Equipment,35180000.0,37250000.0,37488000.0,2079000.0,
Buildings And Improvements,10220000.0,10209000.0,8517000.0,8345000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,221918000.0,257842000.0,320609000.0,376389000.0,
Other Current Assets,,,,532000.0,3826000.0
Prepaid Assets,6833000.0,6989000.0,7197000.0,6056000.0,
Other Receivables,14000.0,60000.0,1000.0,532000.0,
Taxes Receivable,7529000.0,15165000.0,12110000.0,3901000.0,
Accounts Receivable,64974000.0,58300000.0,61969000.0,54948000.0,
Allowance For Doubtful Accounts Receivable,-6019000.0,-5545000.0,-7271000.0,-4477000.0,
Gross Accounts Receivable,70993000.0,63845000.0,69240000.0,59425000.0,
Cash Cash Equivalents And Short Term Investments,142568000.0,177328000.0,239332000.0,310952000.0,
Other Short Term Investments,51330000.0,114586000.0,169573000.0,214496000.0,
Cash And Cash Equivalents,91238000.0,62742000.0,69759000.0,96456000.0,
Cash Equivalents,84063000.0,31427000.0,30688000.0,64708000.0,
Cash Financial,7175000.0,31315000.0,39071000.0,31748000.0,
