,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,18963632.0,19196692.0,16732715.0,20578393.0,
Ordinary Shares Number,632792681.0,508284906.0,478738309.0,474892630.0,
Share Issued,651756313.0,527481598.0,495471024.0,495471023.0,
Net Debt,4366463000.0,3592426000.0,2842134000.0,1621305000.0,
Total Debt,5478399000.0,4555475000.0,3474172000.0,2427814000.0,
Tangible Book Value,-604167000.0,-1889378000.0,-1796679000.0,-384400000.0,
Invested Capital,8063557000.0,6444356000.0,5223127000.0,4012152000.0,
Working Capital,2207578000.0,1288984000.0,943550000.0,1680507000.0,
Net Tangible Assets,-604167000.0,-1889378000.0,-1796679000.0,-384400000.0,
Capital Lease Obligations,561192000.0,412345000.0,368830000.0,269671000.0,
Common Stock Equity,3146350000.0,2301226000.0,2117785000.0,1854009000.0,
Total Capitalization,7307425000.0,6037326000.0,4884302000.0,3656242000.0,
Total Equity Gross Minority Interest,3382425000.0,2679371000.0,2632456000.0,2304943000.0,
Minority Interest,236075000.0,378145000.0,514671000.0,450934000.0,
Stockholders Equity,3146350000.0,2301226000.0,2117785000.0,1854009000.0,
Other Equity Interest,-854160000.0,-825592000.0,-569319000.0,-585757000.0,
Treasury Stock,94468000.0,103703000.0,79396000.0,20621000.0,
Retained Earnings,-711064000.0,-64874000.0,-288492000.0,-334752000.0,
Capital Stock,3147024000.0,2454716000.0,2249716000.0,2207134000.0,
Common Stock,3147024000.0,2454716000.0,2249716000.0,2207134000.0,
Total Liabilities Net Minority Interest,7819907000.0,6501783000.0,5587323000.0,3727467000.0,
Total Non Current Liabilities Net Minority Interest,5366701000.0,4685325000.0,3704044000.0,2536745000.0,
Other Non Current Liabilities,82432000.0,67494000.0,77593000.0,55780000.0,
Derivative Product Liabilities,106922000.0,1623000.0,0.0,,
Non Current Pension And Other Postretirement Benefit Plans,12951000.0,5538000.0,776000.0,12294000.0,
Tradeand Other Payables Non Current,407861000.0,454469000.0,486495000.0,387161000.0,
Non Current Deferred Taxes Liabilities,92093000.0,72187000.0,68003000.0,47073000.0,
Long Term Debt And Capital Lease Obligation,4664442000.0,4081226000.0,3071177000.0,2034437000.0,
Long Term Capital Lease Obligation,503367000.0,345126000.0,304660000.0,232204000.0,
Long Term Debt,4161075000.0,3736100000.0,2766517000.0,1802233000.0,
Long Term Provisions,,2788000.0,,,5405000.0
Current Liabilities,2453206000.0,1816458000.0,1883279000.0,1190722000.0,
Other Current Liabilities,73418000.0,74659000.0,310828000.0,91246000.0,
Current Debt And Capital Lease Obligation,813957000.0,474249000.0,402995000.0,393377000.0,
Current Capital Lease Obligation,57825000.0,67219000.0,64170000.0,37467000.0,
Current Debt,756132000.0,407030000.0,338825000.0,355910000.0,
Pensionand Other Post Retirement Benefit Plans Current,155182000.0,129407000.0,100574000.0,80137000.0,
Payables,1410525000.0,1138143000.0,1057740000.0,623404000.0,
Other Payable,121279000.0,162056000.0,301067000.0,83191000.0,
Dividends Payable,37134000.0,28805000.0,47091000.0,24102000.0,
Total Tax Payable,232582000.0,151886000.0,104797000.0,88772000.0,
Accounts Payable,1019530000.0,795396000.0,604785000.0,427339000.0,
Total Assets,11202332000.0,9181154000.0,8219779000.0,6032410000.0,
Total Non Current Assets,6541548000.0,6075712000.0,5392950000.0,3161181000.0,
Other Non Current Assets,294804000.0,87649000.0,79354000.0,77364000.0,
Non Current Prepaid Assets,0.0,0.0,0.0,1738000.0,
Non Current Deferred Taxes Assets,508090000.0,392581000.0,223428000.0,33424000.0,
Financial Assets,7016000.0,36951000.0,0.0,,
Investmentin Financial Assets,129921000.0,91477000.0,12144000.0,35885000.0,
Available For Sale Securities,129921000.0,91477000.0,12144000.0,35885000.0,
Long Term Equity Investment,42960000.0,14727000.0,22222000.0,1386000.0,
Investmentsin Subsidiariesat Cost,,,22000000.0,1386000.0,0.0
Goodwill And Other Intangible Assets,3750517000.0,4190604000.0,3914464000.0,2238409000.0,
Other Intangible Assets,1345752000.0,1520634000.0,1345016000.0,1069436000.0,
Goodwill,2404765000.0,2669970000.0,2569448000.0,1168973000.0,
Net PPE,1335831000.0,1235082000.0,1090605000.0,729068000.0,
Accumulated Depreciation,-600552000.0,-449941000.0,-401357000.0,-249652000.0,
Gross PPE,1936383000.0,1235082000.0,1090605000.0,729068000.0,
Construction In Progress,128311000.0,124271000.0,89571000.0,33837000.0,
Other Properties,,8931000.0,715714000.0,487739000.0,624509000.0
Machinery Furniture Equipment,714435000.0,380179000.0,598739000.0,9823000.0,
Buildings And Improvements,1088241000.0,725236000.0,374891000.0,241329000.0,
Land And Improvements,5396000.0,5396000.0,4954000.0,2044000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,4660784000.0,3105442000.0,2826829000.0,2871229000.0,
Other Current Assets,151871000.0,73559000.0,47874000.0,24285000.0,
Hedging Assets Current,32191000.0,0.0,0.0,0.0,
Prepaid Assets,,,0.0,79000.0,0.0
Inventory,225235000.0,206388000.0,163937000.0,69331000.0,
Finished Goods,187869000.0,163192000.0,122002000.0,45499000.0,
Raw Materials,37366000.0,43196000.0,41935000.0,23832000.0,
Other Receivables,,951261000.0,681225000.0,361097000.0,496545000.0
Taxes Receivable,314099000.0,206856000.0,142602000.0,96631000.0,
Accounts Receivable,2049014000.0,905956000.0,698389000.0,305054000.0,
Allowance For Doubtful Accounts Receivable,,,,-45022000.0,-69120000.0
Gross Accounts Receivable,,,,711173000.0,565665000.0
Cash Cash Equivalents And Short Term Investments,1888374000.0,761422000.0,1092802000.0,2014752000.0,
Other Short Term Investments,1337630000.0,210718000.0,829594000.0,1477914000.0,
Cash And Cash Equivalents,550744000.0,550704000.0,263208000.0,536838000.0,
Cash Equivalents,472625000.0,491693000.0,217559000.0,488251000.0,
Cash Financial,78119000.0,59011000.0,45649000.0,48587000.0,
