,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,1676.0,1676.0,1676.0,1676.0,
Ordinary Shares Number,80938003.0,50501037.0,50501037.0,50501037.0,
Share Issued,80939679.0,50502713.0,50502713.0,50502713.0,
Net Debt,5208554000.0,3711379000.0,3189791000.0,3210588000.0,
Total Debt,5223734000.0,3724041000.0,3204845000.0,3262291000.0,
Tangible Book Value,-6289237000.0,-4228075000.0,-2823457000.0,-960145000.0,
Invested Capital,-1068768000.0,-512046000.0,374725000.0,2296677000.0,
Working Capital,-5863276000.0,-3479247000.0,-2905317000.0,-40927000.0,
Net Tangible Assets,-6289237000.0,-4228075000.0,-2823457000.0,-960145000.0,
Capital Lease Obligations,6656000.0,12577000.0,12554000.0,11588000.0,
Common Stock Equity,-6285846000.0,-4223510000.0,-2817566000.0,-954026000.0,
Total Capitalization,-5931535000.0,-3757205000.0,-2435421000.0,1680919000.0,
Total Equity Gross Minority Interest,-6285846000.0,-4223510000.0,-2817566000.0,-954026000.0,
Stockholders Equity,-6285846000.0,-4223510000.0,-2817566000.0,-954026000.0,
Other Equity Interest,103314000.0,134276000.0,155947000.0,-632587000.0,
Treasury Stock,741000.0,741000.0,741000.0,741000.0,
Retained Earnings,-8560807000.0,-6426611000.0,-5042338000.0,-2390264000.0,
Capital Stock,2172388000.0,2069566000.0,2069566000.0,2069566000.0,
Common Stock,2172388000.0,2069566000.0,2069566000.0,2069566000.0,
Total Liabilities Net Minority Interest,7912948000.0,6007767000.0,4806163000.0,4020474000.0,
Total Non Current Liabilities Net Minority Interest,1651745000.0,2140222000.0,1330883000.0,2891018000.0,
Other Non Current Liabilities,14111000.0,,,,
Non Current Pension And Other Postretirement Benefit Plans,12014000.0,8031000.0,0.0,,
Non Current Accrued Expenses,,,0.0,,
Tradeand Other Payables Non Current,265464000.0,744892000.0,155244000.0,1947000.0,
Non Current Deferred Taxes Liabilities,57305000.0,59556000.0,25598000.0,52467000.0,
Long Term Debt And Capital Lease Obligation,357197000.0,470066000.0,383655000.0,2637337000.0,
Long Term Capital Lease Obligation,2886000.0,3761000.0,1510000.0,2392000.0,
Long Term Debt,354311000.0,466305000.0,382145000.0,2634945000.0,
