,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,1584230.0,1525357.0,1843422.0,1849157.0,
Ordinary Shares Number,148793251.0,148852124.0,148534059.0,149179768.0,
Share Issued,150377481.0,150377481.0,150377481.0,151028925.0,
Net Debt,474662000.0,354582000.0,209109000.0,79383000.0,
Total Debt,1235805000.0,1022687000.0,871540000.0,690927000.0,
Tangible Book Value,1138043000.0,1090099000.0,1031426000.0,986251000.0,
Invested Capital,1789371000.0,1555951000.0,1342986000.0,1180013000.0,
Working Capital,827921000.0,705652000.0,550313000.0,580110000.0,
Net Tangible Assets,1138043000.0,1090099000.0,1031426000.0,986251000.0,
Capital Lease Obligations,681148000.0,640152000.0,636716000.0,557109000.0,
Common Stock Equity,1234714000.0,1173416000.0,1108162000.0,1046195000.0,
Total Capitalization,1626446000.0,1453416000.0,1224591000.0,1125481000.0,
Total Equity Gross Minority Interest,1234714000.0,1173416000.0,1108162000.0,1046195000.0,
Stockholders Equity,1234714000.0,1173416000.0,1108162000.0,1046195000.0,
Treasury Stock,23993000.0,28582000.0,35139000.0,36690000.0,
Retained Earnings,795000.0,0.0,,,
Capital Stock,981773000.0,955668000.0,928552000.0,903552000.0,
Common Stock,981773000.0,955668000.0,928552000.0,903552000.0,
Total Liabilities Net Minority Interest,2142739000.0,1904054000.0,1624964000.0,1334865000.0,
Total Non Current Liabilities Net Minority Interest,958079000.0,769642000.0,616730000.0,519891000.0,
Other Non Current Liabilities,7634000.0,7220000.0,6665000.0,,
Long Term Debt And Capital Lease Obligation,943077000.0,755791000.0,601052000.0,501790000.0,
Long Term Capital Lease Obligation,551345000.0,475791000.0,484623000.0,422504000.0,
Long Term Debt,391732000.0,280000000.0,116429000.0,79286000.0,
Long Term Provisions,7368000.0,6631000.0,9013000.0,18101000.0,
Current Liabilities,1184660000.0,1134412000.0,1008234000.0,814974000.0,
Other Current Liabilities,86053000.0,66553000.0,69209000.0,52377000.0,
Current Debt And Capital Lease Obligation,292728000.0,266896000.0,270488000.0,189137000.0,
Current Capital Lease Obligation,129803000.0,164361000.0,152093000.0,134605000.0,
Current Debt,162925000.0,102535000.0,118395000.0,54532000.0,
Pensionand Other Post Retirement Benefit Plans Current,,,60105000.0,51167000.0,39481000.0
Current Provisions,11468000.0,3805000.0,,,
Payables,709559000.0,729715000.0,608432000.0,574670000.0,
Other Payable,26957000.0,17653000.0,22397000.0,73454000.0,
Dividends Payable,,,5518000.0,5701000.0,2305000.0
Total Tax Payable,51779000.0,32299000.0,30583000.0,30801000.0,
Accounts Payable,630823000.0,679763000.0,555452000.0,464714000.0,
Total Assets,3377453000.0,3077470000.0,2733126000.0,2381060000.0,
Total Non Current Assets,1364872000.0,1237406000.0,1174579000.0,985976000.0,
Other Non Current Assets,205000.0,263000.0,525000.0,275000.0,
Non Current Prepaid Assets,5321000.0,4387000.0,0.0,,
Non Current Deferred Taxes Assets,61617000.0,52885000.0,48598000.0,36846000.0,
Other Investments,9288000.0,,,5000.0,284000.0
Long Term Equity Investment,0.0,0.0,4000.0,5000.0,
Investmentsin Subsidiariesat Cost,0.0,0.0,4000.0,5000.0,
Goodwill And Other Intangible Assets,96671000.0,83317000.0,76736000.0,59944000.0,
Other Intangible Assets,90724000.0,76578000.0,69895000.0,52674000.0,
Goodwill,5947000.0,6739000.0,6841000.0,7270000.0,
Net PPE,1174066000.0,1080794000.0,1034437000.0,874106000.0,
Accumulated Depreciation,-947350000.0,-784457000.0,-609774000.0,-450178000.0,
Gross PPE,2121416000.0,1865251000.0,1644211000.0,1324284000.0,
Construction In Progress,14357000.0,0.0,,,
Other Properties,1262251000.0,1096692000.0,976635000.0,782922000.0,
Machinery Furniture Equipment,457394000.0,426825000.0,358816000.0,304730000.0,
Buildings And Improvements,387414000.0,341734000.0,308760000.0,236632000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,2012581000.0,1840064000.0,1558547000.0,1395084000.0,
Hedging Assets Current,19661000.0,0.0,,,
Assets Held For Sale Current,414000.0,1124000.0,0.0,,
Inventory,1151516000.0,999405000.0,896535000.0,739036000.0,
Inventories Adjustments Allowances,-7000.0,-933000.0,-793000.0,-649000.0,
Finished Goods,1129313000.0,979780000.0,881876000.0,727427000.0,
Raw Materials,22210000.0,20558000.0,15452000.0,12258000.0,
Other Receivables,133302000.0,108340000.0,65558000.0,74841000.0,
Taxes Receivable,49578000.0,33793000.0,39926000.0,46941000.0,
Accounts Receivable,444702000.0,452013000.0,399173000.0,324615000.0,
Allowance For Doubtful Accounts Receivable,-8010000.0,-8129000.0,-7489000.0,-5912000.0,
Gross Accounts Receivable,452712000.0,460142000.0,406662000.0,330527000.0,
Cash Cash Equivalents And Short Term Investments,213408000.0,245389000.0,157355000.0,209651000.0,
Other Short Term Investments,133413000.0,217436000.0,131640000.0,155216000.0,
Cash And Cash Equivalents,79995000.0,27953000.0,25715000.0,54435000.0,
Cash Equivalents,74182000.0,20042000.0,20879000.0,49781000.0,
Cash Financial,5813000.0,7912000.0,4836000.0,4654000.0,
