,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,2259258.0,1674108.0,1821508.0,2022008.0,
Ordinary Shares Number,139540742.0,140125892.0,139978492.0,139777992.0,
Share Issued,141800000.0,141800000.0,141800000.0,141800000.0,
Net Debt,715895000.0,794358000.0,1105409000.0,541595000.0,
Total Debt,1318010000.0,1419095000.0,1561600000.0,936242000.0,
Tangible Book Value,1314642000.0,1456873000.0,1285249000.0,1084837000.0,
Invested Capital,2918653000.0,2973133000.0,2928011000.0,2072433000.0,
Working Capital,1464645000.0,1640908000.0,1656849000.0,1182389000.0,
Net Tangible Assets,1314642000.0,1456873000.0,1285249000.0,1084837000.0,
Capital Lease Obligations,35186000.0,33362000.0,29615000.0,35640000.0,
Common Stock Equity,1635829000.0,1587400000.0,1396026000.0,1171831000.0,
Total Capitalization,2577573000.0,2278294000.0,2272307000.0,1672237000.0,
Total Equity Gross Minority Interest,1646121000.0,1596427000.0,1406320000.0,1181661000.0,
Minority Interest,10292000.0,9027000.0,10294000.0,9830000.0,
Stockholders Equity,1635829000.0,1587400000.0,1396026000.0,1171831000.0,
Other Equity Interest,-7018000.0,-18580000.0,-19333000.0,-10069000.0,
Treasury Stock,21203000.0,17493000.0,19033000.0,21128000.0,
Capital Stock,721670000.0,721670000.0,721670000.0,721670000.0,
Common Stock,721670000.0,721670000.0,721670000.0,721670000.0,
Total Liabilities Net Minority Interest,2820866000.0,2985406000.0,2793505000.0,2572475000.0,
Total Non Current Liabilities Net Minority Interest,1317764000.0,1051141000.0,1020292000.0,634824000.0,
Derivative Product Liabilities,0.0,16881000.0,0.0,,
Tradeand Other Payables Non Current,49289000.0,181535000.0,12316000.0,20969000.0,
Non Current Deferred Taxes Liabilities,224986000.0,52779000.0,48509000.0,40238000.0,
Long Term Debt And Capital Lease Obligation,964475000.0,714031000.0,894406000.0,526931000.0,
Long Term Capital Lease Obligation,22731000.0,23137000.0,18125000.0,26525000.0,
Long Term Debt,941744000.0,690894000.0,876281000.0,500406000.0,
Long Term Provisions,79014000.0,85915000.0,65061000.0,46686000.0,
Current Liabilities,1503102000.0,1934265000.0,1773213000.0,1937651000.0,
Current Deferred Taxes Liabilities,3121000.0,4240000.0,4656000.0,5985000.0,
Current Debt And Capital Lease Obligation,353535000.0,705064000.0,667194000.0,409311000.0,
Current Capital Lease Obligation,12455000.0,10225000.0,11490000.0,9115000.0,
Current Debt,341080000.0,694839000.0,655704000.0,400196000.0,
Current Provisions,135780000.0,164681000.0,164786000.0,158080000.0,
Payables,988247000.0,1030979000.0,926909000.0,1358522000.0,
Other Payable,189136000.0,75864000.0,67860000.0,71883000.0,
Dividends Payable,38208000.0,58625000.0,71998000.0,47611000.0,
Total Tax Payable,102656000.0,73369000.0,192806000.0,52814000.0,
Accounts Payable,658247000.0,823121000.0,594245000.0,1186214000.0,
Total Assets,4466987000.0,4581833000.0,4199825000.0,3754136000.0,
Total Non Current Assets,1499240000.0,1006660000.0,769763000.0,634096000.0,
Non Current Deferred Taxes Assets,1190000.0,2743000.0,1712000.0,624000.0,
Financial Assets,35760000.0,0.0,,,
Long Term Equity Investment,,226969000.0,164127000.0,114226000.0,91692000.0
Investmentsin Joint Venturesat Cost,,,32413000.0,37942000.0,38538000.0
Investments In Other Ventures Under Equity Method,,226969000.0,164127000.0,,
Investmentsin Associatesat Cost,,,131714000.0,76284000.0,53154000.0
Investmentsin Subsidiariesat Cost,,0.0,0.0,0.0,
Goodwill And Other Intangible Assets,321187000.0,130527000.0,110777000.0,86994000.0,
Other Intangible Assets,181880000.0,71713000.0,67668000.0,43885000.0,
Goodwill,139307000.0,58814000.0,43109000.0,43109000.0,
Net PPE,155481000.0,146818000.0,110987000.0,92894000.0,
Accumulated Depreciation,-177358000.0,-144727000.0,-116118000.0,-101918000.0,
Gross PPE,332839000.0,291545000.0,227105000.0,194812000.0,
Other Properties,86227000.0,72501000.0,56757000.0,61045000.0,
Machinery Furniture Equipment,220322000.0,194584000.0,145920000.0,114019000.0,
Buildings And Improvements,26290000.0,24460000.0,24428000.0,19748000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,2967747000.0,3575173000.0,3430062000.0,3120040000.0,
Hedging Assets Current,21658000.0,0.0,9097000.0,4482000.0,
Prepaid Assets,84790000.0,102646000.0,121433000.0,240949000.0,
Inventory,1062313000.0,1207360000.0,1321856000.0,1505627000.0,
Inventories Adjustments Allowances,-137014000.0,-127890000.0,-130323000.0,-99389000.0,
Other Inventories,,,,361914000.0,113312000.0
Finished Goods,343114000.0,408387000.0,518135000.0,351339000.0,
Work In Process,182172000.0,129552000.0,81553000.0,361914000.0,
Raw Materials,674041000.0,797311000.0,852491000.0,891763000.0,
Other Receivables,69720000.0,43062000.0,57085000.0,71325000.0,
Taxes Receivable,301400000.0,304370000.0,361532000.0,176025000.0,
Accounts Receivable,860937000.0,1326360000.0,1132483000.0,762625000.0,
Allowance For Doubtful Accounts Receivable,,-129809000.0,-122439000.0,-64867000.0,-55026000.0
Gross Accounts Receivable,,1456169000.0,1254922000.0,827492000.0,753070000.0
Cash Cash Equivalents And Short Term Investments,566929000.0,591375000.0,426576000.0,359007000.0,
Cash And Cash Equivalents,566929000.0,591375000.0,426576000.0,359007000.0,
Cash Equivalents,476084000.0,555893000.0,394265000.0,295099000.0,
Cash Financial,90845000.0,35482000.0,32311000.0,63908000.0,
