,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,6012572.0,3624842.0,4347004.0,4961190.0,
Ordinary Shares Number,1711994628.0,1714382358.0,1713660195.0,1713046010.0,
Share Issued,1718007200.0,1718007200.0,1718007199.0,1718007200.0,
Net Debt,2765928000.0,2718382000.0,1884363000.0,1149104000.0,
Total Debt,7695215000.0,7067464000.0,6057912000.0,5178120000.0,
Tangible Book Value,4403164000.0,4038748000.0,3602751000.0,3191422000.0,
Invested Capital,9722698000.0,9086704000.0,7658766000.0,6182895000.0,
Working Capital,3480242000.0,3482177000.0,3209900000.0,1822731000.0,
Net Tangible Assets,4403164000.0,4038748000.0,3602751000.0,3191422000.0,
Capital Lease Obligations,4401285000.0,3936761000.0,3740008000.0,3672898000.0,
Common Stock Equity,6428768000.0,5956001000.0,5340862000.0,4677673000.0,
Total Capitalization,9085588000.0,8482103000.0,7472410000.0,5569064000.0,
Total Equity Gross Minority Interest,6442195000.0,6028301000.0,5402941000.0,4718802000.0,
Minority Interest,13427000.0,72300000.0,62079000.0,41129000.0,
Stockholders Equity,6428768000.0,5956001000.0,5340862000.0,4677673000.0,
Other Equity Interest,143949000.0,232071000.0,178857000.0,36904000.0,
Capital Stock,4000000000.0,4000000000.0,2500000000.0,2500000000.0,
Common Stock,4000000000.0,4000000000.0,2500000000.0,2500000000.0,
Total Liabilities Net Minority Interest,15699495000.0,14066111000.0,11782365000.0,10056704000.0,
Total Non Current Liabilities Net Minority Interest,6476025000.0,5986614000.0,5415197000.0,4160511000.0,
Other Non Current Liabilities,95468000.0,124136000.0,163804000.0,114898000.0,
Tradeand Other Payables Non Current,13573000.0,,64710000.0,37943000.0,46448000.0
Non Current Deferred Taxes Liabilities,,0.0,17660000.0,89011000.0,74428000.0
Long Term Debt And Capital Lease Obligation,6110008000.0,5604396000.0,5112255000.0,3865119000.0,
Long Term Capital Lease Obligation,3453188000.0,3078294000.0,2980707000.0,2973728000.0,
Long Term Debt,2656820000.0,2526102000.0,2131548000.0,891391000.0,
Long Term Provisions,256976000.0,258082000.0,56768000.0,53540000.0,
Current Liabilities,9223470000.0,8079497000.0,6367168000.0,5896193000.0,
Other Current Liabilities,397871000.0,332515000.0,265321000.0,231109000.0,
Current Debt And Capital Lease Obligation,1585207000.0,1463068000.0,945657000.0,1313001000.0,
Current Capital Lease Obligation,948097000.0,858467000.0,759301000.0,699170000.0,
Current Debt,637110000.0,604601000.0,186356000.0,613831000.0,
Current Provisions,81829000.0,57224000.0,53584000.0,43560000.0,
Payables,6472037000.0,5590297000.0,4540982000.0,3888167000.0,
Other Payable,19114000.0,114764000.0,11452000.0,,162685000.0
Dividends Payable,240976000.0,23508000.0,62417000.0,76787000.0,
Total Tax Payable,396863000.0,360571000.0,213298000.0,154773000.0,
Accounts Payable,5815084000.0,5091454000.0,4253815000.0,3656607000.0,
Total Assets,22141690000.0,20094412000.0,17185306000.0,14775506000.0,
Total Non Current Assets,9437978000.0,8532738000.0,7608238000.0,7056582000.0,
Other Non Current Assets,204000.0,6360000.0,4426000.0,571000.0,
Non Current Prepaid Assets,12743000.0,4301000.0,3149000.0,5189000.0,
Non Current Deferred Taxes Assets,299325000.0,177730000.0,10357000.0,49047000.0,
Long Term Equity Investment,14740000.0,14953000.0,4479000.0,830000.0,
Investmentsin Associatesat Cost,,14953000.0,4479000.0,830000.0,
Goodwill And Other Intangible Assets,2025604000.0,1917253000.0,1738111000.0,1486251000.0,
Other Intangible Assets,968976000.0,860625000.0,652825000.0,526483000.0,
Goodwill,1056628000.0,1056628000.0,1085286000.0,959768000.0,
Net PPE,6546662000.0,5937687000.0,5574857000.0,5329587000.0,
Accumulated Depreciation,-3633009000.0,-2990946000.0,-2390050000.0,-1871712000.0,
Gross PPE,10179671000.0,8928633000.0,7964907000.0,7201299000.0,
Other Properties,410578000.0,359303000.0,394113000.0,276290000.0,
Machinery Furniture Equipment,3294317000.0,2892887000.0,2500035000.0,2177232000.0,
Buildings And Improvements,6442652000.0,5644319000.0,5038635000.0,4715653000.0,
Land And Improvements,32124000.0,32124000.0,32124000.0,32124000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,12703712000.0,11561674000.0,9577068000.0,7718924000.0,
Other Current Assets,444813000.0,369277000.0,262559000.0,290814000.0,
Restricted Cash,3019000.0,0.0,,,
Prepaid Assets,112611000.0,98855000.0,61614000.0,48359000.0,
Inventory,8407430000.0,7197427000.0,6126056000.0,5117799000.0,
Inventories Adjustments Allowances,-169596000.0,-58376000.0,-59698000.0,-57319000.0,
Finished Goods,8567404000.0,7245647000.0,6171452000.0,5159810000.0,
Raw Materials,9622000.0,10156000.0,14302000.0,15308000.0,
Other Receivables,41887000.0,45453000.0,4322000.0,,261022000.0
Taxes Receivable,483484000.0,353401000.0,393336000.0,195777000.0,
Accounts Receivable,2666760000.0,3084940000.0,2295640000.0,1710057000.0,
Allowance For Doubtful Accounts Receivable,-48601000.0,-35410000.0,-29660000.0,-17058000.0,
Gross Accounts Receivable,2715361000.0,3120350000.0,2325300000.0,1727115000.0,
Cash Cash Equivalents And Short Term Investments,543708000.0,412321000.0,433541000.0,356118000.0,
Other Short Term Investments,15706000.0,,,,
Cash And Cash Equivalents,528002000.0,412321000.0,433541000.0,356118000.0,
Cash Equivalents,331493000.0,234746000.0,315072000.0,214986000.0,
Cash Financial,196509000.0,177575000.0,118469000.0,141132000.0,
