,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,3604000.0,0.0,0.0,0.0,
Ordinary Shares Number,240408980.0,243688980.0,243596138.0,242998022.0,
Share Issued,244012980.0,243688980.0,243596138.0,242998022.0,
Net Debt,295655000.0,721586000.0,715251000.0,274431000.0,
Total Debt,2917310000.0,3191384000.0,2769804000.0,2314439000.0,
Tangible Book Value,2482985000.0,2017352000.0,1921144000.0,1820160000.0,
Invested Capital,4304579000.0,4138443000.0,3542159000.0,3047768000.0,
Working Capital,1652323000.0,1847053000.0,1578150000.0,1456129000.0,
Net Tangible Assets,2482985000.0,2017352000.0,1921144000.0,1820160000.0,
Capital Lease Obligations,1624942000.0,1593884000.0,1636242000.0,1490661000.0,
Common Stock Equity,3012211000.0,2540943000.0,2408597000.0,2223990000.0,
Total Capitalization,3845984000.0,3514439000.0,3264241000.0,2840292000.0,
Total Equity Gross Minority Interest,3012344000.0,2541586000.0,2409854000.0,2224635000.0,
Minority Interest,133000.0,643000.0,1257000.0,645000.0,
Stockholders Equity,3012211000.0,2540943000.0,2408597000.0,2223990000.0,
Other Equity Interest,68599000.0,-26958000.0,-15157000.0,15726000.0,
Treasury Stock,39173000.0,0.0,,,
Retained Earnings,,,1257000.0,0.0,-309750000.0
Capital Stock,1832326000.0,1830872000.0,1830524000.0,1823527000.0,
Common Stock,1832326000.0,1830872000.0,1830524000.0,1823527000.0,
Total Liabilities Net Minority Interest,5933623000.0,6072861000.0,6060393000.0,4921857000.0,
Total Non Current Liabilities Net Minority Interest,2711392000.0,3231190000.0,3112055000.0,2760640000.0,
Other Non Current Liabilities,75772000.0,91660000.0,123874000.0,122989000.0,
Tradeand Other Payables Non Current,208340000.0,138842000.0,204930000.0,106818000.0,
Non Current Deferred Taxes Liabilities,12046000.0,11019000.0,9724000.0,0.0,
Long Term Debt And Capital Lease Obligation,2213862000.0,2384462000.0,2213814000.0,1911402000.0,
Long Term Capital Lease Obligation,1380089000.0,1410966000.0,1358170000.0,1295100000.0,
Long Term Debt,833773000.0,973496000.0,855644000.0,616302000.0,
Long Term Provisions,201372000.0,605207000.0,559713000.0,619431000.0,
Current Liabilities,3222231000.0,2841671000.0,2948338000.0,2161217000.0,
Other Current Liabilities,104381000.0,66276000.0,152851000.0,20073000.0,
Current Debt And Capital Lease Obligation,703448000.0,806922000.0,555990000.0,403037000.0,
Current Capital Lease Obligation,244853000.0,182918000.0,278072000.0,195561000.0,
Current Debt,458595000.0,624004000.0,277918000.0,207476000.0,
Pensionand Other Post Retirement Benefit Plans Current,229577000.0,147729000.0,164977000.0,130061000.0,
Current Provisions,,,,,17353000.0
Payables,2184252000.0,1732940000.0,2034908000.0,1603429000.0,
Other Payable,239211000.0,152436000.0,167618000.0,465394000.0,
Dividends Payable,127451000.0,35081000.0,33085000.0,28637000.0,
Total Tax Payable,669821000.0,391146000.0,272658000.0,195104000.0,
Accounts Payable,1147769000.0,1154277000.0,1561547000.0,914294000.0,
Total Assets,8945967000.0,8614447000.0,8470247000.0,7146492000.0,
Total Non Current Assets,4071413000.0,3925723000.0,3943759000.0,3529146000.0,
Other Non Current Assets,46827000.0,54757000.0,,,
Non Current Prepaid Assets,0.0,0.0,,,
Non Current Deferred Taxes Assets,698756000.0,755531000.0,841811000.0,756103000.0,
Investmentin Financial Assets,,,,,324000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,,,,324000.0
Goodwill And Other Intangible Assets,529226000.0,523591000.0,487453000.0,403830000.0,
Other Intangible Assets,471611000.0,464462000.0,432914000.0,363715000.0,
Goodwill,57615000.0,59129000.0,54539000.0,40115000.0,
Net PPE,2008819000.0,1955083000.0,2000123000.0,1757954000.0,
Accumulated Depreciation,-997161000.0,-939942000.0,-877950000.0,-802019000.0,
Gross PPE,3005980000.0,2895025000.0,2878073000.0,2559973000.0,
Construction In Progress,1004000.0,172000.0,18342000.0,13362000.0,
Other Properties,991648000.0,935178000.0,878704000.0,747591000.0,
Machinery Furniture Equipment,667161000.0,619206000.0,577967000.0,500376000.0,
Buildings And Improvements,1346167000.0,1340469000.0,1403060000.0,1298644000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,4874554000.0,4688724000.0,4526488000.0,3617346000.0,
Other Current Assets,140072000.0,86341000.0,81597000.0,84279000.0,
Hedging Assets Current,165816000.0,0.0,4169000.0,29259000.0,
Inventory,1665936000.0,1699339000.0,1737002000.0,1042336000.0,
Inventories Adjustments Allowances,-24526000.0,-20686000.0,-8612000.0,,
Other Inventories,14670000.0,10545000.0,6345000.0,8425000.0,
Finished Goods,1459147000.0,1642285000.0,1334215000.0,867696000.0,
Work In Process,216645000.0,67195000.0,405054000.0,166215000.0,
Other Receivables,245000.0,,81597000.0,84279000.0,146673000.0
Taxes Receivable,300299000.0,429716000.0,574406000.0,611081000.0,
Accounts Receivable,1605473000.0,1597414000.0,1711003000.0,1301044000.0,
Allowance For Doubtful Accounts Receivable,-137000.0,-872000.0,-1435000.0,,-7092000.0
Gross Accounts Receivable,1605610000.0,1598286000.0,1712438000.0,1301044000.0,
Cash Cash Equivalents And Short Term Investments,996713000.0,875914000.0,418311000.0,549347000.0,
Cash And Cash Equivalents,996713000.0,875914000.0,418311000.0,549347000.0,
Cash Equivalents,916019000.0,783551000.0,375007000.0,466891000.0,
Cash Financial,80694000.0,92363000.0,43304000.0,82456000.0,
