,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,2612586.0,3184086.0,18034343.0,11194002.0,
Ordinary Shares Number,440717130.0,440145630.0,449295374.0,502868686.0,
Share Issued,443329716.0,443329716.0,467329717.0,514062688.0,
Net Debt,3618829000.0,2779676000.0,2218496000.0,2447979000.0,
Total Debt,8665451000.0,7669322000.0,6722464000.0,5939195000.0,
Tangible Book Value,3875894000.0,4789081000.0,4467324000.0,3406564000.0,
Invested Capital,9596074000.0,9320437000.0,8053068000.0,6112507000.0,
Working Capital,2244752000.0,3326956000.0,2442993000.0,1277426000.0,
Net Tangible Assets,3875894000.0,4789081000.0,4467324000.0,3406564000.0,
Capital Lease Obligations,3067047000.0,3275943000.0,3268193000.0,3351436000.0,
Common Stock Equity,3997670000.0,4927058000.0,4598797000.0,3524748000.0,
Total Capitalization,7910944000.0,7906885000.0,6771531000.0,5442772000.0,
Total Equity Gross Minority Interest,4104542000.0,5241866000.0,4896432000.0,3776076000.0,
Minority Interest,106872000.0,314808000.0,297635000.0,251328000.0,
Stockholders Equity,3997670000.0,4927058000.0,4598797000.0,3524748000.0,
Treasury Stock,48580000.0,57707000.0,280170000.0,116846000.0,
Retained Earnings,,,0.0,789306000.0,970200000.0
Capital Stock,2012522000.0,2012522000.0,1512522000.0,1512522000.0,
Common Stock,2012522000.0,2012522000.0,1512522000.0,1512522000.0,
Total Liabilities Net Minority Interest,13469800000.0,10614452000.0,9971957000.0,9090267000.0,
Total Non Current Liabilities Net Minority Interest,7324295000.0,6574135000.0,5382267000.0,5258287000.0,
Other Non Current Liabilities,4988000.0,5217000.0,520000.0,73000.0,
Derivative Product Liabilities,415806000.0,21864000.0,20546000.0,139966000.0,
Tradeand Other Payables Non Current,,154056000.0,14276000.0,14862000.0,706000.0
Non Current Deferred Taxes Liabilities,172793000.0,435872000.0,443717000.0,360906000.0,
Long Term Debt And Capital Lease Obligation,6730708000.0,5957126000.0,4903208000.0,4742480000.0,
Long Term Capital Lease Obligation,2817434000.0,2977299000.0,2730474000.0,2824456000.0,
Long Term Debt,3913274000.0,2979827000.0,2172734000.0,1918024000.0,
Current Liabilities,6145505000.0,4040317000.0,4589690000.0,3831980000.0,
Other Current Liabilities,,,149756000.0,39004000.0,79989000.0
Current Deferred Taxes Liabilities,13741000.0,13594000.0,38257000.0,32002000.0,
Current Debt And Capital Lease Obligation,1934743000.0,1712196000.0,1819256000.0,1196715000.0,
Current Capital Lease Obligation,249613000.0,298644000.0,537719000.0,526980000.0,
Current Debt,1685130000.0,1413552000.0,1281537000.0,669735000.0,
Pensionand Other Post Retirement Benefit Plans Current,111208000.0,135279000.0,149756000.0,148613000.0,
Payables,2760064000.0,1712166000.0,2203894000.0,1453021000.0,
Other Payable,732930000.0,130799000.0,129254000.0,116192000.0,
Dividends Payable,120857000.0,197404000.0,302370000.0,269803000.0,
Total Tax Payable,17962000.0,109026000.0,207688000.0,57832000.0,
Accounts Payable,1888315000.0,1274937000.0,1564582000.0,1009194000.0,
Total Assets,17574342000.0,15856318000.0,14868389000.0,12866343000.0,
Total Non Current Assets,9184085000.0,8489045000.0,7835706000.0,7756937000.0,
Non Current Prepaid Assets,30956000.0,77208000.0,80263000.0,74221000.0,
Non Current Deferred Taxes Assets,351448000.0,254080000.0,281819000.0,405662000.0,
Financial Assets,298888000.0,19746000.0,61677000.0,183607000.0,
Other Investments,,,3618000.0,,
Investmentin Financial Assets,4457000.0,3657000.0,3618000.0,1640000.0,
Held To Maturity Securities,,,,,663000.0
Available For Sale Securities,4457000.0,3657000.0,3618000.0,1640000.0,
Investment Properties,58683000.0,430889000.0,385817000.0,333269000.0,
Goodwill And Other Intangible Assets,121776000.0,137977000.0,131473000.0,118184000.0,
Other Intangible Assets,74421000.0,90622000.0,84118000.0,70829000.0,
Goodwill,47355000.0,47355000.0,47355000.0,47355000.0,
Net PPE,7984719000.0,7281029000.0,6614374000.0,6440248000.0,
Accumulated Depreciation,,,,-1272437000.0,-1135566000.0
Gross PPE,7984719000.0,7281029000.0,6614374000.0,6440248000.0,
Construction In Progress,280200000.0,126288000.0,90326000.0,77011000.0,
Other Properties,1306546000.0,1133241000.0,983860000.0,3458226000.0,
Machinery Furniture Equipment,184569000.0,166648000.0,111616000.0,10634000.0,
Buildings And Improvements,641180000.0,543180000.0,456450000.0,13651000.0,
Land And Improvements,5572224000.0,5311672000.0,4972122000.0,2957737000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,8390257000.0,7367273000.0,7032683000.0,5109406000.0,
Hedging Assets Current,286904000.0,265314000.0,272728000.0,107676000.0,
Assets Held For Sale Current,2397000.0,3640000.0,545000.0,573000.0,
Prepaid Assets,60045000.0,29835000.0,50903000.0,43777000.0,
Inventory,5563705000.0,5135046000.0,5117760000.0,4497334000.0,
Inventories Adjustments Allowances,,,,-2272000.0,
Other Inventories,1840719000.0,1561265000.0,1872989000.0,1762365000.0,
Finished Goods,2082980000.0,2168451000.0,1456169000.0,1315302000.0,
Raw Materials,1640006000.0,1405330000.0,1788602000.0,1390746000.0,
Other Receivables,39396000.0,48805000.0,40864000.0,45916000.0,
Taxes Receivable,207078000.0,127236000.0,139817000.0,126936000.0,
Accounts Receivable,251157000.0,143694000.0,174291000.0,147414000.0,
Cash Cash Equivalents And Short Term Investments,1979575000.0,1613703000.0,1235775000.0,139780000.0,
Cash And Cash Equivalents,1979575000.0,1613703000.0,1235775000.0,139780000.0,
Cash Equivalents,1887594000.0,1517685000.0,1207123000.0,120187000.0,
Cash Financial,91981000.0,96018000.0,28652000.0,19593000.0,
