,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,1033496721.0,1033496721.0,1033496721.0,1033496721.0,
Share Issued,1033496721.0,1033496721.0,1033496721.0,1033496721.0,
Net Debt,9047483000.0,8393677000.0,7066738000.0,6404272000.0,
Total Debt,9799865000.0,9702640000.0,8156188000.0,6804886000.0,
Tangible Book Value,6745154000.0,6357323000.0,6433536000.0,6585955000.0,
Invested Capital,16737963000.0,16223058000.0,14720388000.0,13473852000.0,
Working Capital,559916000.0,1774150000.0,2068151000.0,718053000.0,
Net Tangible Assets,6745154000.0,6357323000.0,6433536000.0,6585955000.0,
Capital Lease Obligations,1406000.0,2842000.0,6276000.0,15790000.0,
Common Stock Equity,6939504000.0,6523260000.0,6570476000.0,6684756000.0,
Total Capitalization,15255860000.0,15069296000.0,14085654000.0,12524339000.0,
Total Equity Gross Minority Interest,6939504000.0,6523260000.0,6570476000.0,6684756000.0,
Stockholders Equity,6939504000.0,6523260000.0,6570476000.0,6684756000.0,
Other Equity Interest,-25500000.0,-25500000.0,-25500000.0,,
Capital Stock,3067535000.0,3067535000.0,3067535000.0,3042035000.0,
Common Stock,3067535000.0,3067535000.0,3067535000.0,3042035000.0,
Total Liabilities Net Minority Interest,13491589000.0,12814152000.0,10738605000.0,9210879000.0,
Total Non Current Liabilities Net Minority Interest,11028848000.0,11050486000.0,9717088000.0,7793749000.0,
Derivative Product Liabilities,95129000.0,135579000.0,46237000.0,33679000.0,
Non Current Pension And Other Postretirement Benefit Plans,,138333000.0,59429000.0,49126000.0,5700000.0
Tradeand Other Payables Non Current,247882000.0,246749000.0,41233000.0,52687000.0,
Non Current Deferred Taxes Liabilities,2198982000.0,1982549000.0,2051922000.0,1810960000.0,
Long Term Debt And Capital Lease Obligation,8316451000.0,8547276000.0,7518267000.0,5846840000.0,
Long Term Capital Lease Obligation,95000.0,1240000.0,3089000.0,7257000.0,
Long Term Debt,8316356000.0,8546036000.0,7515178000.0,5839583000.0,
Long Term Provisions,170404000.0,138333000.0,33000.0,457000.0,
Current Liabilities,2462741000.0,1763666000.0,1021517000.0,1417130000.0,
Other Current Liabilities,45075000.0,51079000.0,62068000.0,51679000.0,
Current Debt And Capital Lease Obligation,1483414000.0,1155364000.0,637921000.0,958046000.0,
Current Capital Lease Obligation,1311000.0,1602000.0,3187000.0,8533000.0,
Current Debt,1482103000.0,1153762000.0,634734000.0,949513000.0,
Pensionand Other Post Retirement Benefit Plans Current,2881000.0,2701000.0,5700000.0,2232000.0,
Payables,931371000.0,554362000.0,315828000.0,405173000.0,
Other Payable,153440000.0,109275000.0,122728000.0,69841000.0,
Dividends Payable,511965000.0,228083000.0,26105000.0,147048000.0,
Total Tax Payable,66693000.0,46499000.0,33267000.0,56662000.0,
Accounts Payable,199273000.0,170505000.0,133728000.0,131622000.0,
Total Assets,20431093000.0,19337412000.0,17309081000.0,15895635000.0,
Total Non Current Assets,17408436000.0,15799596000.0,14219413000.0,13760452000.0,
Financial Assets,6911000.0,0.0,1149000.0,207267000.0,
Investmentin Financial Assets,,,,,9586000.0
Available For Sale Securities,,,,,9586000.0
Trading Securities,,,,,9586000.0
Long Term Equity Investment,3592248000.0,3491441000.0,3611309000.0,3436678000.0,
Investmentsin Joint Venturesat Cost,,1554671000.0,1486037000.0,1207166000.0,947768000.0
Investmentsin Associatesat Cost,1900064000.0,1936770000.0,2125272000.0,2229512000.0,
Investmentsin Subsidiariesat Cost,1692184000.0,1554671000.0,,,
Goodwill And Other Intangible Assets,194350000.0,165937000.0,136940000.0,98801000.0,
Net PPE,223394000.0,232242000.0,203712000.0,86349000.0,
Gross PPE,223394000.0,232242000.0,203712000.0,86349000.0,
Other Properties,223394000.0,232242000.0,203712000.0,86349000.0,
Machinery Furniture Equipment,,,,5261000.0,8440000.0
Buildings And Improvements,,,,7196000.0,20494000.0
Properties,,,,0.0,0.0
Current Assets,3022657000.0,3537816000.0,3089668000.0,2135183000.0,
Hedging Assets Current,72443000.0,0.0,,,
Other Receivables,1660668000.0,1654128000.0,1558666000.0,1377393000.0,
Taxes Receivable,305244000.0,295557000.0,244886000.0,160897000.0,
Accounts Receivable,233326000.0,282010000.0,202942000.0,212069000.0,
Cash Cash Equivalents And Short Term Investments,750976000.0,1306121000.0,1083174000.0,384824000.0,
Cash And Cash Equivalents,750976000.0,1306121000.0,1083174000.0,384824000.0,
Cash Equivalents,741347000.0,1304814000.0,1082139000.0,380602000.0,
Cash Financial,9629000.0,1307000.0,1035000.0,4222000.0,
