,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,13512321.0,13376899.0,11435754.0,9104876.0,
Ordinary Shares Number,585889260.0,603806282.0,605747427.0,608078305.0,
Share Issued,599401581.0,617183181.0,617183181.0,617183181.0,
Net Debt,,,1508015000.0,1568351000.0,
Total Debt,1661549000.0,1744067000.0,1759542000.0,1844740000.0,
Tangible Book Value,420127000.0,1049347000.0,802851000.0,646687000.0,
Invested Capital,6216483000.0,6299360000.0,5856200000.0,5845795000.0,
Working Capital,1619361000.0,2557569000.0,2893795000.0,2166683000.0,
Net Tangible Assets,420127000.0,1049347000.0,802851000.0,646687000.0,
Capital Lease Obligations,126418000.0,165281000.0,211958000.0,231874000.0,
Common Stock Equity,4681352000.0,4720574000.0,4308616000.0,4232929000.0,
Total Capitalization,6153638000.0,6212069000.0,5797329000.0,5356067000.0,
Total Equity Gross Minority Interest,4987121000.0,5012671000.0,4584849000.0,4486008000.0,
Minority Interest,305769000.0,292097000.0,276233000.0,253079000.0,
Stockholders Equity,4681352000.0,4720574000.0,4308616000.0,4232929000.0,
Other Equity Interest,71693000.0,40422000.0,46950000.0,55457000.0,
Treasury Stock,350163000.0,283445000.0,217671000.0,133195000.0,
Capital Stock,2962585000.0,2962585000.0,2962585000.0,2962585000.0,
Common Stock,2962585000.0,2962585000.0,2962585000.0,2962585000.0,
Total Liabilities Net Minority Interest,3544600000.0,3816189000.0,6031344000.0,5459017000.0,
Total Non Current Liabilities Net Minority Interest,2400403000.0,2467460000.0,2694978000.0,2139467000.0,
Other Non Current Liabilities,80540000.0,72522000.0,49578000.0,51606000.0,
Derivative Product Liabilities,444771000.0,412655000.0,383004000.0,366194000.0,
Tradeand Other Payables Non Current,228249000.0,272135000.0,511519000.0,311575000.0,
Long Term Debt And Capital Lease Obligation,1540571000.0,1598158000.0,1643386000.0,1302446000.0,
Long Term Capital Lease Obligation,68285000.0,106663000.0,154673000.0,179308000.0,
Long Term Debt,1472286000.0,1491495000.0,1488713000.0,1123138000.0,
Long Term Provisions,106272000.0,111990000.0,107491000.0,107646000.0,
Current Liabilities,1144197000.0,1348729000.0,3336366000.0,3319550000.0,
Other Current Liabilities,63950000.0,77973000.0,2430256000.0,1464853000.0,
Current Debt And Capital Lease Obligation,120978000.0,145909000.0,116156000.0,542294000.0,
Current Capital Lease Obligation,58133000.0,58618000.0,57285000.0,52566000.0,
Current Debt,62845000.0,87291000.0,58871000.0,489728000.0,
Pensionand Other Post Retirement Benefit Plans Current,82303000.0,73852000.0,60894000.0,60372000.0,
Payables,876966000.0,1050995000.0,729060000.0,1252031000.0,
Other Payable,462676000.0,726234000.0,324505000.0,920197000.0,
Dividends Payable,1222000.0,1781000.0,130363000.0,80153000.0,
Total Tax Payable,201097000.0,167714000.0,145545000.0,139102000.0,
Accounts Payable,211971000.0,155266000.0,128647000.0,112579000.0,
Total Assets,8531721000.0,8828860000.0,10616193000.0,9945025000.0,
Total Non Current Assets,5768163000.0,4922562000.0,4386032000.0,4458792000.0,
Other Non Current Assets,116522000.0,68699000.0,71563000.0,90335000.0,
Non Current Deferred Taxes Assets,253511000.0,147426000.0,119048000.0,144622000.0,
Other Investments,,,,,3476000.0
Investmentin Financial Assets,179830000.0,127483000.0,111231000.0,99621000.0,
Available For Sale Securities,179830000.0,127483000.0,111231000.0,99621000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,,111231000.0,99621000.0,92770000.0
Long Term Equity Investment,321796000.0,323367000.0,0.0,3075000.0,
Goodwill And Other Intangible Assets,4261225000.0,3671227000.0,3505765000.0,3586242000.0,
Other Intangible Assets,879430000.0,718822000.0,669108000.0,754528000.0,
Goodwill,3381795000.0,2952405000.0,2836657000.0,2831714000.0,
Net PPE,399215000.0,413486000.0,416875000.0,404869000.0,
Accumulated Depreciation,-764752000.0,-628433000.0,-533026000.0,-456142000.0,
Gross PPE,1163967000.0,1041919000.0,949901000.0,861011000.0,
Other Properties,382542000.0,367250000.0,378479000.0,369378000.0,
Machinery Furniture Equipment,643668000.0,540474000.0,440046000.0,367118000.0,
Buildings And Improvements,137757000.0,134195000.0,131376000.0,124515000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,2763558000.0,3906298000.0,6230161000.0,5486233000.0,
Other Current Assets,160575000.0,137595000.0,2920425000.0,143474000.0,
Restricted Cash,13974000.0,13175000.0,10391000.0,387956000.0,
Taxes Receivable,83519000.0,87838000.0,87932000.0,90482000.0,
Accounts Receivable,563328000.0,538528000.0,475648000.0,1983710000.0,
Cash Cash Equivalents And Short Term Investments,1942162000.0,3129162000.0,2735765000.0,2880611000.0,
Other Short Term Investments,,,2696169000.0,9539000.0,9671000.0
Cash And Cash Equivalents,1942162000.0,3129162000.0,2735765000.0,2871072000.0,
Cash Equivalents,1920877000.0,3115741000.0,2718492000.0,2852173000.0,
Cash Financial,21285000.0,13421000.0,17273000.0,18899000.0,
