,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,7000000.0,4505000.0,4505000.0,4505000.0,
Ordinary Shares Number,179617538.0,182112538.0,182112538.0,182112538.0,
Share Issued,186617538.0,186617538.0,186617538.0,186617538.0,
Net Debt,371949000.0,678768000.0,593755000.0,255035000.0,
Total Debt,821718000.0,1040781000.0,904116000.0,642549000.0,
Tangible Book Value,1455258000.0,1343262000.0,1258409000.0,1218504000.0,
Invested Capital,2280729000.0,2387947000.0,2165678000.0,1863654000.0,
Working Capital,1788114000.0,1297585000.0,1270215000.0,1123779000.0,
Net Tangible Assets,1455258000.0,1343262000.0,1258409000.0,1218504000.0,
Common Stock Equity,1459011000.0,1347166000.0,1261562000.0,1221105000.0,
Total Capitalization,2181644000.0,1910954000.0,1991536000.0,1717562000.0,
Total Equity Gross Minority Interest,1488057000.0,1391058000.0,1308476000.0,1271177000.0,
Minority Interest,29046000.0,43892000.0,46914000.0,50072000.0,
Stockholders Equity,1459011000.0,1347166000.0,1261562000.0,1221105000.0,
Other Equity Interest,-14376000.0,-14376000.0,-14376000.0,-14376000.0,
Treasury Stock,46645000.0,34257000.0,34257000.0,34257000.0,
Additional Paid In Capital,2420000.0,2420000.0,2420000.0,2420000.0,
Capital Stock,866080000.0,866080000.0,866080000.0,866080000.0,
Common Stock,866080000.0,866080000.0,866080000.0,866080000.0,
Total Liabilities Net Minority Interest,1554537000.0,1366680000.0,1266574000.0,1068888000.0,
Total Non Current Liabilities Net Minority Interest,1076541000.0,601113000.0,842577000.0,621530000.0,
Tradeand Other Payables Non Current,138948000.0,13923000.0,88354000.0,86351000.0,
Non Current Deferred Revenue,202171000.0,10487000.0,12964000.0,23843000.0,
Non Current Deferred Taxes Liabilities,5076000.0,4977000.0,3750000.0,3322000.0,
Long Term Debt And Capital Lease Obligation,722633000.0,563788000.0,729974000.0,496457000.0,
Long Term Debt,722633000.0,563788000.0,729974000.0,496457000.0,
Long Term Provisions,7713000.0,7938000.0,7535000.0,11557000.0,
Current Liabilities,477996000.0,765567000.0,423997000.0,447358000.0,
Other Current Liabilities,,,,,16609000.0
Current Deferred Taxes Liabilities,30569000.0,25819000.0,17046000.0,13623000.0,
Current Debt And Capital Lease Obligation,99085000.0,476993000.0,174142000.0,146092000.0,
Current Debt,99085000.0,476993000.0,174142000.0,146092000.0,
Pensionand Other Post Retirement Benefit Plans Current,15852000.0,10046000.0,6902000.0,9977000.0,
Payables,201385000.0,128829000.0,155369000.0,193136000.0,
Other Payable,725000.0,561000.0,2235000.0,4944000.0,
Dividends Payable,40745000.0,29422000.0,16129000.0,28631000.0,
Total Tax Payable,7043000.0,5475000.0,3789000.0,5569000.0,
Accounts Payable,152872000.0,93371000.0,133216000.0,153992000.0,
Total Assets,3042594000.0,2757738000.0,2575050000.0,2340065000.0,
Total Non Current Assets,776484000.0,694586000.0,880838000.0,768928000.0,
Investmentin Financial Assets,21681000.0,12695000.0,0.0,0.0,
Available For Sale Securities,21681000.0,12695000.0,,,
Long Term Equity Investment,129772000.0,150485000.0,72544000.0,64342000.0,
Investment Properties,354207000.0,244008000.0,535530000.0,528832000.0,
Goodwill And Other Intangible Assets,3753000.0,3904000.0,3153000.0,2601000.0,
Other Intangible Assets,3753000.0,3904000.0,3153000.0,2601000.0,
Goodwill,,,,,0.0
Net PPE,56726000.0,85940000.0,96500000.0,26903000.0,
Accumulated Depreciation,-21677000.0,-22764000.0,-26411000.0,-21607000.0,
Gross PPE,78403000.0,108704000.0,122911000.0,48510000.0,
Construction In Progress,,,40850000.0,0.0,
Other Properties,15746000.0,40000.0,8236000.0,8236000.0,
Machinery Furniture Equipment,20718000.0,20245000.0,20094000.0,4884000.0,
Buildings And Improvements,40174000.0,74543000.0,80705000.0,35390000.0,
Land And Improvements,1765000.0,13876000.0,13876000.0,0.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,2266110000.0,2063152000.0,1694212000.0,1571137000.0,
Other Current Assets,,,,,8035000.0
Inventory,996887000.0,1021787000.0,940005000.0,801686000.0,
Finished Goods,996887000.0,1021787000.0,940005000.0,801686000.0,
Other Receivables,10266000.0,7988000.0,4040000.0,8139000.0,
Taxes Receivable,2367000.0,2293000.0,2609000.0,2947000.0,
Accounts Receivable,786439000.0,669071000.0,437197000.0,370851000.0,
Cash Cash Equivalents And Short Term Investments,470151000.0,362013000.0,310361000.0,387514000.0,
Other Short Term Investments,20382000.0,,,,
Cash And Cash Equivalents,449769000.0,362013000.0,310361000.0,387514000.0,
Cash Equivalents,415483000.0,355288000.0,307765000.0,379577000.0,
Cash Financial,34286000.0,6725000.0,2596000.0,7937000.0,
