,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,499000.0,7891532.0,8041220.0,8108918.0,
Ordinary Shares Number,1080533537.0,1096433037.0,1027179107.0,982180555.0,
Share Issued,1081032537.0,1104324569.0,1035220327.0,990289473.0,
Net Debt,14251155000.0,11437916000.0,5644719000.0,4704617000.0,
Total Debt,14493165000.0,11717008000.0,7483188000.0,6088125000.0,
Tangible Book Value,2262584000.0,4228992000.0,3390439000.0,2437328000.0,
Invested Capital,16846466000.0,16270979000.0,9368105000.0,7497964000.0,
Working Capital,1415287000.0,2545384000.0,-135701000.0,3678642000.0,
Net Tangible Assets,2262584000.0,4228992000.0,3390439000.0,2437328000.0,
Capital Lease Obligations,89072000.0,181324000.0,1753971000.0,1230347000.0,
Common Stock Equity,2442373000.0,4735295000.0,3638888000.0,2640186000.0,
Total Capitalization,15904087000.0,15416245000.0,8933461000.0,7372948000.0,
Total Equity Gross Minority Interest,2442373000.0,4735295000.0,3638888000.0,2640186000.0,
Stockholders Equity,2442373000.0,4735295000.0,3638888000.0,2640186000.0,
Treasury Stock,112864000.0,11893000.0,12003000.0,11508000.0,
Capital Stock,1012950000.0,2142576000.0,1274384000.0,632951000.0,
Common Stock,1012950000.0,2142576000.0,1274384000.0,632951000.0,
Total Liabilities Net Minority Interest,17834654000.0,16073531000.0,13036528000.0,7545339000.0,
Total Non Current Liabilities Net Minority Interest,15105430000.0,12661030000.0,8710728000.0,6355614000.0,
Other Non Current Liabilities,499048000.0,1033419000.0,1001290000.0,31130000.0,
Derivative Product Liabilities,100473000.0,69545000.0,278976000.0,135509000.0,
Non Current Pension And Other Postretirement Benefit Plans,20688000.0,45042000.0,29905000.0,7468000.0,
Tradeand Other Payables Non Current,67769000.0,234752000.0,126188000.0,40381000.0,
Non Current Deferred Taxes Liabilities,880882000.0,437071000.0,347468000.0,266325000.0,
Long Term Debt And Capital Lease Obligation,13535863000.0,10835383000.0,6923255000.0,5871257000.0,
Long Term Capital Lease Obligation,74149000.0,154433000.0,1628682000.0,1138495000.0,
Long Term Debt,13461714000.0,10680950000.0,5294573000.0,4732762000.0,
Long Term Provisions,707000.0,5818000.0,3646000.0,3544000.0,
Current Liabilities,2729224000.0,3412501000.0,4325800000.0,1189725000.0,
Other Current Liabilities,556847000.0,343328000.0,304539000.0,21834000.0,
Current Debt And Capital Lease Obligation,957302000.0,881625000.0,559933000.0,216868000.0,
Current Capital Lease Obligation,14923000.0,26891000.0,125289000.0,91852000.0,
Current Debt,942379000.0,854734000.0,434644000.0,125016000.0,
Pensionand Other Post Retirement Benefit Plans Current,34818000.0,72819000.0,66228000.0,34291000.0,
Payables,1108695000.0,1764795000.0,3297219000.0,844460000.0,
Other Payable,184296000.0,206444000.0,76273000.0,51408000.0,
Dividends Payable,249606000.0,300174000.0,246924000.0,0.0,
Total Tax Payable,24502000.0,43224000.0,61400000.0,24316000.0,
Accounts Payable,650291000.0,1214953000.0,2912622000.0,768736000.0,
Total Assets,20277027000.0,20808826000.0,16675416000.0,10185525000.0,
Total Non Current Assets,16132516000.0,14850941000.0,12485317000.0,5317158000.0,
Other Non Current Assets,39030000.0,188212000.0,95067000.0,55528000.0,
Non Current Deferred Taxes Assets,60789000.0,177600000.0,38778000.0,19049000.0,
Financial Assets,111285000.0,518412000.0,35106000.0,9371000.0,
Investmentin Financial Assets,0.0,10950000.0,19160000.0,7112000.0,
Long Term Equity Investment,0.0,0.0,0.0,0.0,
Goodwill And Other Intangible Assets,179789000.0,506303000.0,248449000.0,202858000.0,
Other Intangible Assets,55909000.0,368814000.0,119085000.0,109361000.0,
Goodwill,123880000.0,137489000.0,129364000.0,93497000.0,
Net PPE,15669649000.0,13381557000.0,12002386000.0,4990944000.0,
Accumulated Depreciation,-2089716000.0,-1325075000.0,-931680000.0,-589661000.0,
Gross PPE,17759365000.0,14706632000.0,12934066000.0,5580605000.0,
Other Properties,33961000.0,101270000.0,67337000.0,17852000.0,
Machinery Furniture Equipment,17537125000.0,14188369000.0,12618751000.0,5371128000.0,
Buildings And Improvements,188279000.0,365014000.0,207547000.0,151197000.0,
Land And Improvements,0.0,51979000.0,40431000.0,40428000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,4144511000.0,5957885000.0,4190099000.0,4868367000.0,
Other Current Assets,,23490000.0,9622000.0,6936000.0,10911000.0
Hedging Assets Current,0.0,2769000.0,0.0,,
Assets Held For Sale Current,427756000.0,397968000.0,215035000.0,42016000.0,
Prepaid Assets,40600000.0,127211000.0,57033000.0,36329000.0,
Inventory,103894000.0,1650613000.0,763582000.0,332518000.0,
Inventories Adjustments Allowances,-3705000.0,-35433000.0,-15781000.0,-8071000.0,
Other Inventories,13602000.0,12252000.0,8091000.0,1321000.0,
Finished Goods,19635000.0,1597819000.0,714053000.0,327722000.0,
Raw Materials,74362000.0,75975000.0,57219000.0,11546000.0,
Other Receivables,15966000.0,23490000.0,9622000.0,6936000.0,
Taxes Receivable,227839000.0,479008000.0,266413000.0,99140000.0,
Accounts Receivable,540228000.0,982814000.0,1155403000.0,526487000.0,
Cash Cash Equivalents And Short Term Investments,2788228000.0,2294012000.0,1723011000.0,3824941000.0,
Other Short Term Investments,2635290000.0,2196244000.0,1638513000.0,3671780000.0,
Cash And Cash Equivalents,152938000.0,97768000.0,84498000.0,153161000.0,
Cash Equivalents,147521000.0,74750000.0,66234000.0,138269000.0,
Cash Financial,5417000.0,23018000.0,18264000.0,14892000.0,
