,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,4489080.0,50039747.0,50096500.0,37390200.0,
Ordinary Shares Number,1114950979.0,1114960253.0,1114903500.0,1127609800.0,
Share Issued,1119440059.0,1165000000.0,1165000000.0,1165000000.0,
Net Debt,9969000000.0,8104000000.0,12412000000.0,9384000000.0,
Total Debt,20808000000.0,15518000000.0,17391000000.0,13833000000.0,
Tangible Book Value,18938000000.0,14620000000.0,11719000000.0,11855000000.0,
Invested Capital,40834000000.0,30501000000.0,29170000000.0,25317000000.0,
Working Capital,17327000000.0,13603000000.0,12620000000.0,10421000000.0,
Net Tangible Assets,18938000000.0,14620000000.0,11719000000.0,11855000000.0,
Capital Lease Obligations,359000000.0,748000000.0,834000000.0,824000000.0,
Common Stock Equity,20385000000.0,15731000000.0,12613000000.0,12308000000.0,
Total Capitalization,38139000000.0,29152000000.0,27496000000.0,23978000000.0,
Total Equity Gross Minority Interest,20385000000.0,15731000000.0,12613000000.0,12308000000.0,
Stockholders Equity,20385000000.0,15731000000.0,12613000000.0,12308000000.0,
Other Equity Interest,-1115000000.0,-1390000000.0,-921000000.0,-724000000.0,
Treasury Stock,105000000.0,1150000000.0,1152000000.0,918000000.0,
Capital Stock,10034000000.0,7579000000.0,7579000000.0,6353000000.0,
Common Stock,10034000000.0,7579000000.0,7579000000.0,6353000000.0,
Total Liabilities Net Minority Interest,28615000000.0,27750000000.0,28497000000.0,21576000000.0,
Total Non Current Liabilities Net Minority Interest,20101000000.0,17754000000.0,18873000000.0,14237000000.0,
Other Non Current Liabilities,,485000000.0,623000000.0,,
Derivative Product Liabilities,65000000.0,810000000.0,664000000.0,41000000.0,
Non Current Pension And Other Postretirement Benefit Plans,757000000.0,1251000000.0,828000000.0,751000000.0,
Tradeand Other Payables Non Current,111000000.0,510000000.0,873000000.0,81000000.0,
Long Term Debt And Capital Lease Obligation,18033000000.0,14048000000.0,15589000000.0,12376000000.0,
Long Term Capital Lease Obligation,279000000.0,627000000.0,706000000.0,706000000.0,
Long Term Debt,17754000000.0,13421000000.0,14883000000.0,11670000000.0,
Long Term Provisions,1135000000.0,1135000000.0,919000000.0,988000000.0,
Current Liabilities,8514000000.0,9996000000.0,9624000000.0,7339000000.0,
Other Current Liabilities,,182000000.0,63000000.0,21000000.0,
Current Debt And Capital Lease Obligation,2775000000.0,1470000000.0,1802000000.0,1457000000.0,
Current Capital Lease Obligation,80000000.0,121000000.0,128000000.0,118000000.0,
Current Debt,2695000000.0,1349000000.0,1674000000.0,1339000000.0,
Pensionand Other Post Retirement Benefit Plans Current,393000000.0,376000000.0,311000000.0,259000000.0,
Current Provisions,,48000000.0,596000000.0,,
Payables,4792000000.0,7506000000.0,6143000000.0,4379000000.0,
Other Payable,524000000.0,644000000.0,377000000.0,316000000.0,
Dividends Payable,1512000000.0,1124000000.0,401000000.0,132000000.0,
Total Tax Payable,324000000.0,1242000000.0,231000000.0,621000000.0,
Accounts Payable,2432000000.0,4496000000.0,5134000000.0,3310000000.0,
Total Assets,49000000000.0,43481000000.0,41110000000.0,33884000000.0,
Total Non Current Assets,23159000000.0,19882000000.0,18866000000.0,16124000000.0,
Other Non Current Assets,95000000.0,58000000.0,14000000.0,7000000.0,
Non Current Prepaid Assets,878000000.0,1413000000.0,1582000000.0,1677000000.0,
Non Current Deferred Taxes Assets,2170000000.0,2195000000.0,1920000000.0,1596000000.0,
Financial Assets,442000000.0,35000000.0,170000000.0,579000000.0,
Other Investments,,,,,3000000.0
Investmentin Financial Assets,,,0.0,2018000000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,,0.0,2018000000.0,
Long Term Equity Investment,3921000000.0,4490000000.0,4984000000.0,609000000.0,
Investmentsin Joint Venturesat Cost,3921000000.0,4490000000.0,4984000000.0,,
Goodwill And Other Intangible Assets,1447000000.0,1111000000.0,894000000.0,453000000.0,
Other Intangible Assets,1315000000.0,1111000000.0,865000000.0,424000000.0,
Goodwill,132000000.0,0.0,29000000.0,29000000.0,
Net PPE,6984000000.0,6954000000.0,6944000000.0,6762000000.0,
Accumulated Depreciation,-5946000000.0,-5914000000.0,-5675000000.0,-5428000000.0,
Gross PPE,12930000000.0,12868000000.0,12619000000.0,12190000000.0,
Construction In Progress,1800000000.0,1452000000.0,1233000000.0,1002000000.0,
Other Properties,6821000000.0,7174000000.0,7149000000.0,6970000000.0,
Buildings And Improvements,3917000000.0,3826000000.0,3794000000.0,3848000000.0,
Land And Improvements,392000000.0,416000000.0,443000000.0,370000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,25841000000.0,23599000000.0,22244000000.0,17760000000.0,
Other Current Assets,160000000.0,91000000.0,384000000.0,203000000.0,
Hedging Assets Current,461000000.0,142000000.0,66000000.0,97000000.0,
Assets Held For Sale Current,,10000000.0,408000000.0,11000000.0,11000000.0
Prepaid Assets,910000000.0,969000000.0,856000000.0,719000000.0,
Inventory,6109000000.0,5954000000.0,6753000000.0,5674000000.0,
Other Inventories,693000000.0,917000000.0,1490000000.0,834000000.0,
Finished Goods,5416000000.0,5037000000.0,5263000000.0,4840000000.0,
Work In Process,,442000000.0,845000000.0,215000000.0,
Taxes Receivable,2768000000.0,3642000000.0,2701000000.0,1844000000.0,
Accounts Receivable,4953000000.0,6135000000.0,6931000000.0,5587000000.0,
Cash Cash Equivalents And Short Term Investments,10480000000.0,6666000000.0,4145000000.0,3625000000.0,
Cash And Cash Equivalents,10480000000.0,6666000000.0,4145000000.0,3625000000.0,
Cash Equivalents,9171000000.0,6146000000.0,3073000000.0,3584000000.0,
Cash Financial,1309000000.0,520000000.0,1072000000.0,41000000.0,
