,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-140408000.0,10784000.0,74294000.0,48635000.0,
Repurchase Of Capital Stock,0.0,0.0,-1884000.0,-12252000.0,
Repayment Of Debt,-514214000.0,-397232000.0,-611637000.0,-343744000.0,
Issuance Of Debt,123704000.0,322358000.0,817115000.0,279330000.0,
Issuance Of Capital Stock,310900000.0,200100000.0,0.0,0.0,
Capital Expenditure,-99387000.0,-91520000.0,-113009000.0,-100493000.0,
End Cash Position,114972000.0,218595000.0,218744000.0,127310000.0,
Beginning Cash Position,218595000.0,218744000.0,127310000.0,229087000.0,
Changes In Cash,-103623000.0,-149000.0,91434000.0,-101777000.0,
Financing Cash Flow,-205011000.0,8697000.0,46627000.0,-145207000.0,
Net Other Financing Charges,3634000.0,,-4725000.0,,
Interest Paid Cff,-128653000.0,-101509000.0,-150219000.0,-66538000.0,
Cash Dividends Paid,,-15020000.0,-1884000.0,-2003000.0,-6347000.0
Common Stock Dividend Paid,,-15020000.0,-1884000.0,-2003000.0,-6347000.0
Net Common Stock Issuance,310900000.0,200100000.0,-1884000.0,-12252000.0,
Common Stock Payments,0.0,0.0,-1884000.0,-12252000.0,
Common Stock Issuance,310900000.0,200100000.0,0.0,0.0,
Net Issuance Payments Of Debt,-390510000.0,-74874000.0,205478000.0,-64414000.0,
Net Long Term Debt Issuance,-390510000.0,-74874000.0,205478000.0,-64414000.0,
Long Term Debt Payments,-514214000.0,-397232000.0,-611637000.0,-343744000.0,
Long Term Debt Issuance,123704000.0,322358000.0,817115000.0,279330000.0,
Investing Cash Flow,142409000.0,-111150000.0,-142496000.0,-105698000.0,
Net Other Investing Changes,,-21613000.0,-1923000.0,104000.0,2752000.0
Net Investment Purchase And Sale,0.0,3164000.0,-228000.0,-58000.0,
Sale Of Investment,0.0,3164000.0,0.0,,46000.0
Purchase Of Investment,,,-228000.0,-58000.0,0.0
Net Business Purchase And Sale,-3845000.0,-1181000.0,-27336000.0,-5251000.0,
Purchase Of Business,-3845000.0,-1181000.0,-27336000.0,-5251000.0,
Net PPE Purchase And Sale,-99387000.0,-91520000.0,-113009000.0,-100493000.0,
Purchase Of PPE,-99387000.0,-91520000.0,-113009000.0,-100493000.0,
Operating Cash Flow,-41021000.0,102304000.0,187303000.0,149128000.0,
Taxes Refund Paid,-1000.0,-16094000.0,-19035000.0,-18592000.0,
Dividend Received Cfo,4936000.0,2633000.0,11312000.0,10984000.0,
Change In Working Capital,-172228000.0,116984000.0,168728000.0,16349000.0,
Change In Other Current Liabilities,-27699000.0,4798000.0,-5343000.0,-9468000.0,
Change In Other Current Assets,-28738000.0,-35891000.0,18809000.0,-13120000.0,
Change In Accrued Expense,20559000.0,12185000.0,26369000.0,1968000.0,
Change In Payable,80087000.0,112082000.0,42152000.0,15018000.0,
Change In Inventory,643000.0,2370000.0,-3000000.0,-1624000.0,
Change In Receivables,-217080000.0,21440000.0,89741000.0,23575000.0,
Other Non Cash Items,149439000.0,157786000.0,175796000.0,52330000.0,
Stock Based Compensation,382000.0,330000.0,3207000.0,4588000.0,
Provisionand Write Offof Assets,14261000.0,-1682000.0,17584000.0,-3084000.0,
Deferred Tax,-6731000.0,-8933000.0,-37533000.0,-29883000.0,
Depreciation And Amortization,102231000.0,93130000.0,117737000.0,119604000.0,
Amortization Cash Flow,13128000.0,12891000.0,,,
Depreciation,89103000.0,80239000.0,117737000.0,119604000.0,
Pension And Employee Benefit Expense,,,6597000.0,643000.0,108000.0
Gain Loss On Investment Securities,-16384000.0,-18436000.0,-20172000.0,154000.0,
Gain Loss On Sale Of PPE,,0.0,0.0,,1546000.0
Net Income From Continuing Operations,-117236000.0,-218559000.0,-219243000.0,1988000.0,
