,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,271329000.0,326090000.0,281338000.0,184622000.0,
Repurchase Of Capital Stock,,-4691000.0,-529000.0,0.0,
Repayment Of Debt,-413543000.0,-386325000.0,-464084000.0,-208294000.0,
Issuance Of Debt,490000000.0,445444000.0,453792000.0,196356000.0,
Issuance Of Capital Stock,,,0.0,100386000.0,301058000.0
Capital Expenditure,-148573000.0,-115570000.0,-114522000.0,-75412000.0,
End Cash Position,217996000.0,189524000.0,137413000.0,96400000.0,
Beginning Cash Position,189524000.0,137413000.0,96400000.0,42109000.0,
Changes In Cash,28472000.0,52111000.0,41013000.0,54291000.0,
Financing Cash Flow,-232966000.0,-298871000.0,-280453000.0,-108494000.0,
Net Other Financing Charges,-75631000.0,-87327000.0,-57750000.0,-28741000.0,
Interest Paid Cff,-125084000.0,-149410000.0,-106292000.0,-64261000.0,
Cash Dividends Paid,-877000.0,-9941000.0,-2653000.0,-1302000.0,
Common Stock Dividend Paid,-877000.0,-9941000.0,-2653000.0,-1302000.0,
Net Common Stock Issuance,-1601000.0,-4691000.0,-529000.0,100386000.0,
Common Stock Payments,,-4691000.0,-529000.0,0.0,
Common Stock Issuance,,,0.0,100386000.0,301058000.0
Net Issuance Payments Of Debt,76457000.0,59119000.0,-10292000.0,-11938000.0,
Net Long Term Debt Issuance,76457000.0,59119000.0,-10292000.0,-11938000.0,
Long Term Debt Payments,-413543000.0,-386325000.0,-464084000.0,-208294000.0,
Long Term Debt Issuance,490000000.0,445444000.0,453792000.0,196356000.0,
Investing Cash Flow,-158464000.0,-90678000.0,-74394000.0,-97249000.0,
Net Other Investing Changes,-2260000.0,24998000.0,-4050000.0,-22526000.0,
Dividends Received Cfi,1349000.0,891000.0,860000.0,730000.0,
Net Investment Properties Purchase And Sale,,0.0,43000000.0,0.0,
Sale Of Investment Properties,,0.0,43000000.0,0.0,
Net Business Purchase And Sale,-8980000.0,-997000.0,318000.0,-41000.0,
Sale Of Business,491000.0,0.0,2964000.0,0.0,
Purchase Of Business,-9471000.0,-997000.0,-2646000.0,-41000.0,
Net Intangibles Purchase And Sale,-83268000.0,-66493000.0,-79236000.0,-44977000.0,
Purchase Of Intangibles,-83268000.0,-66493000.0,-79236000.0,-44977000.0,
Net PPE Purchase And Sale,-65305000.0,-49077000.0,-35286000.0,-30435000.0,
Purchase Of PPE,-65305000.0,-49077000.0,-35286000.0,-30435000.0,
Operating Cash Flow,419902000.0,441660000.0,395860000.0,260034000.0,
Taxes Refund Paid,-4771000.0,-5695000.0,-4755000.0,-2552000.0,
Change In Working Capital,-79031000.0,7594000.0,71713000.0,38051000.0,
Change In Other Current Liabilities,-32945000.0,-9202000.0,11557000.0,-19289000.0,
Change In Other Current Assets,4584000.0,7046000.0,4268000.0,7385000.0,
Change In Payable,-3408000.0,4583000.0,21671000.0,49509000.0,
Change In Prepaid Assets,-10753000.0,-2692000.0,2517000.0,-345000.0,
Change In Receivables,-41996000.0,3885000.0,27506000.0,1191000.0,
Other Non Cash Items,199236000.0,239089000.0,243379000.0,176938000.0,
Stock Based Compensation,,,0.0,146000.0,1772000.0
Provisionand Write Offof Assets,,0.0,-1334000.0,1335000.0,-2808000.0
Depreciation And Amortization,248919000.0,238700000.0,234912000.0,243048000.0,
Amortization Cash Flow,164300000.0,157009000.0,154005000.0,146375000.0,
Depreciation,84619000.0,81691000.0,80907000.0,96673000.0,
Pension And Employee Benefit Expense,16000000.0,15016000.0,12612000.0,9160000.0,
Gain Loss On Investment Securities,8509000.0,1654000.0,-35038000.0,4236000.0,
Gain Loss On Sale Of PPE,-2929000.0,-39000.0,-2575000.0,-21698000.0,
Net Income From Continuing Operations,-3948000.0,-62385000.0,-152931000.0,-221618000.0,
