,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-3583000000.0,-330000000.0,-8208000000.0,-4177656000.0,
Repurchase Of Capital Stock,,0.0,-589000000.0,-227605000.0,
Repayment Of Debt,-2207000000.0,-2814000000.0,-1512000000.0,-6140424000.0,
Issuance Of Debt,3502000000.0,1803000000.0,8951000000.0,1388735000.0,
Issuance Of Capital Stock,1481000000.0,0.0,345000000.0,54508000.0,
Capital Expenditure,-36000000.0,-85000000.0,-2133000000.0,-1613116000.0,
End Cash Position,1129000000.0,1758000000.0,2479000000.0,2626157000.0,
Beginning Cash Position,1758000000.0,2479000000.0,2628000000.0,6634287000.0,
Changes In Cash,-629000000.0,-721000000.0,-149000000.0,-4008130000.0,
Other Cash Adjustment Inside Changein Cash,-25000000.0,,,,
Financing Cash Flow,1033000000.0,-1457000000.0,8120000000.0,-4970981000.0,
Net Other Financing Charges,-1310000000.0,-2000000.0,1739000000.0,22439000.0,
Cash Dividends Paid,,,-333000000.0,,
Net Common Stock Issuance,1481000000.0,0.0,-244000000.0,-173097000.0,
Common Stock Payments,,0.0,-589000000.0,-227605000.0,
Common Stock Issuance,1481000000.0,0.0,345000000.0,54508000.0,
Net Issuance Payments Of Debt,1295000000.0,-1011000000.0,7439000000.0,-4751689000.0,
Net Long Term Debt Issuance,1295000000.0,-1011000000.0,7439000000.0,-4751689000.0,
Long Term Debt Payments,-2207000000.0,-2814000000.0,-1512000000.0,-6140424000.0,
Long Term Debt Issuance,3502000000.0,1803000000.0,8951000000.0,1388735000.0,
Investing Cash Flow,1910000000.0,981000000.0,-2194000000.0,3527391000.0,
Net Other Investing Changes,235000000.0,-329000000.0,-647000000.0,5471792000.0,
Dividends Received Cfi,,0.0,1000000.0,0.0,
Net Investment Purchase And Sale,1711000000.0,1395000000.0,658000000.0,2149232000.0,
Sale Of Investment,,,658211000.0,2149232000.0,
Purchase Of Investment,,,,,-1319612000.0
Net Business Purchase And Sale,0.0,0.0,-73000000.0,-2480517000.0,
Sale Of Business,,0.0,0.0,0.0,
Purchase Of Business,0.0,0.0,-73000000.0,-2480517000.0,
Net Intangibles Purchase And Sale,-36000000.0,-85000000.0,-2133000000.0,-1167560000.0,
Purchase Of Intangibles,-36000000.0,-85000000.0,-2133000000.0,-1167560000.0,
Net PPE Purchase And Sale,,,-623216000.0,-445556000.0,-52170000.0
Purchase Of PPE,,,-623216000.0,-445556000.0,-52170000.0
Operating Cash Flow,-3547000000.0,-245000000.0,-6075000000.0,-2564540000.0,
Taxes Refund Paid,,,-10000000.0,-17315000.0,-5621000.0
Interest Paid Cfo,-565000000.0,-780000000.0,-2262000000.0,-1497680000.0,
Change In Working Capital,-1478000000.0,3041000000.0,1604000000.0,781362000.0,
Change In Other Current Liabilities,-889000000.0,-1237000000.0,1414000000.0,642925000.0,
Change In Other Current Assets,-132000000.0,-82000000.0,-213000000.0,-4768000.0,
Change In Accrued Expense,36000000.0,11000000.0,-10000000.0,2798693000.0,
Change In Payable,-2457000000.0,-704000000.0,-3841000000.0,3467414000.0,
Change In Prepaid Assets,-52000000.0,-14000000.0,22000000.0,28390000.0,
Change In Inventory,419000000.0,2035000000.0,2444000000.0,-1124006000.0,
Change In Receivables,1597000000.0,3032000000.0,1788000000.0,-5027286000.0,
Other Non Cash Items,-15375000000.0,3370000000.0,2615000000.0,1722106000.0,
Provisionand Write Offof Assets,582000000.0,418000000.0,1437000000.0,154228000.0,
Deferred Tax,4717000000.0,-4762000000.0,-129000000.0,-164627000.0,
Depreciation And Amortization,1010000000.0,1374000000.0,1608000000.0,1048002000.0,
Depreciation,1010000000.0,1374000000.0,1608000000.0,1048002000.0,
Gain Loss On Investment Securities,-486000000.0,,,,
Net Income From Continuing Operations,8252000000.0,-2272000000.0,-13220000000.0,-6237362000.0,
