,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-55006000.0,177391000.0,-94893000.0,73057000.0,
Repurchase Of Capital Stock,0.0,-11248000.0,-26057000.0,-14175000.0,
Repayment Of Debt,-968544000.0,-273847000.0,-336067000.0,-243386000.0,
Issuance Of Debt,658468000.0,968219000.0,214941000.0,128180000.0,
Issuance Of Capital Stock,,0.0,835474000.0,2569000.0,0.0
Capital Expenditure,-418962000.0,-235201000.0,-233143000.0,-168881000.0,
End Cash Position,181160000.0,73316000.0,28826000.0,33750000.0,
Other Cash Adjustment Outside Changein Cash,-1000.0,,-1000.0,,-3400000.0
Beginning Cash Position,73316000.0,28826000.0,33750000.0,38297000.0,
Effect Of Exchange Rate Changes,10592000.0,2957000.0,1648000.0,-2200000.0,
Changes In Cash,97253000.0,41533000.0,-6572000.0,-2347000.0,
Financing Cash Flow,-791771000.0,242930000.0,362426000.0,-233513000.0,
Net Other Financing Charges,-89866000.0,,,1000000.0,-102502000.0
Interest Paid Cff,-118749000.0,-263342000.0,-103468000.0,-29590000.0,
Cash Dividends Paid,-60000000.0,-32960000.0,-76215000.0,-2582000.0,
Common Stock Dividend Paid,-60000000.0,-32960000.0,,,-28577000.0
Net Common Stock Issuance,0.0,-11248000.0,809417000.0,-11606000.0,
Common Stock Payments,0.0,-11248000.0,-26057000.0,-14175000.0,
Common Stock Issuance,,0.0,835474000.0,2569000.0,0.0
Net Issuance Payments Of Debt,-310076000.0,694372000.0,-121126000.0,-115206000.0,
Net Long Term Debt Issuance,-310076000.0,694372000.0,-121126000.0,-115206000.0,
Long Term Debt Payments,-968544000.0,-273847000.0,-336067000.0,-243386000.0,
Long Term Debt Issuance,658468000.0,968219000.0,214941000.0,128180000.0,
Investing Cash Flow,525068000.0,-613989000.0,-507248000.0,-10772000.0,
Net Other Investing Changes,,,,,455000.0
Dividends Received Cfi,0.0,0.0,0.0,0.0,
Net Investment Purchase And Sale,477148000.0,-183922000.0,-184370000.0,302958000.0,
Sale Of Investment,6039337000.0,3659954000.0,3895637000.0,2517233000.0,
Purchase Of Investment,-5562189000.0,-3843876000.0,-4080007000.0,-2214275000.0,
Net Business Purchase And Sale,466882000.0,-194866000.0,-89735000.0,-146321000.0,
Sale Of Business,467861000.0,0.0,0.0,0.0,
Purchase Of Business,-979000.0,-194866000.0,-89735000.0,-146321000.0,
Net PPE Purchase And Sale,-418962000.0,-235201000.0,-233143000.0,-167409000.0,
Sale Of PPE,,,0.0,1472000.0,1277000.0
Purchase Of PPE,-418962000.0,-235201000.0,-233143000.0,-168881000.0,
Capital Expenditure Reported,,,,,-46185000.0
Operating Cash Flow,363956000.0,412592000.0,138250000.0,241938000.0,
Taxes Refund Paid,-6937000.0,-58926000.0,-80169000.0,-11549000.0,
Interest Paid Cfo,-162314000.0,-28230000.0,-18867000.0,-18524000.0,
Change In Working Capital,-472747000.0,-108762000.0,-412649000.0,-169066000.0,
Change In Other Current Liabilities,117077000.0,-1397000.0,-20923000.0,62393000.0,
Change In Other Current Assets,-171397000.0,-52712000.0,-30862000.0,-73988000.0,
Change In Accrued Expense,-14518000.0,-19796000.0,-33000000.0,1470000.0,
Change In Payable,323679000.0,179027000.0,61098000.0,214194000.0,
Change In Prepaid Assets,,,,,-9108000.0
Change In Inventory,-273352000.0,-29144000.0,-310601000.0,-166683000.0,
Change In Receivables,-454236000.0,-184740000.0,-78361000.0,-206452000.0,
Other Non Cash Items,348613000.0,-11212000.0,-14869000.0,-76894000.0,
Stock Based Compensation,17916000.0,17348000.0,16543000.0,2661000.0,
Provisionand Write Offof Assets,89591000.0,-4679000.0,10184000.0,7958000.0,
Deferred Tax,-348607000.0,-22732000.0,50333000.0,60134000.0,
Depreciation And Amortization,414855000.0,222944000.0,166030000.0,105748000.0,
Depreciation,414855000.0,222944000.0,166030000.0,105748000.0,
Pension And Employee Benefit Expense,,,,1132000.0,801000.0
Gain Loss On Investment Securities,,,,,-11650000.0
Net Foreign Currency Exchange Gain Loss,,6136000.0,4605000.0,34056000.0,34612000.0
Gain Loss On Sale Of PPE,13156000.0,8168000.0,-824000.0,-2250000.0,
Net Income From Continuing Operations,338549000.0,398673000.0,422538000.0,343720000.0,
