,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,5813693000.0,1982586000.0,2321429000.0,2090476000.0,
Repurchase Of Capital Stock,,,,,-210073000.0
Repayment Of Debt,-10154304000.0,-3808357000.0,-6923978000.0,-8702320000.0,
Issuance Of Debt,10893121000.0,9532581000.0,5745669000.0,7031604000.0,
Issuance Of Capital Stock,,6141000.0,12457000.0,312154000.0,1455990000.0
Capital Expenditure,-742768000.0,-714902000.0,-813263000.0,-504185000.0,
End Cash Position,14460929000.0,12678589000.0,7071463000.0,7302009000.0,
Beginning Cash Position,12678589000.0,7071463000.0,7302009000.0,6391429000.0,
Effect Of Exchange Rate Changes,892105000.0,39475000.0,-255172000.0,856820000.0,
Changes In Cash,890235000.0,5567651000.0,24626000.0,53760000.0,
Financing Cash Flow,799694000.0,5354032000.0,-1451922000.0,-1972380000.0,
Net Other Financing Charges,80685000.0,-70496000.0,55357000.0,,
Interest Paid Cff,,,0.0,-19240000.0,
Cash Dividends Paid,,-295314000.0,-328078000.0,-583441000.0,-138454000.0
Common Stock Dividend Paid,,,,,-138454000.0
Net Common Stock Issuance,-4796000.0,6141000.0,12457000.0,312154000.0,
Common Stock Payments,,,,,-210073000.0
Common Stock Issuance,,6141000.0,12457000.0,312154000.0,1455990000.0
Net Issuance Payments Of Debt,738817000.0,5724224000.0,-1178309000.0,-1670716000.0,
Net Long Term Debt Issuance,738817000.0,5724224000.0,-1178309000.0,-1670716000.0,
Long Term Debt Payments,-10154304000.0,-3808357000.0,-6923978000.0,-8702320000.0,
Long Term Debt Issuance,10893121000.0,9532581000.0,5745669000.0,7031604000.0,
Investing Cash Flow,-6465920000.0,-2483869000.0,-1658144000.0,-568521000.0,
Net Investment Purchase And Sale,-5723152000.0,-1768967000.0,-42263000.0,-64336000.0,
Purchase Of Investment,-5723152000.0,-1768967000.0,-42263000.0,-64336000.0,
Net Business Purchase And Sale,,0.0,-802618000.0,0.0,
Purchase Of Business,,0.0,-802618000.0,0.0,
Net Intangibles Purchase And Sale,-25704000.0,-21581000.0,-49672000.0,-36283000.0,
Purchase Of Intangibles,-25704000.0,-21581000.0,-49672000.0,-36283000.0,
Net PPE Purchase And Sale,-717064000.0,-693321000.0,-763591000.0,-467902000.0,
Purchase Of PPE,-717064000.0,-693321000.0,-763591000.0,-467902000.0,
Operating Cash Flow,6556461000.0,2697488000.0,3134692000.0,2594661000.0,
Change In Working Capital,934194000.0,119850000.0,878428000.0,14982000.0,
Change In Other Current Liabilities,,,-70995000.0,69210000.0,-13509000.0
Change In Other Current Assets,1057000.0,8359000.0,189000.0,48000.0,
Change In Accrued Expense,295952000.0,213000.0,-70995000.0,,
Change In Payable,5140529000.0,-22652000.0,182041000.0,1491982000.0,
Change In Inventory,-2046588000.0,-212112000.0,512851000.0,-1193720000.0,
Change In Receivables,-2456756000.0,346042000.0,254342000.0,-352538000.0,
Other Non Cash Items,1932474000.0,1465762000.0,1440907000.0,1153409000.0,
Stock Based Compensation,36572000.0,31366000.0,,,
Provisionand Write Offof Assets,25315000.0,-11587000.0,18944000.0,10142000.0,
Deferred Tax,-53961000.0,-80623000.0,-331763000.0,-78190000.0,
Depreciation And Amortization,668681000.0,512426000.0,414525000.0,346786000.0,
Amortization Cash Flow,102100000.0,,,,
Depreciation,566581000.0,512426000.0,414525000.0,346786000.0,
Net Foreign Currency Exchange Gain Loss,4537901000.0,249201000.0,-12654000.0,543698000.0,
Gain Loss On Sale Of PPE,5648000.0,15560000.0,71241000.0,4955000.0,
Net Income From Continuing Operations,-1563806000.0,395533000.0,655064000.0,598879000.0,
