,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,10410000000.0,9962000000.0,2071000000.0,-1214000000.0,
Repurchase Of Capital Stock,,0.0,-62000000.0,-10000000.0,0.0
Repayment Of Debt,-8277000000.0,-9169000000.0,-8164000000.0,-9028000000.0,
Issuance Of Debt,9024000000.0,8790000000.0,7803000000.0,9199000000.0,
Issuance Of Capital Stock,0.0,622000000.0,0.0,5000000.0,
Capital Expenditure,-233000000.0,-505000000.0,-1008000000.0,-912000000.0,
End Cash Position,2131000000.0,2573000000.0,2019000000.0,1781000000.0,
Beginning Cash Position,2573000000.0,2019000000.0,1781000000.0,2984000000.0,
Changes In Cash,-442000000.0,554000000.0,238000000.0,-1203000000.0,
Financing Cash Flow,-10861000000.0,-9408000000.0,-1913000000.0,57000000.0,
Net Other Financing Charges,-9598000000.0,-7141000000.0,559000000.0,1420000000.0,
Interest Paid Cff,-1419000000.0,-1885000000.0,-1347000000.0,-882000000.0,
Net Common Stock Issuance,0.0,622000000.0,-62000000.0,-5000000.0,
Common Stock Payments,,0.0,-62000000.0,-10000000.0,0.0
Common Stock Issuance,0.0,622000000.0,0.0,5000000.0,
Net Issuance Payments Of Debt,747000000.0,-379000000.0,-361000000.0,171000000.0,
Net Long Term Debt Issuance,747000000.0,-379000000.0,-361000000.0,171000000.0,
Long Term Debt Payments,-8277000000.0,-9169000000.0,-8164000000.0,-9028000000.0,
Long Term Debt Issuance,9024000000.0,8790000000.0,7803000000.0,9199000000.0,
Investing Cash Flow,-224000000.0,-505000000.0,-928000000.0,-958000000.0,
Net Investment Purchase And Sale,,1000000.0,0.0,-10000000.0,0.0
Purchase Of Investment,,,0.0,-10000000.0,0.0
Net Business Purchase And Sale,0.0,0.0,-18000000.0,-39000000.0,
Purchase Of Business,0.0,0.0,-18000000.0,-39000000.0,
Net PPE Purchase And Sale,-224000000.0,-505000000.0,-910000000.0,-909000000.0,
Sale Of PPE,9000000.0,0.0,98000000.0,3000000.0,
Purchase Of PPE,-233000000.0,-505000000.0,-1008000000.0,-912000000.0,
Operating Cash Flow,10643000000.0,10467000000.0,3079000000.0,-302000000.0,
Taxes Refund Paid,0.0,-3000000.0,-11000000.0,,0.0
Dividend Received Cfo,101000000.0,17000000.0,0.0,26000000.0,
Change In Working Capital,8370000000.0,8936000000.0,-49000000.0,-3647000000.0,
Change In Other Current Liabilities,536000000.0,-148000000.0,-478000000.0,157000000.0,
Change In Other Current Assets,-893000000.0,-362000000.0,984000000.0,-599000000.0,
Change In Accrued Expense,,,,-93000000.0,136000000.0
Change In Payable,11244000000.0,6128000000.0,174000000.0,-251000000.0,
Change In Prepaid Assets,-22000000.0,-16000000.0,-40000000.0,90000000.0,
Change In Inventory,-381000000.0,1088000000.0,1563000000.0,-987000000.0,
Change In Receivables,-1257000000.0,3474000000.0,-1007000000.0,-419000000.0,
Other Non Cash Items,1691000000.0,3185000000.0,1909000000.0,2829000000.0,
Stock Based Compensation,23000000.0,20000000.0,59000000.0,49000000.0,
Provisionand Write Offof Assets,1021000000.0,1435000000.0,1194000000.0,961000000.0,
Deferred Tax,-665000000.0,-1583000000.0,-754000000.0,-1181000000.0,
Depreciation And Amortization,1072000000.0,1139000000.0,1118000000.0,993000000.0,
Depreciation,1072000000.0,1139000000.0,1118000000.0,993000000.0,
Gain Loss On Sale Of PPE,-2000000.0,129000000.0,-38000000.0,38000000.0,
Net Income From Continuing Operations,-1045000000.0,-2625000000.0,-342000000.0,-297000000.0,
